Date,IWF,IWM,MTUM,ODT,SPY,VLUE,VXX
2018-09-24,-1.5635597682991047,-3.1279620853080563,-0.36271721958925746,1.0,-2.3494470774091627,-2.1281727224855187,0.0
2018-09-25,-1.573692045937899,-3.1643981284559763,-0.3560187154402382,1.0,-2.37951935346661,-2.160250957039558,0.0
2018-09-26,-1.5751118687406775,-3.169188152567654,-0.3518005540166205,1.0,-2.3862135094822077,-2.1717451523545708,0.0
2018-09-27,-1.580700074476008,-3.1479944674965417,-0.35716565592084265,1.0,-2.3844025960208532,-2.1692733269496753,0.0
2018-09-28,-1.5765995954434153,-3.153944426700735,-0.3594165868199723,1.0,-2.385286915788353,-2.1708719259022677,0.0
2018-10-01,-1.5804831124412142,-3.171013253527148,-0.3617999144933732,1.0,-2.393971782813168,-2.181060282171868,0.0
2018-10-02,-1.5841106465101318,-3.1993138200922053,-0.35885064865444405,1.0,-2.3961616811407738,-2.1830170472820845,0.0
2018-10-03,-1.5811389424106188,-3.1819738813958467,-0.3574181117533719,1.0,-2.3967030614429454,-2.187219010918433,0.0
2018-10-04,-1.5979823996565787,-3.1705301566859845,-0.36166559347499466,1.0,-2.4187593904271303,-2.1828718609143594,0.0
2018-10-05,-1.5562653039497498,-3.1451080591930163,-0.31629937187267115,1.0,-2.4303204513999788,-2.198126264239327,0.0
2018-10-08,-1.5471417965850038,-3.1301304486159722,-0.303637713437268,1.0,-2.4333439389118676,-2.1914306925442784,0.0
2018-10-09,-1.5499416197855855,-3.133637618087252,-0.3062307610657043,1.0,-2.4341365035558855,-2.190531790680395,0.0
2018-10-10,-1.5532795584801529,-3.130757800891531,-0.30970070048821907,1.0,-2.436106983655275,-2.1836128210571006,0.0
2018-10-11,-1.3681868743047831,-3.098594397815755,-0.06603296592173122,1.0,-2.3726362625139044,-2.2066943068055416,0.0
2018-10-12,-1.3920063789494668,-3.0842220671783114,-0.04196152696102861,1.0,-2.315259643177514,-2.1336589255456992,0.0
2018-10-15,-1.3382615598333003,-3.1440762055963485,-0.0,1.0,-2.305516967652312,-2.1346497320897004,0.0
2018-10-16,-1.3296954062903066,-3.1576545292191684,-0.0,1.0,-2.302410953467606,-2.131858319277706,0.0
2018-10-17,-1.2453999612628315,-3.018787526631803,-0.0,1.0,-2.2746465233391437,-2.1455549099360836,0.0
2018-10-18,-1.2467041488949204,-3.023749515316014,-0.0,1.0,-2.275494377665762,-2.1476347421481194,0.0
2018-10-19,-1.1903117505995204,-2.9845563549160676,-0.0,1.0,-2.2769304556354917,-2.1406235011990407,0.0
2018-10-22,-1.1904761904761905,-2.973076554565488,-0.0,1.0,-2.2768994921912427,-2.140845070422535,0.0
2018-10-23,-1.1908228757543826,-2.9726027397260273,-0.0,1.0,-2.2759842896829197,-2.1401475237091674,0.0
2018-10-24,-1.198165137614679,-2.981361661033317,-0.0,1.0,-2.3039111540318684,-2.173732496378561,0.0
2018-10-25,-1.0609328908554572,-2.8091814159292037,-0.0,1.0,-2.297935103244838,-2.050239675516224,0.0
2018-10-26,-0.9998202085580726,-2.7337288745055734,-0.0,1.0,-2.2653721682847894,-1.9907407407407407,0.0
2018-10-29,-0.9440640284570921,-2.736682970208982,-0.0,1.0,-2.22916851934193,-1.982925744775456,0.0
2018-10-30,-0.9291996091320955,-2.7344763258416984,-0.0,1.0,-2.227414053477836,-1.9921826419116992,0.0
2018-10-31,-0.961132952108649,-2.697730521801286,-0.0,1.0,-2.2634024303073623,-2.012687634024303,0.0
2018-11-01,-0.9158936853371389,-2.731537638244738,-0.0,1.0,-2.2592757759543347,-2.0122190510167677,0.0
2018-11-02,-0.9206908706379979,-2.6440782516743035,-0.0,1.0,-2.2626013394430737,-1.9847550229115265,0.0
2018-11-05,-0.9715612854298985,-2.9585742724428856,-0.0,1.0,-2.4659209403734947,-2.0835150251208647,0.0
2018-11-06,-0.9787778304121268,-2.962671719564187,-0.0,1.0,-2.458834675509237,-2.0738986262434866,0.0
2018-11-07,-0.9762310606060606,-2.9644886363636362,-0.0,1.0,-2.455587121212121,-2.0733901515151514,0.0
2018-11-08,-0.8892704659365138,-2.937349173937256,-0.0,1.0,-2.4007796547243365,-2.0542045665490996,0.0
2018-11-09,-0.8902088167053365,-2.9364269141531323,-0.0,1.0,-2.400185614849188,-2.054013921113689,0.0
2018-11-12,-0.8864475627769571,-2.8844165435745936,-0.0,1.0,-2.417282127031019,-2.043759231905465,0.0
2018-11-13,-0.8053410845671723,-2.8594786084113,-0.0,1.0,-2.4051230811154514,-2.0134435461894813,0.0
