Date,CRNC,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-14,1.0,-0.8243770639447614,-0.5957027061800403,-0.6886391902903461,-1.1055881974525026,-0.07440922931766523,0.0
2020-05-15,1.0,-0.8250322026620867,-0.5913696865607556,-0.6875912408759124,-1.1091026191498496,-0.08054959209961357,0.0
2020-05-18,1.0,-0.8256947725613162,-0.5942614148876767,-0.6894033761436364,-1.1089729822602123,-0.07705854559512049,0.0
2020-05-19,1.0,-0.8443311337732453,-0.5530893821235753,-0.7338675122118433,-1.1144056902905133,-0.03920644442540063,0.0
2020-05-20,1.0,-0.8489458347617415,-0.5449091532396297,-0.739458347617415,-1.1154010970174837,-0.036510113129928,0.0
2020-05-21,1.0,-0.8636422721955024,-0.5706053121885697,-0.7321374409636466,-1.1342779149876512,-0.0322804280948048,0.0
2020-05-22,1.0,-0.8677628430988733,-0.5901083126712775,-0.72878333115838,-1.1382400278394014,-0.025011962242811776,0.0
2020-05-26,1.0,-0.8695197875397275,-0.592755453001872,-0.7312029256824415,-1.1387522312682312,-0.02146371195959772,0.0
2020-05-27,1.0,-0.8879968585016799,-0.5749378245124133,-0.7627732449059732,-1.1374841834285963,-0.0,0.0
2020-05-28,1.0,-0.8949020975971392,-0.5615106188129606,-0.7686101783611704,-1.1358423095373076,-0.0,0.0
2020-05-29,1.0,-0.8983096324121277,-0.6255701636705123,-0.768714784008586,-1.154100706555764,-0.025176638941060724,0.0
2020-06-01,1.0,-0.9091808735549457,-0.6146822005307903,-0.7947460753002564,-1.1630605910665288,-0.01650847915073546,0.0
2020-06-02,1.0,-0.9515182326570227,-0.6423256458843647,-0.8277025465637565,-1.2001663816610437,-0.0,0.0
2020-06-03,1.0,-0.9518328479637591,-0.6427217676697637,-0.826977303194194,-1.201035455091758,-0.0,0.0
2020-06-04,1.0,-0.9516121570985798,-0.6462043761854097,-0.8214368321228663,-1.204098626081325,-0.002636813618911042,0.0
2020-06-05,1.0,-0.9361839974084872,-0.6415382479522421,-0.8103105187653292,-1.2053311120366514,-0.034383821555833215,0.0
2020-06-08,1.0,-0.972155590047505,-0.59540943511594,-0.9067776680306665,-1.229104933916561,-0.0,0.0
2020-06-09,1.0,-0.9818347392638037,-0.6143117331288344,-0.9185678680981595,-1.259250383435583,-0.018980061349693253,0.0
2020-06-10,1.0,-0.9940484761219102,-0.6083513318934485,-0.9323254139668826,-1.2622510199184065,-0.002591792656587473,0.0
2020-06-11,1.0,-0.9861237816296153,-0.620348585970135,-0.9165026167955057,-1.2635521198444326,-0.014932539492005568,0.0
2020-06-12,1.0,-0.972554206622892,-0.5712598611176721,-0.949076479758137,-1.2300061410553167,-0.0009447777410364213,0.0
2020-06-15,1.0,-0.9843838997531801,-0.5467533700398709,-0.9767419783558002,-1.2386083159293717,-0.0,0.0
2020-06-16,1.0,-0.9859168377333271,-0.5597937652169762,-0.9895927817825942,-1.2386499260037238,-0.0,0.0
2020-06-17,1.0,-0.9846366715969274,-0.5518870175103774,-0.9932725797986546,-1.2414237320482846,-0.0,0.0
2020-06-18,1.0,-0.9901618988490376,-0.5419552032093223,-1.0006686088160848,-1.2429915468742538,-0.0,0.0
2020-06-19,1.0,-0.9934481109516977,-0.5419894787183166,-1.0018173122907699,-1.2451936872309899,-0.0,0.0
2020-06-22,1.0,-0.9920570362218287,-0.5410785205033734,-1.0106225178238193,-1.2411598641083306,-0.0,0.0
2020-06-23,1.0,-0.9923609109253388,-0.5377630441049294,-1.017055827808206,-1.257230710098972,-0.0,0.0
2020-06-24,1.0,-0.9904372897645362,-0.5379625180201826,-1.0200864968765015,-1.256943777030274,-0.0,0.0
2020-06-25,1.0,-0.9874177592085674,-0.5210584449887145,-1.0377947461941122,-1.2561590548912263,-0.0,0.0
2020-06-26,1.0,-0.9901518063028438,-0.5162855495772483,-1.0378074558032282,-1.2597521137586472,-0.0,0.0
2020-06-29,1.0,-0.9900067262419525,-0.5131642163928125,-1.0379552224464303,-1.2633323724416259,-0.0,0.0
2020-06-30,1.0,-0.9991830850552619,-0.49245555021624215,-1.0487746275828929,-1.2650168188370974,-0.0,0.0
2020-07-01,1.0,-0.9979829026990684,-0.49178753241763523,-1.0467774469311306,-1.2661127653443474,-0.0,0.0
2020-07-02,1.0,-0.9950074408333734,-0.4960395564303202,-1.044645000240027,-1.264845662714224,-0.0,0.0
2020-07-06,1.0,-0.9967354776764281,-0.4966394623139702,-1.0429668746999519,-1.2644263082093135,-0.0,0.0
2020-07-07,1.0,-0.9879240943070731,-0.505271228675484,-1.0360360360360361,-1.2627947096032202,-0.0,0.0
