Date,CENT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3750048879677785,-1.1467954483244045,-0.0,-0.7192742345442458,-0.6692996519766942,0.0
2018-09-25,1.0,-0.3738508682328907,-1.1536890076215918,-0.0,-0.7248762473481575,-0.6762394908462325,0.0
2018-09-26,1.0,-0.37399564615080155,-1.1593904611122108,-0.0,-0.7330694636849397,-0.6916287354047101,0.0
2018-09-27,1.0,-0.37498517141840326,-1.1557198782079163,-0.0,-0.7325319308790383,-0.6910514452924196,0.0
2018-09-28,1.0,-0.3727377133578868,-1.1607065066730031,-0.0,-0.73403033543226,-0.6927646429844362,0.0
2018-10-01,1.0,-0.3757289641766176,-1.1603919546157813,-0.0,-0.736858809060975,-0.6941722537390407,0.0
2018-10-02,1.0,-0.37855527787694876,-1.1500654528144711,-0.0,-0.7403705025982784,-0.6978460073783173,0.0
2018-10-03,1.0,-0.3781659388646288,-1.1383485510123064,-0.0,-0.7461294164350932,-0.7072250893211591,0.0
2018-10-04,1.0,-0.3883951699677201,-1.1321484079225284,-0.0,-0.7601323078149285,-0.7044992627425976,0.0
2018-10-05,1.0,-0.3662083448904387,-1.1219241589729367,-0.0,-0.7636803106549908,-0.7106629155604867,0.0
2018-10-08,1.0,-0.36177447414202124,-1.1168749011545154,-0.0,-0.7664083504665508,-0.7087616637671992,0.0
2018-10-09,1.0,-0.35556437214838327,-1.1204522912120611,-0.0,-0.7731799246181313,-0.7182701844872049,0.0
2018-10-10,1.0,-0.35490547263681593,-1.1257711442786071,-0.0,-0.7753233830845772,-0.7240995024875623,0.0
2018-10-11,1.0,-0.2640689339637029,-1.1001982614000303,-0.0,-0.7325377459203903,-0.7159142900716791,0.0
2018-10-12,1.0,-0.2697924096249859,-1.0928338150831487,-0.0,-0.7061075866211193,-0.6851608543864258,0.0
2018-10-15,1.0,-0.2170578486915636,-1.1968242956796546,-0.0,-0.7236674760087872,-0.7164604771264502,0.0
