Date,IWF,IWM,MTUM,SPY,STOK,VLUE,VXX
2020-02-18,-1.8816271447850397,-2.6705224599961443,-6.264700212068633,-5.249469828417197,1.0,-2.2124542124542126,0.0
2020-02-19,-1.925200704914823,-2.7278245545329938,-6.394360681417663,-5.347170550225181,1.0,-2.1864108086939495,0.0
2020-02-20,-1.9002365930599368,-2.7411277602523656,-6.480086750788644,-5.390181388012619,1.0,-2.204455835962145,0.0
2020-02-21,-1.8607943373967755,-2.7721195438458515,-6.4669681478568615,-5.365709791584742,1.0,-2.1960283130161224,0.0
2020-02-24,-1.6486062033765214,-2.79897919120534,-6.562230074597566,-5.402434236356498,1.0,-2.2186886533176287,0.0
2020-02-25,-1.4432451253481895,-2.7252785515320337,-5.928621169916435,-4.4254874651810585,1.0,-1.8866643454038996,0.0
2020-02-26,-1.4285714285714286,-2.47364932051707,-5.775770633079218,-4.29366920782234,1.0,-1.6010938017898575,0.0
2020-02-27,-1.5525480367585631,-2.4247284878863824,-5.789974937343358,-4.385129490392648,1.0,-1.5560568086883877,0.0
2020-02-28,-1.2983362019506597,-2.492685025817556,-4.773952954675846,-3.4513769363166955,1.0,-1.3267355134825014,0.0
2020-03-02,-1.52619926199262,-2.3449446494464943,-4.853726937269372,-3.6475276752767525,1.0,-1.3878966789667897,0.0
2020-03-03,-1.2708415906989035,-2.489364513145726,-4.065001981767737,-3.1813978068437048,1.0,-1.2050469018364383,0.0
2020-03-04,-1.0574025974025976,-2.675324675324675,-4.236753246753247,-3.0296103896103896,1.0,-0.9879220779220779,0.0
2020-03-05,-0.9336201598033189,-2.9757836508912106,-3.786232329440688,-2.761278426551936,1.0,-0.8356484326982175,0.0
2020-03-06,-0.8680323963792281,-2.91031443544545,-3.784182944259171,-2.597427346355407,1.0,-0.7505955216769891,0.0
2020-03-09,-0.8486233157586409,-2.8426479203280612,-3.7591095489162276,-2.5561804335090805,1.0,-0.709900410076157,0.0
2020-03-10,-1.4483405212825802,-1.5361897618601161,-2.9849990624414025,-1.9990624414025875,1.0,-0.406994187136696,0.0
2020-03-11,-1.1801402076493035,-1.7884461797852516,-2.9331795190345193,-1.757298784275446,1.0,-0.2149259029195137,0.0
2020-03-12,-1.1869089713017023,-1.496587451689828,-2.652742373160102,-1.6626099827316834,1.0,-0.2241591974344215,0.0
2020-03-13,-1.320413623544725,-1.0151131679803314,-2.3742136090823633,-1.5213681394171668,1.0,-0.0,0.0
2020-03-16,-1.0340361837823768,-1.137641546270988,-2.0929324482623977,-1.2432643498633347,1.0,-0.0,0.0
2020-03-17,-0.9800719623581512,-0.8249654027124274,-1.3740381954054801,-1.1725989482424577,1.0,-0.18389150290617215,0.0
2020-03-18,-0.9596734693877551,-0.827156462585034,-1.3154285714285714,-1.150639455782313,1.0,-0.18927891156462584,0.0
2020-03-19,-0.978807241746539,-0.687699680511182,-1.2928647497337593,-1.1485090521831736,1.0,-0.21698615548455805,0.0
2020-03-20,-1.0244726205636454,-0.9259730911909639,-1.2718564863518078,-1.1875311444549028,1.0,-0.12695864016388905,0.0
