Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZBH
2018-09-24,-0.3405171193112628,-0.44595168644331795,-0.059443232986887945,-0.5389821868539548,-0.44708447792472605,0.0,1.0
2018-09-25,-0.3413356736404043,-0.44495088186167653,-0.06095178778699431,-0.5380630184299182,-0.4456869461823741,0.0,1.0
2018-09-26,-0.3409798923817615,-0.44474653072783915,-0.05958651939960351,-0.5387708864344378,-0.4479750778816199,0.0,1.0
2018-09-27,-0.34182446010585604,-0.4419631485098073,-0.0604002151085449,-0.5385355636692989,-0.4476805072033059,0.0,1.0
2018-09-28,-0.34045684848141755,-0.4431769934048515,-0.060856520139262356,-0.5383396076877353,-0.4477341560757451,0.0,1.0
2018-10-01,-0.33971685533520585,-0.4475841915624025,-0.06139529605356484,-0.538911113002525,-0.44948506255851556,0.0,1.0
2018-10-02,-0.3394961801709693,-0.4549998579989208,-0.05958365283576155,-0.5377012865297777,-0.4482122064127687,0.0,1.0
2018-10-03,-0.33938154868387427,-0.4537865235539655,-0.059601896811199144,-0.5379220262941193,-0.4488457279154953,0.0,1.0
2018-10-04,-0.34247508730091136,-0.4487692700792096,-0.06018794537660052,-0.5419754137921244,-0.44564631064929167,0.0,1.0
2018-10-05,-0.33408763046983286,-0.4422255537012418,-0.050688767572766094,-0.5488925975164767,-0.4527479987554097,0.0,1.0
2018-10-08,-0.3328438294267156,-0.4397345382660265,-0.048121999435187794,-0.5511155040948884,-0.4522733691047726,0.0,1.0
2018-10-09,-0.334887796054491,-0.4402238426318467,-0.051975580803798535,-0.5496580182013452,-0.44957888191735906,0.0,1.0
2018-10-10,-0.3350193562971545,-0.4398824493486677,-0.051965299951962474,-0.5498318686597531,-0.4490378366158976,0.0,1.0
2018-10-11,-0.31014460696214785,-0.43335084469267565,-0.016230265158846464,-0.5467968037160947,-0.45840130505709625,0.0,1.0
2018-10-12,-0.31342302107022496,-0.42680220292078797,-0.01260377565279338,-0.5394689974518454,-0.44768063128476315,0.0,1.0
2018-10-15,-0.3118223633775052,-0.42873179279377943,-0.009117292739020918,-0.5402475084875697,-0.44800679005585364,0.0,1.0
2018-10-16,-0.31029004957410095,-0.43570430829065215,-0.004080961901892581,-0.5407411465037933,-0.4481115280326477,0.0,1.0
2018-10-17,-0.3069441795842755,-0.4273026943089874,-0.0014166235322962922,-0.5396245947639415,-0.4489879314572153,0.0,1.0
2018-10-18,-0.3058227296258958,-0.42557423503446773,-0.002343260401623934,-0.541674613770742,-0.44930655840440314,0.0,1.0
2018-10-19,-0.29941190818179353,-0.4183582210900025,-0.0,-0.5438087753055638,-0.44852164015284973,0.0,1.0
2018-10-22,-0.2997990113531425,-0.42604161008202507,-0.002037047096528872,-0.5413927970014667,-0.4467923298386659,0.0,1.0
2018-10-23,-0.30020366598778003,-0.4257705363204345,-0.0031500339443312963,-0.5403122878479294,-0.4461099796334012,0.0,1.0
2018-10-24,-0.3005046394269901,-0.4227576102881328,-0.0,-0.5418904986705735,-0.4479624504856476,0.0,1.0
2018-10-25,-0.2812185163582374,-0.39381727557134527,-0.0,-0.5469006840235431,-0.42929105466885836,0.0,1.0
2018-10-26,-0.26890402672207464,-0.385760500775887,-0.0,-0.5516688146024565,-0.42379211488387997,0.0,1.0
2018-10-29,-0.29069423133866323,-0.3918813427010148,-0.0,-0.5795579961775552,-0.42970201082128723,0.0,1.0
