Date,HUN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3607978597311118,-0.6743540248569203,-0.13755968708727015,-0.5714721121609266,-0.6423177215618545,0.0
2018-09-25,1.0,-0.35916091524155985,-0.6814333797980484,-0.13184646244857717,-0.5775337435827695,-0.649882704926393,0.0
2018-09-26,1.0,-0.3590711274309805,-0.6813885488916089,-0.13151094791241671,-0.5776893784849721,-0.6503467972256223,0.0
2018-09-27,1.0,-0.358610600802885,-0.6836769408722869,-0.13108117302850925,-0.5780091175069743,-0.6506770089133838,0.0
2018-09-28,1.0,-0.3542342219339864,-0.6929378434652012,-0.13199303682970953,-0.5807420555005632,-0.6534457452981534,0.0
2018-10-01,1.0,-0.3538871248591622,-0.6938099627846632,-0.13237051452763837,-0.5805592543275633,-0.6536242275256923,0.0
2018-10-02,1.0,-0.3543729091281491,-0.6895268655697413,-0.1341230286065406,-0.5812794428893289,-0.6543660817914931,0.0
2018-10-03,1.0,-0.3548398114625316,-0.6923287109775258,-0.1347086549627707,-0.580674909488353,-0.6530159163877315,0.0
2018-10-04,1.0,-0.35339220921476006,-0.6988430204696379,-0.13469569384541658,-0.5788320668172794,-0.6572533716711165,0.0
2018-10-05,1.0,-0.34367321867321865,-0.6937619437619438,-0.12482937482937483,-0.5845959595959596,-0.6656770406770406,0.0
2018-10-08,1.0,-0.34486767421185804,-0.6969500102578131,-0.12558982424947002,-0.584626957532654,-0.6672023524584558,0.0
2018-10-09,1.0,-0.34784692270829054,-0.6979188060518928,-0.13123844731977818,-0.582528924488259,-0.66351749161361,0.0
2018-10-10,1.0,-0.357532983401901,-0.7477301744928359,-0.11551283870052491,-0.6128883529578664,-0.7129025393672862,0.0
2018-10-11,1.0,-0.3085080490942596,-0.7589791731859116,-0.04266193804109732,-0.6141650151246479,-0.7526163902506868,0.0
2018-10-12,1.0,-0.32044084725331495,-0.7553297744101947,-0.03909075254003789,-0.5957292922335113,-0.733528500086103,0.0
2018-10-15,1.0,-0.31433387224381687,-0.7639228096728699,-0.030201919438615797,-0.5957483402703725,-0.7356128100168553,0.0
2018-10-16,1.0,-0.31179833321854117,-0.777670638473724,-0.02062814243405193,-0.5973207521179144,-0.7363110407052826,0.0
2018-10-17,1.0,-0.2968537183328793,-0.7427812585126669,-0.00037455734132388997,-0.6053187142467993,-0.7597044402070281,0.0
2018-10-18,1.0,-0.29919082249308615,-0.7493598279217454,-0.0,-0.6040834442964936,-0.7616169893133942,0.0
2018-10-19,1.0,-0.2949252100266375,-0.7518612116658697,-0.0,-0.6041937026159414,-0.764155453862441,0.0
2018-10-22,1.0,-0.2960216009296603,-0.7558274659922073,-0.0,-0.6031170961788229,-0.762902454029667,0.0
2018-10-23,1.0,-0.2970063563666188,-0.7557583213724285,-0.0,-0.6022486501264439,-0.762388080103889,0.0
2018-10-24,1.0,-0.29627726976951263,-0.7615671769581149,-0.0,-0.6035823144628241,-0.7633138121168532,0.0
2018-10-25,1.0,-0.2799730276466622,-0.7401213755900202,-0.0,-0.6017869184086312,-0.7496628455832772,0.0
2018-10-26,1.0,-0.290028567541831,-0.749659910216297,-0.0006801795674057951,-0.6041695007481975,-0.7564276969119847,0.0
2018-10-29,1.0,-0.2851900927530323,-0.751231610777019,-0.0,-0.6028607345496552,-0.7582645330071688,0.0
