Date,IWF,IWM,MTUM,RDFN,SPY,VLUE,VXX
2018-09-24,-1.0745442468078825,-2.0343198760056094,-0.15949516569488523,1.0,-1.5964277806480183,-1.5158314266735553,0.0
2018-09-25,-1.0859681599407627,-2.0365049981488337,-0.17156608663457978,1.0,-1.5978526471677157,-1.5128470936690113,0.0
2018-09-26,-1.0883290107447203,-2.0397925157465733,-0.17525009262689886,1.0,-1.5981474620229716,-1.508632826972953,0.0
2018-09-27,-1.0936690114772307,-2.025027767493521,-0.17956312476860423,1.0,-1.5982969270640501,-1.508108108108108,0.0
2018-09-28,-1.0905581947743468,-2.035852137767221,-0.18163598574821851,1.0,-1.6022862232779096,-1.5124703087885984,0.0
2018-10-01,-1.094090434263543,-2.0508879271750486,-0.1851962393672586,1.0,-1.6097597373526338,-1.5216385614087449,0.0
2018-10-02,-1.0956762417713943,-2.0703171753441056,-0.18267504488330344,1.0,-1.6101137043686415,-1.5217684021543987,0.0
2018-10-03,-1.0964748147593741,-2.072449666941097,-0.18396826584836465,1.0,-1.610133972008083,-1.5214430057630415,0.0
2018-10-04,-1.1052355628791852,-2.0616433225975586,-0.18612837989663697,1.0,-1.6214515766609245,-1.5156168077297583,0.0
2018-10-05,-1.0781308133045613,-2.0462832055956546,-0.15350844556886672,1.0,-1.6329339980653321,-1.5301733759952376,0.0
2018-10-08,-1.0721061212390692,-2.036090114124796,-0.14739884393063585,1.0,-1.63079887357344,-1.524232992441085,0.0
2018-10-09,-1.07166147917593,-2.036831184230028,-0.14554616866755596,1.0,-1.6316140506891952,-1.52504816955684,0.0
2018-10-10,-1.0717037037037036,-2.0359259259259255,-0.14518518518518517,1.0,-1.6315555555555554,-1.523111111111111,0.0
2018-10-11,-0.94525752884886,-1.9949338587109484,-0.0,1.0,-1.5743737686462145,-1.5217421896988461,0.0
2018-10-12,-1.0000712047849614,-2.042509256622045,-0.0,1.0,-1.5721304471660493,-1.5056963827969239,0.0
2018-10-15,-0.9390540154329808,-2.120105744498428,-0.0,1.0,-1.5688768219491283,-1.5167905115747358,0.0
2018-10-16,-0.9296341551067347,-2.159778624308201,-0.0,1.0,-1.5751455473298355,-1.5229641342629194,0.0
2018-10-17,-0.8738106812973122,-2.049864573928745,-0.0,1.0,-1.5260781998749913,-1.495242725189249,0.0
2018-10-18,-0.8727853817828112,-2.047662057944834,-0.0,1.0,-1.5306051552838185,-1.496769262836101,0.0
2018-10-19,-0.8357759211066976,-2.0151349130256127,-0.0,1.0,-1.5174633611833994,-1.4800712231201205,0.0
2018-10-22,-0.8488855046379621,-2.054894088328949,-0.0,1.0,-1.5276893257649176,-1.4908625224975771,0.0
2018-10-23,-0.8713458452522151,-2.073187748552292,-0.0,1.0,-1.5324077304123351,-1.4999651154678013,0.0
2018-10-24,-0.8757558711854871,-2.0780480945014768,-0.0,1.0,-1.552664885388834,-1.5248910139220924,0.0
2018-10-25,-0.780647336480108,-1.9614969656102494,-0.0,1.0,-1.5579231287929873,-1.4430209035738368,0.0
2018-10-26,-0.7428043306047002,-1.9129918141008713,-0.0,1.0,-1.5396752046474782,-1.4061262212833376,0.0
2018-10-29,-0.7260723904618013,-1.912369440977468,-0.0,1.0,-1.5293306181435984,-1.40116928332129,0.0
2018-10-30,-0.7527301608312926,-1.9264676682771857,-0.0,1.0,-1.5423257660996756,-1.3970481170163478,0.0
2018-10-31,-0.7518128960606258,-1.8827987195400797,-0.0,1.0,-1.5231593388645717,-1.3751878225648395,0.0
2018-11-01,-0.7188233759457344,-1.9078398121575788,-0.0,1.0,-1.5205452648056352,-1.3750978345943123,0.0
2018-11-02,-0.7199586750177568,-1.8647898237231226,-0.0,1.0,-1.5145605992122424,-1.357719377542455,0.0
2018-11-05,-0.7165344171343784,-1.871105089994194,-0.0,1.0,-1.5133862331462484,-1.35017095671247,0.0
