Date,GRA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3156589147286821,-0.4679351656095842,-0.13093727977448907,-0.46813248766737137,-0.4362226920366455,0.0
2018-09-25,1.0,-0.31430672625445494,-0.47318549527634773,-0.12654862250381851,-0.4726197884256378,-0.44187362108955136,0.0
2018-09-26,1.0,-0.3138611615245009,-0.47391107078039924,-0.12241946460980035,-0.4758110254083484,-0.44975045372050815,0.0
2018-09-27,1.0,-0.31408239063253096,-0.47310821921692037,-0.12267868787389073,-0.47571659436931185,-0.44963284284539706,0.0
2018-09-28,1.0,-0.3148804628342929,-0.4727319134454497,-0.12279855931482375,-0.4758231473866312,-0.4497319985252829,0.0
2018-10-01,1.0,-0.3151073423896089,-0.4724199540568901,-0.12288363914806728,-0.47590822721987464,-0.4496752786364539,0.0
2018-10-02,1.0,-0.3178177893899807,-0.45527093036464844,-0.12927411109848916,-0.4816823810064751,-0.45586731795978647,0.0
2018-10-03,1.0,-0.31757792539601426,-0.4516550275364787,-0.1288820757395106,-0.48276840969738255,-0.4579571907114063,0.0
2018-10-04,1.0,-0.31920206577565907,-0.44848330070088815,-0.12928123492522914,-0.4847478788910644,-0.4558894469509946,0.0
2018-10-05,1.0,-0.30682913006517426,-0.4416831963729102,-0.11632190422215927,-0.4977614054973081,-0.47106829130065175,0.0
2018-10-08,1.0,-0.30549817482101926,-0.43917484931661904,-0.11321769150230623,-0.5008913664789609,-0.4709527717252894,0.0
2018-10-09,1.0,-0.3026648125549848,-0.4427732213298521,-0.10281806056134177,-0.5087266225842154,-0.4809149473564719,0.0
2018-10-10,1.0,-0.3048449500490847,-0.46428365190275456,-0.09430039845238784,-0.5200958595599701,-0.5038401570710862,0.0
2018-10-11,1.0,-0.2853654381282299,-0.4585723209722301,-0.06814697029927878,-0.5167811914361974,-0.5105911749673463,0.0
2018-10-12,1.0,-0.2840786714277617,-0.4579720002267188,-0.06311284928866973,-0.5179391259989797,-0.5108825029756844,0.0
