Date,ASML,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.48780487804878053,-0.6479494128274617,-0.26601626016260166,-0.5851851851851853,-0.6263775971093044,0.0
2018-09-25,1.0,-0.4944072398190046,-0.646552036199095,-0.2740633484162896,-0.583420814479638,-0.6214660633484163,0.0
2018-09-26,1.0,-0.493971104754318,-0.646268602672267,-0.2725133070210377,-0.5842053807437447,-0.6240359199044067,0.0
2018-09-27,1.0,-0.4948244661599711,-0.6434310532030402,-0.2732899022801303,-0.583966702859211,-0.6237061165399929,0.0
2018-09-28,1.0,-0.493177952299953,-0.6447106510803083,-0.2737504976294741,-0.5838008034454055,-0.6236473526111975,0.0
2018-10-01,1.0,-0.49406399305052845,-0.6438033878673809,-0.27363544230490805,-0.5844071232083393,-0.6236064861734472,0.0
2018-10-02,1.0,-0.4960715449509396,-0.6276838408342083,-0.27940910242948697,-0.5889786016872444,-0.6285528078496687,0.0
2018-10-03,1.0,-0.49563864055883317,-0.6201454992942198,-0.278330739440443,-0.591805711390206,-0.6334286438162801,0.0
2018-10-04,1.0,-0.4959832090902511,-0.6191647969892162,-0.2786422522978939,-0.5921690670912645,-0.6327350365491786,0.0
2018-10-05,1.0,-0.4916398829944748,-0.6159040843595393,-0.2729406666425914,-0.5944530713950381,-0.6363800512801994,0.0
2018-10-08,1.0,-0.49131800296018197,-0.6153929461030289,-0.27222843940651964,-0.5947077722825891,-0.6362947186022165,0.0
2018-10-09,1.0,-0.49272379301628566,-0.615570721843065,-0.27505145704690714,-0.593435164120897,-0.6342035893547106,0.0
2018-10-10,1.0,-0.4952322473452287,-0.6139203929784007,-0.277721592140432,-0.5950299790507838,-0.6300296178574009,0.0
2018-10-11,1.0,-0.4745792862987868,-0.6076778026826058,-0.25025794286120895,-0.5878250969509375,-0.6374924396057922,0.0
2018-10-12,1.0,-0.4922729518029779,-0.6030978759438289,-0.2500176416625503,-0.5679556841436737,-0.6150236398278174,0.0
2018-10-15,1.0,-0.48088779284833544,-0.6219482120838471,-0.23350361106218076,-0.5681874229346486,-0.6184956843403205,0.0
2018-10-16,1.0,-0.4796364148816235,-0.6269729425028185,-0.22974210822998875,-0.5683835963923337,-0.6184117812852311,0.0
2018-10-17,1.0,-0.47423871193559675,-0.6135806790339517,-0.22562128106405321,-0.5662933146657332,-0.6204410220511025,0.0
2018-10-18,1.0,-0.4720536121539595,-0.6112417108171644,-0.2278867408161117,-0.574155292796744,-0.6233465492438862,0.0
2018-10-19,1.0,-0.47331998454350654,-0.6143956159763938,-0.22425966909052586,-0.575508483507219,-0.6253205465978151,0.0
2018-10-22,1.0,-0.47497629333052366,-0.6097355389316195,-0.21954131984687247,-0.5793558810100797,-0.6284901485617954,0.0
2018-10-23,1.0,-0.4765967906176481,-0.6091506021981109,-0.22346290248955372,-0.5757926893500473,-0.6263562625092174,0.0
