Date,IWF,IWM,MTUM,SPY,STC,VLUE,VXX
2018-09-24,-0.1880721150188909,-0.5546060805842229,-0.05297056064102239,-0.3764738697162563,1.0,-0.3635672084590613,0.0
2018-09-25,-0.18859793657633905,-0.5538796927678775,-0.053968414915460464,-0.375852366346422,1.0,-0.3626200917640498,0.0
2018-09-26,-0.18975269499048827,-0.5554850982878884,-0.05613189600507293,-0.37559923906150916,1.0,-0.35949270767279645,0.0
2018-09-27,-0.1906874176214134,-0.5524434756159384,-0.056980634695325966,-0.3753928824901146,1.0,-0.3592213322518504,0.0
2018-09-28,-0.1888725465334483,-0.5544961200994065,-0.0574377440787138,-0.375564233909824,1.0,-0.3595374549880813,0.0
2018-10-01,-0.18953535558486356,-0.5538449832606269,-0.05739575935883129,-0.3759257380541747,1.0,-0.3595414426296033,0.0
2018-10-02,-0.18950548334687245,-0.5593267668562145,-0.05597583265637693,-0.3751523151909017,1.0,-0.3586261169780666,0.0
2018-10-03,-0.18927492830495138,-0.5532827449686573,-0.05509732761464863,-0.3775093267010126,1.0,-0.3626881201938939,0.0
2018-10-04,-0.1905885337392187,-0.5506088280060882,-0.05547945205479452,-0.37902080162354135,1.0,-0.3610857432775241,0.0
2018-10-05,-0.18264955537590946,-0.5468371059013742,-0.048453920776071135,-0.38265460792239286,1.0,-0.36565278900565884,0.0
2018-10-08,-0.18158852061438963,-0.5452960792239288,-0.04400767987065481,-0.3886166127728375,1.0,-0.3667896119644301,0.0
2018-10-09,-0.18252805013646012,-0.5455625189527948,-0.04604265642373395,-0.38767310219347006,1.0,-0.36520772263216417,0.0
2018-10-10,-0.1840030326004549,-0.5444781400050543,-0.047687642153146324,-0.3886530199646197,1.0,-0.36234521101844835,0.0
2018-10-11,-0.15530676662063522,-0.543376405602683,-0.013513513513513513,-0.3822252909844151,1.0,-0.371547642533044,0.0
2018-10-12,-0.1515749506657008,-0.5572902355556665,-0.005895136512377289,-0.3973471885694302,1.0,-0.3858566682486948,0.0
2018-10-15,-0.14238352818007327,-0.567614726923748,-0.0,-0.3961911409128299,1.0,-0.386519430665304,0.0
2018-10-16,-0.1370557108626198,-0.5779253194888179,-0.0,-0.3954173322683706,1.0,-0.3856329872204473,0.0
2018-10-17,-0.12606927153950448,-0.5578207814618513,-0.0,-0.3922100332799211,1.0,-0.38910390730925676,0.0
2018-10-18,-0.12586274896470126,-0.557680930782883,-0.0,-0.392353579175705,1.0,-0.3890751331098403,0.0
2018-10-19,-0.11668462819633586,-0.5522680513373176,-0.0,-0.3924512589399432,1.0,-0.3878955618693054,0.0
2018-10-22,-0.11680011753470948,-0.5483973652635961,-0.0,-0.39405959989225986,1.0,-0.3893826979113103,0.0
2018-10-23,-0.11552125444076931,-0.5487688349871371,-0.0,-0.3954918534852383,1.0,-0.3902976846747519,0.0
2018-10-24,-0.11402070433910086,-0.5459729326252417,-0.0,-0.3958052911088814,1.0,-0.39152247864712075,0.0
2018-10-25,-0.09774093860048391,-0.5250940277411781,-0.0,-0.39635387969240354,1.0,-0.37644635028627554,0.0
