Date,IWF,IWM,MTUM,SANM,SPY,VLUE,VXX
2018-09-24,-0.3178288462296503,-1.1253104182269698,-0.0,1.0,-0.6701880247546217,-0.8284520477748432,0.0
2018-09-25,-0.3226378651109622,-1.1240096180377626,-0.0,1.0,-0.6693996610035869,-0.8257321928337734,0.0
2018-09-26,-0.32338030417947383,-1.1342461378787274,-0.0,1.0,-0.683445770627919,-0.8508243183904833,0.0
2018-09-27,-0.32290958531611147,-1.1392810013196304,-0.0,1.0,-0.6846882872795618,-0.8519614507937776,0.0
2018-09-28,-0.32200407853172863,-1.1400295893478347,-0.0,1.0,-0.6846335319285058,-0.8518933184053741,0.0
2018-10-01,-0.32228397776800355,-1.1397896757167423,-0.0,1.0,-0.6846735175336879,-0.8518133471950099,0.0
2018-10-02,-0.32187913012135044,-1.1505466778805717,-0.0,1.0,-0.6830069285914534,-0.8495734711041693,0.0
2018-10-03,-0.3211927156293776,-1.1430858515109066,-0.0,1.0,-0.6848509105463279,-0.8532719631779068,0.0
2018-10-04,-0.3238140948724102,-1.1379889608831293,-0.0,1.0,-0.6876649868010558,-0.8501719862411007,0.0
2018-10-05,-0.3140713544576582,-1.1383590071035197,-0.0,1.0,-0.6864474419347114,-0.8518237688562534,0.0
2018-10-08,-0.31553902751119633,-1.1420345489443378,-0.0,1.0,-0.6873000639795265,-0.8538467690339091,0.0
2018-10-09,-0.3204260601449565,-1.1447563368437914,-0.0,1.0,-0.687222199975974,-0.8519200736795739,0.0
2018-10-10,-0.3192367819777929,-1.1470717921994629,-0.0,1.0,-0.6874974946887401,-0.8546518619473283,0.0
2018-10-11,-0.23709020368574202,-1.1325703200775947,-0.0,1.0,-0.6509408341416102,-0.8591270611057227,0.0
2018-10-12,-0.24329707369388692,-1.1281599509728821,-0.0,1.0,-0.6248276390378429,-0.8339589397885706,0.0
2018-10-15,-0.2262500477481951,-1.1407234806524313,-0.0,1.0,-0.6195423812979869,-0.8333015012032545,0.0
2018-10-16,-0.22756275551140487,-1.1392656554464524,-0.0,1.0,-0.62014289535017,-0.8337981889733694,0.0
2018-10-17,-0.21137629875018824,-1.10905737087788,-0.0,1.0,-0.6106384580635447,-0.8334211715103148,0.0
2018-10-18,-0.2106495468277946,-1.1081948640483383,-0.0,1.0,-0.6199018126888217,-0.8376888217522659,0.0
2018-10-19,-0.19454129644209497,-1.1010759944513178,-0.0,1.0,-0.6167285269748435,-0.8367637686049563,0.0
2018-10-22,-0.19482125459042196,-1.09439406430338,-0.0,1.0,-0.619350970546354,-0.8387544030577831,0.0
2018-10-23,-0.2023715711658974,-1.0966640399264513,-0.0,1.0,-0.6158955307891478,-0.8375548801080717,0.0
2018-10-24,-0.19962511715089035,-1.092783505154639,-0.0,1.0,-0.6160074976569822,-0.8403748828491098,0.0
2018-10-25,-0.16548592188919165,-1.0480290644868302,-0.0,1.0,-0.6106811989100818,-0.8088283378746594,0.0
2018-10-26,-0.1473241562735866,-1.0328864608417498,-0.0,1.0,-0.6155339107932286,-0.7984041979657119,0.0
2018-10-29,-0.1489607390300231,-1.036807159353349,-0.0,1.0,-0.6219327367205544,-0.8008443995381063,0.0
2018-10-30,-0.14057427314046603,-1.0368299545487338,-0.0,1.0,-0.6222134045162686,-0.8076257124305605,0.0
2018-10-31,-0.14174414758737275,-1.069126456212561,-0.0,1.0,-0.6393370328176106,-0.8247767446988349,0.0
2018-11-01,-0.1462580027963794,-1.0669291338582676,-0.0,1.0,-0.6406284494811979,-0.8256310250938258,0.0
2018-11-02,-0.15133118782913985,-1.0385825043885313,-0.0,1.0,-0.6473449385605617,-0.8198142188414277,0.0
2018-11-05,-0.14648866130212146,-1.0531089978054133,-0.0,1.0,-0.6490124359912217,-0.8090343818580834,0.0
2018-11-06,-0.1525460930640913,-1.0579089844893181,-0.0,1.0,-0.645119988293825,-0.8026046239391279,0.0
2018-11-07,-0.15232974910394265,-1.0578231292517006,-0.0,1.0,-0.6448321263989467,-0.8024284982810329,0.0
2018-11-08,-0.12298767222625091,-1.0598259608411893,-0.0,1.0,-0.6341914430746919,-0.8088107324147933,0.0
2018-11-09,-0.12339098589506509,-1.0596105732622647,-0.0,1.0,-0.6342144385220639,-0.8087312810471736,0.0
2018-11-12,-0.12221056819414806,-1.0530941444536872,-0.0,1.0,-0.6347426670042315,-0.8067199537053781,0.0
2018-11-13,-0.10122402096270505,-1.0519760221113463,-0.0,1.0,-0.6319681252019096,-0.8043361211816648,0.0
2018-11-14,-0.10447922288181329,-1.0525634106853752,-0.0,1.0,-0.6352221622593992,-0.8055045871559634,0.0
2018-11-15,-0.10329465023533216,-1.0541084324363164,-0.0,1.0,-0.6381992598713757,-0.7972191283727948,0.0
2018-11-16,-0.10266159695817491,-1.0497166224262862,-0.0,1.0,-0.6368103881196643,-0.7978692876103021,0.0
2018-11-19,-0.09822681005646873,-1.0543106858972053,-0.0,1.0,-0.6426284933280582,-0.801532208754451,0.0
2018-11-20,-0.05253558400686646,-1.0480652313854517,-0.0,1.0,-0.648344181389028,-0.8273371003504757,0.0
2018-11-21,-0.056443892926786025,-1.0430065591207232,-0.0,1.0,-0.6442829285587661,-0.8017372806240027,0.0
2018-11-23,-0.05667269567684506,-1.0440117743022306,-0.0,1.0,-0.644040146114835,-0.8017164946625528,0.0
2018-11-26,-0.05587463660214139,-1.0483585052825641,-0.0,1.0,-0.6417783450329717,-0.7993689285967526,0.0
2018-11-27,-0.046116933065170604,-1.0517271797043153,-0.0,1.0,-0.6362513672770898,-0.7943262411347517,0.0
2018-11-28,-0.046716770756148336,-1.0513390494336827,-0.0,1.0,-0.6362160827070322,-0.7941851028545217,0.0
2018-11-29,-0.028376725493622225,-1.0399790319762363,-0.0,1.0,-0.6313471955268215,-0.7949327275904245,0.0
2018-11-30,-0.02764767563788885,-1.0404404054526388,-0.0,1.0,-0.6313526738902482,-0.7958406151695211,0.0
2018-12-03,-0.026057494149289182,-1.0406231443641065,-0.0,1.0,-0.6310035278912991,-0.7952775158056516,0.0
2018-12-04,-0.01968435355189353,-1.0430268613036964,-0.0,1.0,-0.6274605441939867,-0.7937497822527262,0.0
2018-12-06,-0.00893949694085656,-0.9953433038749149,-0.0,1.0,-0.6227736233854521,-0.7719578518014956,0.0
2018-12-07,-0.0038451068463318363,-0.9975500204164965,-0.0,1.0,-0.6246427113107391,-0.776711582959031,0.0
2018-12-10,-0.0,-0.9964574898785425,-0.0,1.0,-0.6151484480431849,-0.7621794871794871,0.0
2018-12-11,-0.0,-0.9961851389217111,-0.0,1.0,-0.6233753080584721,-0.7564228081428717,0.0
2018-12-12,-0.0,-0.9962185157674387,-0.0,1.0,-0.6243500573975286,-0.7557566344790331,0.0
2018-12-13,-0.0,-0.9930848372406814,-0.0,1.0,-0.6261764209816157,-0.7539888682745826,0.0
2018-12-14,-0.0,-1.001790964079343,-0.0,1.0,-0.6226134558848375,-0.7547730882303246,0.0
2018-12-17,-0.0,-0.9997303855486656,-0.0,1.0,-0.6127662442706929,-0.7576840118630359,0.0
2018-12-18,-0.0,-0.9899169234892135,-0.0,1.0,-0.6038121398901246,-0.7561302425298138,0.0
2018-12-19,-0.0,-0.9926752234392849,-0.0,1.0,-0.6073516564746994,-0.7599287682279418,0.0
2018-12-20,-0.0,-0.9817701364731067,-0.0,1.0,-0.6086767460529836,-0.7544487556863795,0.0
2018-12-21,-0.0,-0.9813099680170576,-0.0,1.0,-0.6060101279317698,-0.744203091684435,0.0
2018-12-24,-0.0,-0.9645979599947012,-0.0,1.0,-0.5947145317260564,-0.7523513048085839,0.0
2018-12-26,-0.0,-0.9786402024251586,-0.0,1.0,-0.5685320889882027,-0.7389504124083992,0.0
2018-12-27,-0.0,-0.9418545408228252,-0.0,1.0,-0.507578652400968,-0.734874538275379,0.0
2018-12-28,-0.0,-0.9424215417913299,-0.0,1.0,-0.5066522375708192,-0.733815010503533,0.0
2018-12-31,-0.0,-0.9404310866312203,-0.0,1.0,-0.5081664491069439,-0.7352032856824477,0.0
2019-01-02,-0.0,-0.9397448541341902,-0.0,1.0,-0.5063786466452455,-0.7352463970985907,0.0
2019-01-03,-0.0,-0.9391616842640886,-0.0,1.0,-0.5156468642666328,-0.7254802188016791,0.0
2019-01-04,-0.0,-0.9395400475812848,-0.0,1.0,-0.5076288659793815,-0.7249167327517844,0.0
