Date,CNNE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3298831696055038,-0.7513093061452167,-0.1080603675354055,-0.499054820415879,-0.4106727819269268,0.0
2018-09-25,1.0,-0.3301316808675446,-0.7508288148721921,-0.10862896979085981,-0.49865220759101475,-0.41016266460108447,0.0
2018-09-26,1.0,-0.32982021078735274,-0.7507749535027899,-0.10722256664600124,-0.4994420334779914,-0.4125232486050837,0.0
2018-09-27,1.0,-0.3293284902673,-0.7548353047095713,-0.10645431684828165,-0.5003880661885691,-0.41352333053925683,0.0
2018-09-28,1.0,-0.32911117320170125,-0.7548042594144858,-0.10676476979913693,-0.5002949303033125,-0.4135543758343423,0.0
2018-10-01,1.0,-0.330165828209428,-0.7538662194894727,-0.10667039314328303,-0.5009937270976959,-0.4137010123594808,0.0
2018-10-02,1.0,-0.33017431563247673,-0.7576049467109965,-0.10586334400149147,-0.5004194761209334,-0.41316844296678373,0.0
2018-10-03,1.0,-0.3297931805477921,-0.752934600335383,-0.1053971802993603,-0.5016148065337558,-0.4156574125830694,0.0
2018-10-04,1.0,-0.3298235805690148,-0.7530127966206981,-0.10569635979624796,-0.5014598086718847,-0.41595229221021246,0.0
2018-10-05,1.0,-0.31846582121868233,-0.7476028456541912,-0.09467986390349521,-0.5085060315496444,-0.42381688833900405,0.0
2018-10-08,1.0,-0.31699184983946654,-0.745122252408002,-0.09249197332674736,-0.509755495183996,-0.4228204494937022,0.0
2018-10-09,1.0,-0.3158999691262735,-0.7456313677060821,-0.08968817536276628,-0.5112997838839147,-0.42485334979932077,0.0
2018-10-10,1.0,-0.31666820973366666,-0.7445915501651083,-0.09067061691818659,-0.5116192945097676,-0.4225843286115483,0.0
2018-10-11,1.0,-0.29097050485554016,-0.7400325713251704,-0.0609506001568249,-0.5012968212799325,-0.4226431027203088,0.0
2018-10-12,1.0,-0.29199629817595607,-0.7361256231901364,-0.05791563423590173,-0.490491685822611,-0.4087828760784548,0.0
2018-10-15,1.0,-0.27599892572588103,-0.7665841067112291,-0.033929157590045056,-0.4928829339619826,-0.4147294918086598,0.0
2018-10-16,1.0,-0.2741607932146697,-0.7761020188746863,-0.02717715924023414,-0.4938776729184087,-0.41518337116234616,0.0
2018-10-17,1.0,-0.2605650382577987,-0.7442024720423779,-0.012448499117127722,-0.496291936433196,-0.4293702177751619,0.0
