Date,IWF,IWM,MTUM,MUR,SPY,VLUE,VXX
2018-09-24,-0.45478140242538145,-1.1466863561104397,-0.009441983263972793,1.0,-0.8973911487000492,-0.9665726943213854,0.0
2018-09-25,-0.46397953229498634,-1.1465056779927285,-0.019659769289465417,1.0,-0.8966291126172629,-0.9617577090533687,0.0
2018-09-26,-0.463751851685595,-1.1464739417336267,-0.018853526058266373,1.0,-0.8969789468959016,-0.9629213987520762,0.0
2018-09-27,-0.46765655840660325,-1.1365512291404987,-0.021756684012201686,1.0,-0.8972277050062802,-0.9627220527543513,0.0
2018-09-28,-0.46848221095607695,-1.135896630624972,-0.022342859706581723,1.0,-0.8972138723136973,-0.9625824397684956,0.0
2018-10-01,-0.46801437556154535,-1.139487870619946,-0.02331536388140162,1.0,-0.8976190476190476,-0.9639712488769092,0.0
2018-10-02,-0.4729687148323205,-1.1138419986495611,-0.03358091379698402,1.0,-0.9072248480756246,-0.9738915147422913,0.0
2018-10-03,-0.47244590399928027,-1.1075172072517883,-0.033064915200863736,1.0,-0.9086778532547574,-0.9769220387781726,0.0
2018-10-04,-0.4722272236226144,-1.1093806265754411,-0.033804465250270074,1.0,-0.9078141879726324,-0.9780788620813828,0.0
2018-10-05,-0.46168685509196955,-1.1060116644235083,-0.020412741139524453,1.0,-0.9129654553611485,-0.9852400179452669,0.0
2018-10-08,-0.46052631578947373,-1.1044997305550566,-0.01221483743488414,1.0,-0.9248697682773487,-0.9885934973953656,0.0
2018-10-09,-0.45992186447527955,-1.1048093762629665,-0.010732408280569402,1.0,-0.9255467241456733,-0.9895370245632943,0.0
2018-10-10,-0.4610791883641587,-1.1033399173998921,-0.012030885257676423,1.0,-0.9262434907523792,-0.986442808403663,0.0
2018-10-11,-0.40287202837003633,-1.0858981655794404,-0.0,1.0,-0.9020183004246749,-0.9872597521999913,0.0
2018-10-12,-0.5542557877734815,-1.2718907542459987,-0.0,1.0,-1.0043561254955704,-1.0640693064460869,0.0
2018-10-15,-0.5228892142508541,-1.297706198145437,-0.0,1.0,-0.9965348950707663,-1.0632991703269887,0.0
2018-10-16,-0.5213721089099248,-1.2996974724309553,-0.0,1.0,-0.9958036498487363,-1.0626036888845514,0.0
2018-10-17,-0.484532599778003,-1.241349355726075,-0.0,1.0,-1.0033782153370976,-1.0968099995173979,0.0
2018-10-18,-0.48450622646973646,-1.2420600444058307,-0.0,1.0,-1.0031856356791196,-1.0969688193841105,0.0
2018-10-19,-0.45839115662535296,-1.2236206153993396,-0.0,1.0,-1.0056945973106188,-1.0977173756998613,0.0
2018-10-22,-0.4584789163834777,-1.2108840281433972,-0.0,1.0,-1.0128272627195711,-1.1040539893744314,0.0
2018-10-23,-0.45368410927279723,-1.217920353982301,-0.0,1.0,-1.0248172373989997,-1.113168526356291,0.0
2018-10-24,-0.4519439225321578,-1.223731753143518,-0.0,1.0,-1.0271233800645565,-1.1148528207351738,0.0
2018-10-25,-0.3951242163919201,-1.149616902716508,-0.0,1.0,-1.0325516600882285,-1.0663106570698861,0.0
2018-10-26,-0.3661415514628209,-1.1302071372801175,-0.0,1.0,-1.0432645937629172,-1.0532310659991733,0.0
2018-10-29,-0.33589146224475813,-1.1415193458498927,-0.0,1.0,-1.0298752912155682,-1.0608469233931752,0.0
2018-10-30,-0.35425844346549196,-1.14734765051395,-0.0,1.0,-1.0348751835535976,-1.0523127753303965,0.0
2018-10-31,-0.35768548423782015,-1.120229268070782,-0.0,1.0,-1.028203611881909,-1.042851294181868,0.0
2018-11-01,-0.34745685740236143,-1.126158038147139,-0.0,1.0,-1.026158038147139,-1.0415531335149864,0.0
