Date,IWF,IWM,MTUM,ROBO,SPY,VLUE,VXX
2018-09-24,-0.22482998050126027,-0.3350454177961668,-0.1764398154753412,1.0,-0.32220478432491556,-0.3193988681219384,0.0
2018-09-25,-0.22467180365296802,-0.3353072678843227,-0.1761082572298326,1.0,-0.3224410197869102,-0.3197298325722983,0.0
2018-09-26,-0.22431307243963364,-0.3350541215653622,-0.17497323658855715,1.0,-0.3229689544427263,-0.32161294159628884,0.0
2018-09-27,-0.22398076968845942,-0.33641145250731846,-0.17466739652997595,1.0,-0.3231073137063569,-0.32179831972772927,0.0
2018-09-28,-0.22276438245305025,-0.33760978744674264,-0.17492204793754315,1.0,-0.3230666698402875,-0.32185275986004336,0.0
2018-10-01,-0.2231082335578777,-0.33724500726000334,-0.17485896550903335,1.0,-0.3232724762562186,-0.32184427887934114,0.0
2018-10-02,-0.2242643557756404,-0.3278497285972764,-0.17814970002856867,1.0,-0.32582611179887633,-0.324635748976288,0.0
2018-10-03,-0.2243678270393828,-0.3283489689985237,-0.17824658317062717,1.0,-0.32570598599933326,-0.3243963998285633,0.0
2018-10-04,-0.22672951483121462,-0.32454887397038523,-0.17854592201114125,1.0,-0.32881016997571777,-0.3219778126934248,0.0
2018-10-05,-0.22698495811119573,-0.3253284463061691,-0.17828922315308457,1.0,-0.32837490479817216,-0.3210681645087586,0.0
2018-10-08,-0.22889435828813115,-0.3296375062725513,-0.1799087194437143,1.0,-0.32813209395684484,-0.3229945757365768,0.0
2018-10-09,-0.23078026734259546,-0.3299457184533346,-0.18386379396924843,1.0,-0.32643056983667706,-0.3202133001745618,0.0
2018-10-10,-0.22993601572048214,-0.33312564403652134,-0.181600325912435,1.0,-0.32715857077811594,-0.3245944067674758,0.0
2018-10-11,-0.2262214478363606,-0.33176599756545816,-0.17784089552951288,1.0,-0.32639568465522595,-0.32458171229443633,0.0
2018-10-12,-0.22793333175276798,-0.32776974323715596,-0.17797956328978876,1.0,-0.319827402261789,-0.3173380118068233,0.0
2018-10-15,-0.23215727242509143,-0.3217389239754974,-0.18293841113063297,1.0,-0.32059926872121186,-0.3168479035091885,0.0
2018-10-16,-0.23149247352675817,-0.32442186238662807,-0.1809202716178356,1.0,-0.32069423999240226,-0.31677667505579565,0.0
2018-10-17,-0.23169196417967175,-0.3253046390650609,-0.18095441696952422,1.0,-0.3208389747975011,-0.3165870923299841,0.0
2018-10-18,-0.23143243949362277,-0.3249174643137069,-0.1811272355889129,1.0,-0.3210935087760967,-0.316557014939553,0.0
2018-10-19,-0.23203290302641277,-0.326866842593253,-0.18063381118797994,1.0,-0.32118488933266764,-0.31666785535981745,0.0
2018-10-22,-0.23180650684931506,-0.328125,-0.18195871385083712,1.0,-0.32034817351598166,-0.31599600456621,0.0
2018-10-23,-0.2332532756283737,-0.32775307350248495,-0.1852662116852543,1.0,-0.3173614248686181,-0.3143176467790645,0.0
2018-10-24,-0.23270530021886002,-0.3290750785041393,-0.1861737558283376,1.0,-0.31720430107526876,-0.3137548767722904,0.0
2018-10-25,-0.22842351606269057,-0.32283762380918607,-0.18589698130156254,1.0,-0.3172351842658913,-0.3095052360352693,0.0
2018-10-26,-0.22368018812463256,-0.3191064079952968,-0.17876543209876544,1.0,-0.3224691358024691,-0.3075132275132275,0.0
2018-10-29,-0.21871482176360224,-0.3217636022514071,-0.17532833020637897,1.0,-0.3198405253283302,-0.3095919324577861,0.0
2018-10-30,-0.21967866776122902,-0.3216840623900551,-0.175935264454087,1.0,-0.3196669403072593,-0.30852585903600327,0.0
2018-10-31,-0.21884584532628695,-0.3312650403435097,-0.1740905015807106,1.0,-0.32279526258670316,-0.31227292030387394,0.0
2018-11-01,-0.2207927102759614,-0.3291234862255376,-0.17601095347135337,1.0,-0.3226316659191238,-0.31210311371308513,0.0
2018-11-02,-0.22055072737577935,-0.33015303230682036,-0.1761760816172303,1.0,-0.32238333648214623,-0.3123228792745135,0.0
2018-11-05,-0.21340463458110515,-0.3622341057635175,-0.17292929292929293,1.0,-0.3314319667260843,-0.29670825906120024,0.0
2018-11-06,-0.22068932708546418,-0.3681881972360315,-0.16897790252372685,1.0,-0.32908351371280414,-0.2916676577626603,0.0
2018-11-07,-0.22030391667261184,-0.3680530784047942,-0.16965113790397374,1.0,-0.32862476516610784,-0.29143183277448814,0.0
2018-11-08,-0.21392539964476018,-0.3693309650680876,-0.16367081113084667,1.0,-0.3268916518650089,-0.29442273534635877,0.0
2018-11-09,-0.21551703696677968,-0.3704028643919095,-0.1625210442700306,1.0,-0.32708130794584217,-0.29568681383823775,0.0
2018-11-12,-0.215460565352574,-0.3727719364868393,-0.16220065032160064,1.0,-0.3267510027769207,-0.2962760781335295,0.0
2018-11-13,-0.21217284301197406,-0.3722608736807232,-0.15952009087036773,1.0,-0.32727530881726535,-0.2951867102087179,0.0
2018-11-14,-0.21309225162114828,-0.3717044540161878,-0.15946419273914894,1.0,-0.3275192881147347,-0.29488332465565387,0.0
2018-11-15,-0.21355779916298206,-0.3728985884188873,-0.15830042796680302,1.0,-0.33040928758896276,-0.2893150166694252,0.0
2018-11-16,-0.21319880913000333,-0.3713198809130004,-0.1578611596805444,1.0,-0.3302065119795851,-0.29025093332073154,0.0
2018-11-19,-0.21344704576058968,-0.37028987219164167,-0.16090623449644453,1.0,-0.32845094379739653,-0.28937607786623826,0.0
2018-11-20,-0.2056453513029546,-0.3691154987983601,-0.15307949672494225,1.0,-0.33179397766363505,-0.2965223128033551,0.0
2018-11-21,-0.20611851990984223,-0.3669938016528926,-0.15509954921111943,1.0,-0.33020285499624336,-0.2894440270473328,0.0
2018-11-23,-0.20679593373493976,-0.3746470256024096,-0.15241434487951805,1.0,-0.3292074548192771,-0.29009789156626503,0.0
2018-11-26,-0.20688356325627383,-0.37360516031828245,-0.15262017985780874,1.0,-0.33007674560949196,-0.2909506097273883,0.0
2018-11-27,-0.20665066365433493,-0.3737644733126235,-0.1522168878847783,1.0,-0.3300385955003295,-0.2907370799209263,0.0
2018-11-28,-0.20639815446905674,-0.3767331277512299,-0.15150302488171183,1.0,-0.3290882982980627,-0.2902709446576116,0.0
2018-11-29,-0.20616130474688757,-0.37640912193170317,-0.15137323197853664,1.0,-0.3290108493563343,-0.2904615094961286,0.0
2018-11-30,-0.20639103936748474,-0.376544226651293,-0.15102242511236086,1.0,-0.32941148786973196,-0.28971456808715906,0.0
2018-12-03,-0.20641306137812596,-0.37758486837462063,-0.1480697296915802,1.0,-0.3303455901380949,-0.2901169219187428,0.0
2018-12-04,-0.21079473013174668,-0.3780280492987675,-0.14485054540303158,1.0,-0.3347027435425225,-0.2926760164329225,0.0
2018-12-06,-0.20801598495533616,-0.3728255759285378,-0.1477433004231312,1.0,-0.33347437705688765,-0.28866948754113775,0.0
2018-12-07,-0.2040950967225089,-0.3761928324026295,-0.14245658679107467,1.0,-0.33748026672321574,-0.2959873707028581,0.0
