Date,BRKL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.15970722974040336,-0.7086514664841241,-0.06942762361118425,-0.3653836027592017,-0.3296561529145384,0.0
2018-09-25,1.0,-0.15851463659943887,-0.7156317823302102,-0.06394579429357895,-0.3714996559208089,-0.33717113969615164,0.0
2018-09-26,1.0,-0.15888938884624548,-0.7161800905216908,-0.06490034673513143,-0.3712183372594691,-0.33561843254545937,0.0
2018-09-27,1.0,-0.15798175902714812,-0.7313190036801962,-0.06178996213131367,-0.3757000373353246,-0.33999146621153126,0.0
2018-09-28,1.0,-0.15544816169599232,-0.7348944009825649,-0.0623448054895469,-0.3764184444503778,-0.3409072704456252,0.0
2018-10-01,1.0,-0.1570875083500334,-0.7338944555778223,-0.0620440881763527,-0.377688710754843,-0.3412959251837007,0.0
2018-10-02,1.0,-0.1572757404041484,-0.735566128514915,-0.06174489468619694,-0.3773655511600556,-0.34098684913931354,0.0
2018-10-03,1.0,-0.15737845134044315,-0.7349851655841552,-0.06185015903562933,-0.37743565070964635,-0.3412182931066741,0.0
2018-10-04,1.0,-0.15599365267206372,-0.7466447916946829,-0.061294747317178135,-0.376106075683817,-0.3495064683574945,0.0
2018-10-05,1.0,-0.1435849309558922,-0.7430754792867676,-0.0504357152433302,-0.38460919694329,-0.35961925191044375,0.0
2018-10-08,1.0,-0.14358135293170968,-0.7440051499383081,-0.05034601148007081,-0.38455554959497884,-0.35977147148758115,0.0
2018-10-09,1.0,-0.1407760454533215,-0.7484718744109649,-0.03901769125131271,-0.39354282790747774,-0.3709508037805962,0.0
2018-10-10,1.0,-0.14247623151714295,-0.7474480864014651,-0.040911416951708905,-0.3947588138651728,-0.3677179563144712,0.0
2018-10-11,1.0,-0.10837891857774036,-0.7526562171260256,-0.001288659793814433,-0.3882810856301283,-0.3793130654323585,0.0
2018-10-12,1.0,-0.10379408761226466,-0.7554135791154983,-0.0,-0.3845670445916577,-0.37461705637453846,0.0
2018-10-15,1.0,-0.06944590474187783,-0.7966302176427295,-0.0,-0.3822416149721375,-0.3801913573756702,0.0
2018-10-16,1.0,-0.06705217505585491,-0.8004468392692864,-0.0,-0.3814955973189644,-0.37944539361282686,0.0
2018-10-17,1.0,-0.05176348547717842,-0.7745850622406639,-0.0,-0.37961618257261415,-0.387396265560166,0.0
2018-10-18,1.0,-0.05126409957215091,-0.773888240632698,-0.0,-0.380422663036432,-0.3874497601452094,0.0
2018-10-19,1.0,-0.042239711005031606,-0.7727777061024383,-0.0,-0.3795897303573732,-0.3856792671913301,0.0
2018-10-22,1.0,-0.043085422206159484,-0.7738338023078711,-0.0,-0.37919818261610344,-0.38539380953610247,0.0
2018-10-23,1.0,-0.03862204826459991,-0.7768993493869721,-0.0,-0.3862464034837606,-0.3902900541745509,0.0
2018-10-24,1.0,-0.03663620122724801,-0.775315226678404,-0.0,-0.3861947544209408,-0.3909587551458975,0.0
2018-10-25,1.0,-0.022543750159207277,-0.7613164531166418,-0.0,-0.38495045469597783,-0.3785057441984869,0.0
2018-10-26,1.0,-0.03855559602476716,-0.7783183308184609,-0.0,-0.39146157448358393,-0.3932566730839273,0.0
2018-10-29,1.0,-0.03951589764991262,-0.7806932888181748,-0.0,-0.3953154751036803,-0.3927593312292965,0.0
2018-10-30,1.0,-0.01588591501297612,-0.7862741499986893,-0.0,-0.40163053451123293,-0.41764752143025663,0.0
