Date,IWF,IWM,MTUM,SPY,VICR,VLUE,VXX
2018-09-24,-1.6577950558213717,-2.338516746411483,-1.0489433811802233,-1.9890350877192982,1.0,-1.9338118022328548,0.0
2018-09-25,-1.6580651589120257,-2.3360565906147257,-1.0505131015243598,-1.9871475540500148,1.0,-1.9312543588721731,0.0
2018-09-26,-1.6580651589120257,-2.335956959250772,-1.0506127328883132,-1.9871475540500148,1.0,-1.9313539902361263,0.0
2018-09-27,-1.6714645193759439,-2.373930548565677,-1.0567689984901862,-2.0094614997483644,1.0,-1.9536990437846,0.0
2018-09-28,-1.6692509061619007,-2.3770640354409984,-1.0578936770036245,-2.0097664115988723,1.0,-1.9543898509867095,0.0
2018-10-01,-1.6694872569759243,-2.37957086733152,-1.0582250428125315,-2.0106779490279036,1.0,-1.955676437997381,0.0
2018-10-02,-1.6937647179277155,-2.463192382512542,-1.062045663970513,-2.03798505170472,1.0,-1.9814682092761338,0.0
2018-10-03,-1.691930039889537,-2.453206505062903,-1.060652551907538,-2.0384576045821827,1.0,-1.9839419044696738,0.0
2018-10-04,-1.6919460343417825,-2.449509403107114,-1.0593826655764516,-2.038838920686836,1.0,-1.9811937857726902,0.0
2018-10-05,-1.66751269035533,-2.432690355329949,-1.0320812182741117,-2.0373604060913704,1.0,-1.9826395939086292,0.0
2018-10-08,-1.6600910470409713,-2.4224582701062216,-1.0238745574102175,-2.0338897319170464,1.0,-1.975923115832069,0.0
2018-10-09,-1.659434249214235,-2.4302950420764473,-1.014295853188685,-2.0449153401601947,1.0,-1.9898610970293014,0.0
2018-10-10,-1.659835649792026,-2.432890331743938,-1.0134929491731763,-2.046362990767982,1.0,-1.9923911940752765,0.0
2018-10-11,-1.5260054137664345,-2.3748066511987624,-0.84638437741686,-1.9668406805877803,1.0,-1.9534996133023974,0.0
2018-10-12,-1.5314143635842021,-2.3618628669790573,-0.8277708711867648,-1.9312422300851104,1.0,-1.9107774696375632,0.0
2018-10-15,-1.4986653956148712,-2.4106768350810297,-0.7778836987607246,-1.9285986653956149,1.0,-1.917063870352717,0.0
2018-10-16,-1.49509290138161,-2.4193425440686043,-0.7703668413530252,-1.927489280609814,1.0,-1.9159599809433063,0.0
2018-10-17,-1.4487394957983193,-2.3442577030812326,-0.7162464985994398,-1.9100840336134455,1.0,-1.9178338001867414,0.0
2018-10-18,-1.4846478602955289,-2.406255996929572,-0.7359431970830935,-1.9849357129149876,1.0,-1.9834004989445406,0.0
2018-10-19,-1.4590412909349788,-2.386141433317513,-0.7046037019458947,-1.9731371618414808,1.0,-1.9692453725676318,0.0
2018-10-22,-1.4591439688715953,-2.384359874727152,-0.7063680364430103,-1.972193223877764,1.0,-1.9683970769668786,0.0
2018-10-23,-1.4594363791631084,-2.383432963279249,-0.7078470443116045,-1.9706803302021065,1.0,-1.9671695606793815,0.0
2018-10-24,-1.4574135480814778,-2.379914732354334,-0.6991946944576031,-1.9702510658455707,1.0,-1.967408810990052,0.0
2018-10-25,-1.378177480040378,-2.2842066623841424,-0.6459576030100027,-1.9675139946774343,1.0,-1.9009819216298065,0.0
2018-10-26,-1.3408476104598737,-2.2467989179440937,-0.6038773669972949,-1.955184851217313,1.0,-1.870423805229937,0.0
2018-10-29,-1.3107926556202418,-2.259202866099418,-0.5727720555306763,-1.9390058217644424,1.0,-1.8748768472906403,0.0
2018-10-30,-1.307375581811672,-2.2582348728965274,-0.5703544575725027,-1.9383279627640528,1.0,-1.8765664160401003,0.0
2018-10-31,-1.2966477474281661,-2.231997162114225,-0.5557821922667613,-1.9246186590989711,1.0,-1.8593472862717277,0.0
2018-11-01,-1.2769475638871697,-2.2503315943054205,-0.5322309664868689,-1.9233353965867894,1.0,-1.8595808647979486,0.0
2018-11-02,-1.2991770639766393,-2.2051145916290595,-0.5191575966728608,-1.9584107601097247,1.0,-1.8669144323511193,0.0
2018-11-05,-1.2937062937062938,-2.225369567141719,-0.5180136319376826,-1.9599893777108968,1.0,-1.8548287155882093,0.0
2018-11-06,-1.3252570406794815,-2.2658918194009834,-0.5135449262405006,-1.9746982565936522,1.0,-1.8611533303531513,0.0
2018-11-07,-1.322271914132379,-2.2676207513416817,-0.5210196779964222,-1.97262969588551,1.0,-1.8610017889087658,0.0
2018-11-08,-1.2796931487523147,-2.260647209240808,-0.4712988272639097,-1.9508861652411604,1.0,-1.854951062516533,0.0
2018-11-09,-1.2797566566743077,-2.2599188855581023,-0.47222712043731263,-1.9503614882736728,1.0,-1.8545230118144946,0.0
2018-11-12,-1.2730617608409986,-2.2305738063950944,-0.4663162505475252,-1.94796320630749,1.0,-1.842400350416119,0.0
2018-11-13,-1.2468365401282717,-2.2217888715548626,-0.4294505113537875,-1.9401976079043162,1.0,-1.8286531461258453,0.0
2018-11-14,-1.2484612050281751,-2.221326397919376,-0.42964889466840056,-1.941135674035544,1.0,-1.8286952752492414,0.0
2018-11-15,-1.2462589741371854,-2.2196176801314764,-0.42539572701323414,-1.940749070149641,1.0,-1.8177493296427645,0.0
2018-11-16,-1.2385874246339363,-2.204565030146426,-0.41679586563307497,-1.9351421188630493,1.0,-1.8181739879414298,0.0
2018-11-19,-1.240134413234534,-2.202739962088575,-0.42383250043081167,-1.9327072204032398,1.0,-1.8168188867826986,0.0
2018-11-20,-1.2045221843003413,-2.190273037542662,-0.38080204778157,-1.9304607508532423,1.0,-1.8263651877133105,0.0
2018-11-21,-1.225513698630137,-2.2026541095890413,-0.3910958904109589,-1.949058219178082,1.0,-1.7933219178082191,0.0
2018-11-23,-1.224730631092868,-2.182743287155806,-0.3957585086369078,-1.9543355566957412,1.0,-1.793740379681888,0.0
2018-11-26,-1.2235515296530508,-2.186036574944454,-0.3942915740898992,-1.951119466757819,1.0,-1.790463168689113,0.0
2018-11-27,-1.2127478512467023,-2.198366096502425,-0.3636286273508637,-1.9489405157007913,1.0,-1.7861458599268147,0.0
