Date,AES,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.35604920499901854,-0.6224563240201532,-0.0,-0.6767650330432506,-0.6163711313223844,0.0
2018-09-25,1.0,-0.35447810123262524,-0.6253933910306845,-0.0,-0.678927353789667,-0.6194269603986363,0.0
2018-09-26,1.0,-0.3539036626553431,-0.6251106666229465,-0.0,-0.6792143489523559,-0.6208151621470964,0.0
2018-09-27,1.0,-0.3546124856627888,-0.622972308700639,-0.0,-0.678977552023595,-0.62051450106505,0.0
2018-09-28,1.0,-0.35508505129297635,-0.6228901052079578,-0.0,-0.6789682409622759,-0.6205630756120744,0.0
2018-10-01,1.0,-0.35578919613724,-0.6324775056853762,-0.0,-0.6823110642365117,-0.6253254671896115,0.0
2018-10-02,1.0,-0.35757595729255914,-0.6257826402161735,-0.0,-0.6843735582943387,-0.62756211691821,0.0
2018-10-03,1.0,-0.36030854141038005,-0.6134255411111481,-0.0,-0.701067260697543,-0.6500315855969678,0.0
2018-10-04,1.0,-0.3614461834978235,-0.611105572724554,-0.0,-0.7019904961286678,-0.6484896819858439,0.0
2018-10-05,1.0,-0.34490625929967267,-0.6000396786033132,-0.0,-0.7066097940019178,-0.6549945441920445,0.0
2018-10-08,1.0,-0.3415013227513228,-0.596957671957672,-0.0,-0.7128968253968254,-0.655489417989418,0.0
2018-10-09,1.0,-0.3379098157276607,-0.5969497469150098,-0.0,-0.7147583286465743,-0.6586495517252787,0.0
2018-10-10,1.0,-0.3395733421531338,-0.5957995700347279,-0.0,-0.7158921779394741,-0.6561600793782041,0.0
2018-10-11,1.0,-0.26230611460069225,-0.5785476220997309,-0.0,-0.6943981540828099,-0.6694334059735931,0.0
2018-10-12,1.0,-0.2603649473451188,-0.5664906233199457,-0.0,-0.6812877518105057,-0.6543120078428892,0.0
2018-10-15,1.0,-0.24817080862873725,-0.573609183802195,-0.0,-0.678472309827173,-0.6535259240570204,0.0
2018-10-16,1.0,-0.24109147247604895,-0.589401460777184,-0.0,-0.6782179783096721,-0.6531444651721631,0.0
2018-10-17,1.0,-0.23056032464491957,-0.5676291556110504,-0.0,-0.6715467457468393,-0.6518495395660996,0.0
2018-10-18,1.0,-0.23328734478866173,-0.5758497428822276,-0.0,-0.6715163677411263,-0.6549291358334379,0.0
2018-10-19,1.0,-0.22194203169266213,-0.566016001992466,-0.0,-0.6717100961987486,-0.6535288440584042,0.0
2018-10-22,1.0,-0.2220594651873091,-0.556005734588294,-0.0,-0.6786760580938728,-0.6598828149348626,0.0
2018-10-23,1.0,-0.22444146698657028,-0.5559779391144487,-0.0,-0.6767207802324495,-0.6588041005826816,0.0
2018-10-24,1.0,-0.2237878030492377,-0.5612034491377157,-0.0,-0.679205198700325,-0.6599912521869533,0.0
2018-10-25,1.0,-0.18758320222679414,-0.5137964419702288,-0.0,-0.6924845697688491,-0.6316410504659326,0.0
2018-10-26,1.0,-0.16928697631240078,-0.501991435330758,-0.0,-0.6998772197765999,-0.6234540173090168,0.0
2018-10-29,1.0,-0.1551888478493983,-0.5039616346955796,-0.0,-0.6939115929941617,-0.6256404146312403,0.0
2018-10-30,1.0,-0.1513816102906146,-0.5038113387327298,-0.0,-0.6938720819437827,-0.6285731300619343,0.0
2018-10-31,1.0,-0.15305850670296825,-0.4917877541357166,-0.0,-0.6904501198543991,-0.6241010920067473,0.0
2018-11-01,1.0,-0.1305017475268053,-0.5124400213257508,-0.0,-0.6921094721876666,-0.6268289793258695,0.0
2018-11-02,1.0,-0.1342123852130916,-0.4911702378149282,-0.0,-0.6960207205085943,-0.6218212856133741,0.0
2018-11-05,1.0,-0.1344008477320225,-0.4908603891325464,-0.0,-0.6960527477702882,-0.6221999823389163,0.0
2018-11-06,1.0,-0.12779031109000236,-0.4913619092852054,-0.0,-0.7101341724056044,-0.6391296604132035,0.0
2018-11-07,1.0,-0.1379416377110175,-0.5230158974201286,-0.0,-0.7465945081639556,-0.6673841517788506,0.0
2018-11-08,1.0,-0.09423047177107503,-0.5480587780355762,-0.0,-0.7528228924980666,-0.6984996133023975,0.0
2018-11-09,1.0,-0.09371036104322,-0.548154564860935,-0.0,-0.7536119790860997,-0.6982643937753302,0.0
