Date,CASS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27804863807549707,-0.7714068840685488,-0.06802323884039355,-0.4086649344582956,-0.3932794207806615,0.0
2018-09-25,1.0,-0.2771880574319385,-0.774073749159283,-0.06553206421615931,-0.41105944965932684,-0.39640904172880664,0.0
2018-09-26,1.0,-0.27826697481204105,-0.7755609513500863,-0.06769446801041454,-0.4107304800631893,-0.39317789544510423,0.0
2018-09-27,1.0,-0.27770943175161106,-0.7790568248388986,-0.06698886936145285,-0.4114235500878735,-0.3939367311072056,0.0
2018-09-28,1.0,-0.27526673701489035,-0.7818911947473326,-0.06759291827881346,-0.4118302262867863,-0.3945655997186071,0.0
2018-10-01,1.0,-0.2746801267754431,-0.7842763235121493,-0.06805376217865947,-0.41204953633055524,-0.3955569902570724,0.0
2018-10-02,1.0,-0.27494424228195796,-0.7825742458034981,-0.06887545486559456,-0.41228430566967955,-0.3959091442657589,0.0
2018-10-03,1.0,-0.2746392115452306,-0.7772791270679338,-0.06825648245922797,-0.41399741874926665,-0.39903789745394813,0.0
2018-10-04,1.0,-0.2758297173683593,-0.7744810601618389,-0.06869356162777061,-0.415386419608303,-0.39747273366952035,0.0
2018-10-05,1.0,-0.2623723257923849,-0.7703473909098891,-0.05478650238520297,-0.42737569141619597,-0.4117182241212795,0.0
2018-10-08,1.0,-0.2608200122738829,-0.767935942020515,-0.051258073000379906,-0.4308425143925889,-0.4114965370116017,0.0
2018-10-09,1.0,-0.26096612992781787,-0.7681697302668108,-0.051550308308249804,-0.430579502615506,-0.41105818404979694,0.0
2018-10-10,1.0,-0.2632963948422561,-0.7670828338352681,-0.05385807432531212,-0.43232654015964445,-0.407327271132423,0.0
2018-10-11,1.0,-0.2357298101121025,-0.7681594600777855,-0.019789521848547244,-0.423186913749714,-0.41289178677648136,0.0
2018-10-12,1.0,-0.24202075028976905,-0.7656404602380348,-0.01752749272043649,-0.4072597744042066,-0.3945664772566647,0.0
2018-10-15,1.0,-0.21177674207116062,-0.8150790042059792,-0.0,-0.41016823917244516,-0.40485392747527565,0.0
2018-10-16,1.0,-0.21053080245510344,-0.8168902023187088,-0.0,-0.4097238008638327,-0.4044100932030007,0.0
2018-10-17,1.0,-0.19991011488441335,-0.797280975253504,-0.0,-0.40538187129575015,-0.406364989747479,0.0
2018-10-18,1.0,-0.2010239675931135,-0.8007201530325194,-0.0,-0.40427028243501745,-0.4070833802182964,0.0
2018-10-19,1.0,-0.1893507654486535,-0.7948653480835848,-0.0,-0.4041233657391888,-0.4052966811934294,0.0
2018-10-22,1.0,-0.18969803625799603,-0.7932065141484399,-0.0,-0.4046481745300148,-0.4058213916589849,0.0
2018-10-23,1.0,-0.19724539499468113,-0.7957841106321035,-0.0,-0.40137730250265946,-0.4049885224791445,0.0
2018-10-24,1.0,-0.19625801753354058,-0.7986443716214323,-0.0,-0.40145085847127693,-0.4045318320589306,0.0
2018-10-25,1.0,-0.1846340722745217,-0.7850813019352346,-0.0,-0.3987797808022527,-0.3921817629682798,0.0
2018-10-26,1.0,-0.18953178741817375,-0.7883612559636081,-0.0,-0.39997780983024517,-0.39592810384999444,0.0
2018-10-29,1.0,-0.17033741398844887,-0.7999557852267388,-0.0,-0.3910520352612816,-0.4020780943432724,0.0
2018-10-30,1.0,-0.13982601907098646,-0.8097920035688395,-0.0,-0.4018569118385101,-0.4366809792003569,0.0
2018-10-31,1.0,-0.14043630697312037,-0.8060270465802215,-0.0,-0.4008013801547109,-0.4353052479269854,0.0
2018-11-01,1.0,-0.13837125215553206,-0.8073371530288701,-0.0,-0.40048395171608164,-0.4351393447182511,0.0
2018-11-02,1.0,-0.14796811199688897,-0.7745618177272853,-0.0,-0.42043276575650673,-0.4347657009527513,0.0
2018-11-05,1.0,-0.14605025683742884,-0.779619602943218,-0.0,-0.4206858253505484,-0.43029293349993053,0.0
2018-11-06,1.0,-0.14859950587124893,-0.7811953474169281,-0.0,-0.41876023651555955,-0.4274491297226772,0.0
