Date,FTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22774671301193897,-0.5181602941917284,-0.0,-0.3723490000503753,-0.4005087904891442,0.0
2018-09-25,1.0,-0.22766890019648345,-0.5182628847800896,-0.0,-0.37243689858431156,-0.4006499067963121,0.0
2018-09-26,1.0,-0.2280913876923852,-0.5186528627925137,-0.0,-0.37240232751454694,-0.39983374896093105,0.0
2018-09-27,1.0,-0.2275947260947387,-0.5206342803841985,-0.0,-0.3726523306526836,-0.4001310913353669,0.0
2018-09-28,1.0,-0.224408747231486,-0.5355515389119422,-0.0,-0.37934370306254933,-0.4064560474529671,0.0
2018-10-01,1.0,-0.22422837934195786,-0.5363400224101049,-0.0,-0.3793164917999389,-0.40671793827034736,0.0
2018-10-02,1.0,-0.22440142638818134,-0.5368823229750382,-0.0,-0.3792409577177789,-0.40659704533876717,0.0
2018-10-03,1.0,-0.22389693713878353,-0.5316342897879166,-0.0,-0.380859026911424,-0.409629044988161,0.0
2018-10-04,1.0,-0.22447369090955374,-0.5307130310821475,-0.0,-0.38136089402540535,-0.40908280935773744,0.0
2018-10-05,1.0,-0.21386213887480995,-0.5248352762290928,-0.0,-0.3828433857070451,-0.41267105930055753,0.0
2018-10-08,1.0,-0.21170191237478497,-0.5221845593443286,-0.0,-0.38399271476272384,-0.41171708995244355,0.0
2018-10-09,1.0,-0.20941587189152272,-0.5220471046573402,-0.0,-0.3848819853778239,-0.41344329479622555,0.0
2018-10-10,1.0,-0.20946407344647058,-0.5218391967424568,-0.0,-0.38491110043248433,-0.41295935658463795,0.0
2018-10-11,1.0,-0.17710316185013966,-0.5125460433611035,-0.0,-0.3697560010877358,-0.4127462856295271,0.0
2018-10-12,1.0,-0.18935940793020636,-0.5115179140322502,-0.0,-0.35443317159241294,-0.39528500710679804,0.0
2018-10-15,1.0,-0.17458687787229882,-0.5240784198689743,-0.0,-0.3507626870049868,-0.3950816466216877,0.0
2018-10-16,1.0,-0.17789308791854316,-0.5205110632465244,-0.0,-0.35248188760524773,-0.39673487370276095,0.0
2018-10-17,1.0,-0.16484868960857182,-0.49630773685988705,-0.0,-0.34958250880834013,-0.40250494714995894,0.0
2018-10-18,1.0,-0.16502932728282121,-0.49704313403654443,-0.0,-0.34915156050109825,-0.40256824929397284,0.0
2018-10-19,1.0,-0.15413362719497878,-0.48868073689001745,-0.0,-0.35004671441918406,-0.40275016170375866,0.0
2018-10-22,1.0,-0.1548606781449331,-0.49163109682988826,-0.0,-0.34935974293798855,-0.40209102680926573,0.0
2018-10-23,1.0,-0.15497314406291962,-0.4916075196623825,-0.0,-0.34924707462113946,-0.4020237866871283,0.0
2018-10-24,1.0,-0.1538608974819713,-0.49088382567862193,-0.0,-0.34893025707372,-0.4021658401015837,0.0
2018-10-25,1.0,-0.14464635961906563,-0.478483824467708,-0.0,-0.3467637119833637,-0.39322258194106385,0.0
2018-10-26,1.0,-0.13368169462929985,-0.4705923704189709,-0.0,-0.3510638297872341,-0.3878760896053989,0.0
2018-10-29,1.0,-0.11936642717178314,-0.4770691424839041,-0.0,-0.34400951758887743,-0.39232061211159835,0.0
2018-10-30,1.0,-0.13213691633671484,-0.4798163203148795,-0.0,-0.34625026357097677,-0.38464962631492633,0.0
2018-10-31,1.0,-0.13560466686849396,-0.46638410842784284,-0.0,-0.3451945692927505,-0.38161663678069907,0.0
2018-11-01,1.0,-0.1283989672256984,-0.4715638156823521,-0.0,-0.34463027145216435,-0.38147519248214745,0.0
2018-11-02,1.0,-0.12976320244915,-0.46406289862467237,-0.0,-0.3458264721571538,-0.3796182480228216,0.0
2018-11-05,1.0,-0.12049835448989187,-0.5059003291020217,-0.0,-0.36003761165961445,-0.3642924306535026,0.0
2018-11-06,1.0,-0.11542549422518245,-0.5042632088618059,-0.0,-0.36800585748364395,-0.37421762441248024,0.0
2018-11-07,1.0,-0.11468475281217506,-0.5060024576992155,-0.0,-0.36756782304565655,-0.37494092069193685,0.0
2018-11-08,1.0,-0.09441133686828398,-0.5087748111304021,-0.0,-0.36187884191262726,-0.38114119468818924,0.0
2018-11-09,1.0,-0.09547301900533278,-0.5096436206451007,-0.0,-0.3619705405595884,-0.3821504921652924,0.0
2018-11-12,1.0,-0.09500058541154432,-0.5024236037934668,-0.0,-0.3638449830230652,-0.3803770050345393,0.0
2018-11-13,1.0,-0.0871297741943001,-0.501572949921935,-0.0,-0.3629436301353902,-0.37864982639293454,0.0
2018-11-14,1.0,-0.08473260900239876,-0.5108884812567612,-0.0,-0.36994967311038995,-0.3861530501857862,0.0
2018-11-15,1.0,-0.08430819826168663,-0.5121681935635424,-0.0,-0.3728447263330984,-0.3797509983556495,0.0
2018-11-16,1.0,-0.08196413922418845,-0.5061525840853158,-0.0,-0.3722254775577171,-0.38347591702800893,0.0
2018-11-19,1.0,-0.08486141724897997,-0.5056746236458285,-0.0,-0.3710547296346668,-0.383295033531867,0.0
2018-11-20,1.0,-0.06507440406773336,-0.5015860428231562,-0.0,-0.3726500909642207,-0.3930820543919392,0.0
2018-11-21,1.0,-0.0663143499524836,-0.4986672229562154,-0.0,-0.3703497670537515,-0.38256495839417753,0.0
2018-11-23,1.0,-0.06594607159460715,-0.5062064156206415,-0.0,-0.3692003719200372,-0.3831706183170618,0.0
2018-11-26,1.0,-0.06606362198865222,-0.5055576225467399,-0.0,-0.36991907729513535,-0.38384801413821973,0.0
2018-11-27,1.0,-0.059838362318504965,-0.5083481925757821,-0.0,-0.36685732811523053,-0.3806822129078573,0.0
2018-11-28,1.0,-0.059149251656549745,-0.5124183309392522,-0.0,-0.3653908530651962,-0.3798943515129049,0.0
2018-11-29,1.0,-0.04498253997426944,-0.5058812718250322,-0.0,-0.3639266678919316,-0.38258132696195557,0.0
2018-11-30,1.0,-0.0450202131569276,-0.5061558250643146,-0.0,-0.36461778757809626,-0.3811328555678059,0.0
2018-12-03,1.0,-0.042837127041367114,-0.5074534304155086,-0.0,-0.3652984817511542,-0.38130785309047477,0.0
2018-12-04,1.0,-0.0387717690192484,-0.509211732355637,-0.0,-0.3631759853345554,-0.38031622364802936,0.0
2018-12-06,1.0,-0.03542716381144329,-0.4734744149591311,-0.0,-0.36517747172769005,-0.3653118351808308,0.0
2018-12-07,1.0,-0.021439093484419264,-0.483943342776204,-0.0,-0.376929178470255,-0.38400000000000006,0.0
2018-12-10,1.0,-0.005638548803774009,-0.4874536673031562,-0.0,-0.3781197349208132,-0.3752218353364035,0.0
2018-12-11,1.0,-0.0,-0.49688328762155176,-0.0,-0.374073486411134,-0.39574313756601764,0.0
2018-12-12,1.0,-0.0,-0.5040983606557378,-0.0,-0.3784229325029765,-0.4070885612235553,0.0
2018-12-13,1.0,-0.0,-0.5263846693152605,-0.0,-0.38637532133676095,-0.42421126431409206,0.0
2018-12-14,1.0,-0.0,-0.5187244480784955,-0.0,-0.3925242378226843,-0.42492699450998717,0.0
2018-12-17,1.0,-0.0,-0.5159781217269871,-0.0,-0.3791225416036309,-0.432375189107413,0.0
2018-12-18,1.0,-0.0,-0.5095261244993865,-0.0,-0.37389170544250755,-0.4315345973099983,0.0
2018-12-19,1.0,-0.0,-0.5133085155886459,-0.0,-0.37896696137738484,-0.4344113541181945,0.0
2018-12-20,1.0,-0.0,-0.510275642663075,-0.0,-0.37911896523697836,-0.43278452499825837,0.0
2018-12-21,1.0,-0.0,-0.5096887573417195,-0.0,-0.3781390186375619,-0.4245248115432641,0.0
2018-12-24,1.0,-0.0,-0.5659295461143907,-0.0,-0.4254572728152521,-0.4280460660021291,0.0
2018-12-26,1.0,-0.0,-0.5718776999136028,-0.0,-0.409210905251032,-0.41881059806086207,0.0
2018-12-27,1.0,-0.0005096710073647461,-0.6169567544150252,-0.0,-0.4842639076476135,-0.446624703753727,0.0
2018-12-28,1.0,-0.0,-0.6289108505299811,-0.0,-0.4860975984433407,-0.4452864970044549,0.0
2018-12-31,1.0,-0.0,-0.6257470438864237,-0.0,-0.48998384076743534,-0.44922666529868926,0.0
2019-01-02,1.0,-0.0,-0.6341558239593593,-0.0,-0.5028769892696076,-0.45482349282048623,0.0
2019-01-03,1.0,-0.0,-0.6339207048458149,-0.0,-0.5041461518528115,-0.45327805130862914,0.0
2019-01-04,1.0,-0.0,-0.6344044192017428,-0.0,-0.5059259835576649,-0.4530978500479784,0.0
2019-01-07,1.0,-0.0,-0.6165976588457803,-0.0,-0.49951438940857745,-0.4397587282114195,0.0
2019-01-08,1.0,-0.0,-0.6256895799656172,-0.0,-0.496908115875093,-0.44328124599081414,0.0
2019-01-09,1.0,-0.0,-0.6162224500256279,-0.0,-0.4970015376729882,-0.4495643259866735,0.0
2019-01-10,1.0,-0.0,-0.6157788197914265,-0.0,-0.49721987342096496,-0.44932995105952284,0.0
2019-01-11,1.0,-0.0,-0.6163927712076998,-0.0,-0.4962115394460656,-0.4471663338964829,0.0
2019-01-14,1.0,-0.0,-0.6156899907796332,-0.0,-0.4964143018133388,-0.4491086978793156,0.0
2019-01-15,1.0,-0.0,-0.6108992244093481,-0.0,-0.4987841400670643,-0.4500473545447564,0.0
2019-01-16,1.0,-0.0,-0.6129509996680541,-0.0,-0.48459004672777883,-0.4558894875264919,0.0
