Date,IWF,IWM,MTUM,PAGS,SPY,VLUE,VXX
2018-09-24,-1.1710949779208142,-1.9463363520694559,-0.3816331112940648,1.0,-1.63064141905546,-1.354763864980166,0.0
2018-09-25,-1.1712554242106838,-1.9449349094717943,-0.38261259913212625,1.0,-1.6295077061200058,-1.3534340864881043,0.0
2018-09-26,-1.171928774502469,-1.9456830764626665,-0.3842585665120455,1.0,-1.6289839892263953,-1.3508155020200507,0.0
2018-09-27,-1.1721477264214548,-1.9512323020450968,-0.3839988014083452,1.0,-1.6309086822982994,-1.3529852423402502,0.0
2018-09-28,-1.1722975503783055,-1.9505580942392688,-0.38482283317102406,1.0,-1.6305341224061727,-1.352910330361825,0.0
2018-10-01,-1.1724964422140665,-1.9494419893640926,-0.38528949142386343,1.0,-1.6302149651711484,-1.3526327615908922,0.0
2018-10-02,-1.1775028121484814,-1.922084739407574,-0.3965504311961005,1.0,-1.639745031871016,-1.3631046119235095,0.0
2018-10-03,-1.1771411429428529,-1.9037048147592623,-0.3940302984850758,1.0,-1.6479676016199192,-1.376781160941953,0.0
2018-10-04,-1.1784745251733495,-1.9222188724751281,-0.39538739825143204,1.0,-1.6505125113053964,-1.3902622851974678,0.0
2018-10-05,-1.1710526315789473,-1.9222556390977443,-0.37917293233082705,1.0,-1.6553383458646616,-1.3910526315789473,0.0
2018-10-08,-1.165992206235012,-1.91359412470024,-0.3735011990407674,1.0,-1.6547511990407673,-1.3860911270983214,0.0
2018-10-09,-1.1655589123867072,-1.934214501510574,-0.34984894259818733,1.0,-1.6834592145015108,-1.419712990936556,0.0
2018-10-10,-1.182496194824962,-1.945509893455099,-0.3598173515981736,1.0,-1.7030441400304417,-1.4195585996955862,0.0
2018-10-11,-1.0861681293972583,-1.8742293464858202,-0.27163269746862984,1.0,-1.6326974686298688,-1.3884819032421847,0.0
2018-10-12,-1.1394604813495235,-1.8996582563804258,-0.2621973387624518,1.0,-1.61513851523304,-1.3546862502726678,0.0
2018-10-15,-1.1100398695179412,-1.9459224356650964,-0.21797752808988766,1.0,-1.6150779267850672,-1.359985501993476,0.0
