Date,IWF,IWM,MTUM,NVEE,SPY,VLUE,VXX
2018-09-24,-0.6889886873969643,-1.5824569382070377,-0.10329145585810924,1.0,-1.1555909271786708,-1.154340287647092,0.0
2018-09-25,-0.6898119211318824,-1.5806579919313595,-0.10523325188931187,1.0,-1.1540996647536792,-1.1523382010341496,0.0
2018-09-26,-0.6896335912608101,-1.581645425580337,-0.10195721438324988,1.0,-1.1571461083295402,-1.159194355939918,0.0
2018-09-27,-0.690868520425678,-1.5999542281725598,-0.10081244993706374,1.0,-1.163920357020254,-1.1659228744707633,0.0
2018-09-28,-0.6906178489702517,-1.599599542334096,-0.10148741418764301,1.0,-1.1635011441647596,-1.165675057208238,0.0
2018-10-01,-0.6902908174948478,-1.6017861231967025,-0.10235859858026104,1.0,-1.163727959697733,-1.1665903366155255,0.0
2018-10-02,-0.6911292173513887,-1.619921964654579,-0.09920817075969704,1.0,-1.162554509983934,-1.1649644250631168,0.0
2018-10-03,-0.6908121128699244,-1.616311080523056,-0.09944941500344118,1.0,-1.1627666896077082,-1.16592108281716,0.0
2018-10-04,-0.6989092996555684,-1.6066016073478762,-0.10120551090700344,1.0,-1.1732491389207809,-1.1606199770378876,0.0
2018-10-05,-0.6769521410579344,-1.5991527364323332,-0.07528051293794367,1.0,-1.1910922830318296,-1.1823334096633844,0.0
2018-10-08,-0.6742350586216757,-1.5950814984272232,-0.06754360880754932,1.0,-1.1991421218187017,-1.183128395767801,0.0
2018-10-09,-0.672386181651796,-1.595973461450469,-0.0626286890871654,1.0,-1.2017844886753604,-1.1867993594143216,0.0
2018-10-10,-0.6734705546026301,-1.5944539736992567,-0.0638650657518582,1.0,-1.2023441966838193,-1.1834190966266438,0.0
2018-10-11,-0.5628291114683223,-1.5932597971287623,-0.0,1.0,-1.1758217393714319,-1.211019344825675,0.0
2018-10-12,-0.570474939811775,-1.5850842635149922,-0.0,1.0,-1.1428649595097395,-1.173232654847888,0.0
2018-10-15,-0.5296205296205296,-1.6225498225498225,-0.0,1.0,-1.134206934206934,-1.1735735735735735,0.0
2018-10-16,-0.5262554585152838,-1.6273471615720525,-0.0,1.0,-1.1327510917030568,-1.1721615720524017,0.0
