Date,GIL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6355678307274599,-1.2265705458290421,-0.14586649190150736,-0.8609212620541147,-0.8122834940548638,0.0
2018-09-25,1.0,-0.6352472463088822,-1.2291539723459102,-0.14431685024607452,-0.8632294352003749,-0.8151863135692523,0.0
2018-09-26,1.0,-0.6352003749707054,-1.2291539723459102,-0.1441293648933677,-0.8632763065385517,-0.8153737989219592,0.0
2018-09-27,1.0,-0.6440685929058021,-1.2182287996241483,-0.14883720930232558,-0.8680761099365749,-0.8189805027014329,0.0
2018-09-28,1.0,-0.6435383097665242,-1.2181143420867195,-0.14938694978155684,-0.8678066425517922,-0.8188096021045709,0.0
2018-10-01,1.0,-0.6433303575623737,-1.2186721796739182,-0.14983789879246348,-0.8676878259643848,-0.8190574637034254,0.0
2018-10-02,1.0,-0.6453144092489895,-1.2035435661246356,-0.15560672995582292,-0.8717454647993232,-0.8234796503430774,0.0
2018-10-03,1.0,-0.6458666415875106,-1.2056334054359072,-0.1564939339791216,-0.8714849995297659,-0.8228157622496003,0.0
2018-10-04,1.0,-0.6486397594324109,-1.1989381196259927,-0.15740262181083495,-0.8748766621247005,-0.8187755485598835,0.0
2018-10-05,1.0,-0.6365973358261275,-1.1921476980602945,-0.14307081093713483,-0.8785697592895536,-0.8236503856041131,0.0
2018-10-08,1.0,-0.6338323772212117,-1.187397975840679,-0.13763350589991138,-0.8825148080779814,-0.8225829019168882,0.0
2018-10-09,1.0,-0.6314018691588785,-1.191355140186916,-0.12789719626168225,-0.8900467289719627,-0.8321495327102804,0.0
2018-10-10,1.0,-0.6314879701004439,-1.191123569259519,-0.12772716654987154,-0.8901191310441486,-0.8313945339873862,0.0
2018-10-11,1.0,-0.5677523843800611,-1.1800881770739606,-0.04233399316177794,-0.866744646391938,-0.8419111031131905,0.0
2018-10-12,1.0,-0.5962418154094538,-1.1900170418871645,-0.03426316261548121,-0.8483720513050498,-0.8158130774060453,0.0
2018-10-15,1.0,-0.5812393812036126,-1.2127783242421533,-0.011535366180810157,-0.8474023070732362,-0.8181167844049003,0.0
2018-10-16,1.0,-0.5785938199731304,-1.2293775190326914,-0.0006269592476489028,-0.8498432601880878,-0.8198387819077475,0.0
2018-10-17,1.0,-0.547223561379673,-1.172196169522724,-0.0,-0.8379278608055397,-0.8253495200946661,0.0
2018-10-18,1.0,-0.5466894526970772,-1.1712457823934097,-0.0,-0.8386573769773454,-0.8252924937557513,0.0
2018-10-19,1.0,-0.5250868055555555,-1.1544704861111112,-0.0,-0.8385416666666667,-0.8221788194444444,0.0
2018-10-22,1.0,-0.5249620472782477,-1.1474300585556279,-0.0,-0.8407720667967903,-0.8242463673823466,0.0
2018-10-23,1.0,-0.5322475570032573,-1.1498805646036916,-0.0,-0.8376981541802389,-0.8233224755700325,0.0
2018-10-24,1.0,-0.5305510921961176,-1.144699700351761,-0.0,-0.8397967603248361,-0.8276805489208321,0.0
2018-10-25,1.0,-0.4790105888754028,-1.0773866822918845,-0.0,-0.847570418114092,-0.7813585568995103,0.0
2018-10-26,1.0,-0.45629745790689996,-1.0561654011224826,-0.0,-0.8480521624298447,-0.7662594915813801,0.0
2018-10-29,1.0,-0.4320400295299811,-1.0647198753178573,-0.0,-0.834960216553195,-0.7696661471577393,0.0
2018-10-30,1.0,-0.4180885972108286,-1.065627563576702,-0.0,-0.8362182116488925,-0.7817883511074651,0.0
2018-10-31,1.0,-0.4247791213712797,-1.036480599324132,-0.0,-0.8347379992671309,-0.7754977403200196,0.0
2018-11-01,1.0,-0.4076151001666057,-1.048396927953188,-0.0,-0.8327847535454509,-0.7747572026494371,0.0
2018-11-02,1.0,-0.41128089344030966,-1.01854614361166,-0.0,-0.8355440874087813,-0.7663589081965891,0.0
2018-11-05,1.0,-0.40382124352331605,-1.049506152849741,-0.0,-0.8430213730569948,-0.751619170984456,0.0
2018-11-06,1.0,-0.4031911877860122,-1.0488397521564816,-0.0,-0.8442878548576519,-0.7534118981087757,0.0
2018-11-07,1.0,-0.40235294117647064,-1.0533468559837729,-0.0,-0.8451115618661258,-0.7559837728194726,0.0
2018-11-08,1.0,-0.3725788988250391,-1.0502065204314874,-0.0,-0.8305329430164012,-0.7567470024461642,0.0
2018-11-09,1.0,-0.3713046272493573,-1.0523377249357326,-0.0,-0.834792737789203,-0.7582342544987146,0.0
2018-11-12,1.0,-0.3699221090473337,-1.0337926902336727,-0.0,-0.8378669862192929,-0.7528260435390453,0.0
2018-11-13,1.0,-0.33497204932006497,-1.033144352376799,-0.0,-0.8454981564445149,-0.7509812472743131,0.0
2018-11-14,1.0,-0.33620142743854087,-1.032434575733545,-0.0,-0.8458762886597938,-0.7505947660586836,0.0
2018-11-15,1.0,-0.3355255338536508,-1.0352204746246185,-0.0,-0.8512737213264133,-0.7398280575254546,0.0
2018-11-16,1.0,-0.3290371192893401,-1.0242306472081217,-0.0,-0.8562420685279187,-0.7562262055837563,0.0
2018-11-19,1.0,-0.3305840834291605,-1.0236726277806414,-0.0,-0.8552678536024425,-0.75577937269519,0.0
2018-11-20,1.0,-0.27899649482099953,-1.0141782521365839,-0.0,-0.8620771139380095,-0.7831515103776928,0.0
2018-11-21,1.0,-0.28546935276468066,-1.0052994583641819,-0.0,-0.8571484238008026,-0.7487433269687876,0.0
