Date,IWF,IWM,MTUM,QCLN,SPY,VLUE,VXX
2018-09-24,-0.2601178781925344,-0.47512278978389,-0.14022593320235754,1.0,-0.29157662082514735,-0.2887524557956778,0.0
2018-09-25,-0.26012426631302343,-0.47510989955549005,-0.14020481838944965,1.0,-0.2916083400869373,-0.2888086642599278,0.0
2018-09-26,-0.2596601977658866,-0.4764135822257293,-0.13486055285675536,1.0,-0.2959583754592755,-0.29904076147264075,0.0
2018-09-27,-0.25989299538943267,-0.4757020636603467,-0.13506250154096502,1.0,-0.29591459355506794,-0.2989718681427057,0.0
2018-09-28,-0.25901178559100546,-0.4763548498446669,-0.13533704817791806,1.0,-0.29589723359139997,-0.29902855170373294,0.0
2018-10-01,-0.26125280857262784,-0.4754203599911114,-0.13476210463939162,1.0,-0.29791856991185406,-0.2997209945433446,0.0
2018-10-02,-0.2630330582596235,-0.4618520531699363,-0.13954637545090676,1.0,-0.3020951722093196,-0.30419528586252903,0.0
2018-10-03,-0.26302514774609925,-0.45253579288345985,-0.137731510101135,1.0,-0.30723770430998243,-0.3121831804356965,0.0
2018-10-04,-0.26808436896568794,-0.44645244343219287,-0.1380898153191068,1.0,-0.3144526414814081,-0.3085359211764123,0.0
2018-10-05,-0.2700941526263627,-0.4498017839444995,-0.13780971258671953,1.0,-0.3133300297324083,-0.3066650148662042,0.0
2018-10-08,-0.27155493713660983,-0.4531382000695722,-0.13899517964518213,1.0,-0.31300004969437956,-0.30803061173781243,0.0
2018-10-09,-0.27200894521058516,-0.45317430736737485,-0.13996769785066468,1.0,-0.31243632749409866,-0.3071685923717232,0.0
2018-10-10,-0.2717761375779716,-0.4536892069882452,-0.13946668654787645,1.0,-0.3124083600487089,-0.30781083028902306,0.0
2018-10-11,-0.2546637001540305,-0.45289846214028995,-0.11696535537028435,1.0,-0.3066917679274345,-0.3137087112784529,0.0
2018-10-12,-0.2632190868354124,-0.4497032820637035,-0.1170643090710912,1.0,-0.29339953978442534,-0.29882523919098947,0.0
2018-10-15,-0.251603378590963,-0.47116338730366175,-0.10005082407609091,1.0,-0.2944408141532951,-0.3029114935017788,0.0
