Date,IWF,IWM,MGM,MTUM,SPY,VLUE,VXX
2018-09-24,-0.45441789764976415,-0.8519702225513505,1.0,-0.14253420119265695,-0.7264294344623299,-0.7221810811864209,0.0
2018-09-25,-0.4533989301472024,-0.8557260552106516,1.0,-0.13939322947171137,-0.729686462847995,-0.7263675764320019,0.0
2018-09-26,-0.4536545369358113,-0.856004997657348,1.0,-0.14005153834140247,-0.7294627518350772,-0.7252459784476026,0.0
2018-09-27,-0.45470152165431144,-0.8520873975809599,1.0,-0.14112368318376903,-0.7290284822473664,-0.7247366367538042,0.0
2018-09-28,-0.4548363182332513,-0.851886534784814,1.0,-0.14151937258574268,-0.7289008545007608,-0.7246478598462678,0.0
2018-10-01,-0.45435028689644413,-0.8532339279441041,1.0,-0.14200398142003984,-0.7287169678754051,-0.7250087825442055,0.0
2018-10-02,-0.4562667296488742,-0.8965910880176351,1.0,-0.13147535821130532,-0.7287041410801449,-0.7233506534404032,0.0
2018-10-03,-0.45577936895113697,-0.8894484223778424,1.0,-0.13065544102604454,-0.7308600204579431,-0.727437249193485,0.0
2018-10-04,-0.4543300556806065,-0.900130316313233,1.0,-0.13071121115191722,-0.7292184970185206,-0.7346285985072858,0.0
2018-10-05,-0.4465228006615736,-0.8972985744664094,1.0,-0.12097345829723558,-0.7333622115460345,-0.7397416712609277,0.0
2018-10-08,-0.4463477062413861,-0.8976176412679662,1.0,-0.12033864934042134,-0.7336089781453041,-0.7398700531600708,0.0
2018-10-09,-0.44355951583014624,-0.9000906832787918,1.0,-0.11134329535149627,-0.7397784173796474,-0.7479793399834404,0.0
2018-10-10,-0.45656155438764134,-0.9069119286510592,1.0,-0.11884854276158625,-0.7544991240643415,-0.7447045707915274,0.0
2018-10-11,-0.41253933108029367,-0.90436235093035,1.0,-0.0595501689779746,-0.7459115099250282,-0.7621489336907121,0.0
2018-10-12,-0.424750192159877,-0.8993466564181399,1.0,-0.05495772482705612,-0.7257109915449654,-0.7384319754035358,0.0
2018-10-15,-0.41821461467608223,-0.9088885477433221,1.0,-0.0448265274792754,-0.7260132023334357,-0.7399447344181762,0.0
2018-10-16,-0.4150986956019855,-0.9304321058909538,1.0,-0.03058986494286044,-0.7294624648889915,-0.7421986224941322,0.0
2018-10-17,-0.4012446400789284,-0.8982279057412819,1.0,-0.018555762152316625,-0.7267863241376694,-0.7498197548666187,0.0
2018-10-18,-0.39935410334346505,-0.8957446808510638,1.0,-0.02047872340425532,-0.7322568389057752,-0.7515577507598785,0.0
2018-10-19,-0.3889077660739231,-0.8872654509759504,1.0,-0.008834522595990487,-0.7368897949937705,-0.7535394721939064,0.0
2018-10-22,-0.38778135048231516,-0.8952903347834311,1.0,-0.01656894268961604,-0.7328541706071497,-0.750406657839985,0.0
2018-10-23,-0.38657468824621916,-0.89834363036804,1.0,-0.01095402342417466,-0.7394534359246485,-0.7549937459727855,0.0
2018-10-24,-0.38579625337234486,-0.905270357563552,1.0,-0.011589466884523312,-0.7414978910970095,-0.7556712391230003,0.0
2018-10-25,-0.35619428106388484,-0.8632412236895646,1.0,-0.005733732845041245,-0.74642104094995,-0.727555210298524,0.0
2018-10-26,-0.352858826996758,-0.8575744179192454,1.0,-0.0039050987326849393,-0.7460212201591512,-0.7236958443854995,0.0
2018-10-29,-0.33495982683347403,-0.8662728840297905,1.0,-0.0,-0.7381223172029204,-0.7294273030781084,0.0
2018-10-30,-0.3479844048845079,-0.8686552890981315,1.0,-0.0,-0.7400323672208327,-0.721384434309254,0.0
2018-10-31,-0.34844868735083534,-0.8646227281072151,1.0,-0.0,-0.7388287130530569,-0.7198090692124105,0.0
