Date,HEES,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5048356853843876,-1.4281061877035428,-0.09745386361393467,-0.890752985295569,-1.0132241192144478,0.0
2018-09-25,1.0,-0.5059189109203907,-1.4264575318141461,-0.09958567623557266,-0.8893163657886948,-1.0111472822334022,0.0
2018-09-26,1.0,-0.5064121534970899,-1.427098747163855,-0.10076945841965078,-0.8889710959850055,-1.0092236361842752,0.0
2018-09-27,1.0,-0.5143661137440759,-1.4138526856240126,-0.10549960505529227,-0.8919826224328595,-1.0111078199052133,0.0
2018-09-28,1.0,-0.5169943681454402,-1.4127556565556765,-0.10591838751111551,-0.8928465566643613,-1.0116589269834997,0.0
2018-10-01,1.0,-0.5172158276935237,-1.412191868794151,-0.10635775329743616,-0.892802450229709,-1.0114607518648422,0.0
2018-10-02,1.0,-0.5178323756687141,-1.4338220725183277,-0.10144640380424015,-0.8913215771745591,-1.0090152565880721,0.0
2018-10-03,1.0,-0.5218669057581192,-1.4155210201235306,-0.0975293883243674,-0.9108388125124527,-1.0353157999601514,0.0
2018-10-04,1.0,-0.5210908181135852,-1.4294220665499124,-0.09832374280710533,-0.9099324493370028,-1.0449837378033524,0.0
2018-10-05,1.0,-0.5034396809571285,-1.4241276171485542,-0.07916251246261216,-0.9192921236291126,-1.058973080757727,0.0
2018-10-08,1.0,-0.5007716433514213,-1.4202718175934683,-0.07273360880171255,-0.9253746204012545,-1.0591925125703192,0.0
2018-10-09,1.0,-0.5157937026063375,-1.433134133480641,-0.09200020087380104,-0.9267814995229247,-1.0541354893787978,0.0
2018-10-10,1.0,-0.5161827821257258,-1.445796516031305,-0.08639232517041151,-0.9326937642009593,-1.0681646048977531,0.0
2018-10-11,1.0,-0.45903170312116004,-1.4443843696239864,-0.014499877119685426,-0.9138854755468175,-1.0833620054067339,0.0
2018-10-12,1.0,-0.4625619112362824,-1.4397882878508301,-0.004467320578809362,-0.8896280470039818,-1.0593376711663591,0.0
2018-10-15,1.0,-0.40200412614205716,-1.5345318793594656,-0.0,-0.8950781019746537,-1.0804597701149423,0.0
