Date,IWF,IWM,MTUM,SPY,STNE,VLUE,VXX
2019-06-24,-0.0,-1.1163724587969548,-1.396469505563457,-2.568476533087928,1.0,-2.2848657240860035,0.0
2019-06-25,-0.0,-1.104532530523499,-1.400485030941629,-2.571834754975748,1.0,-2.2857501254390367,0.0
2019-06-26,-0.0,-1.1042049057233438,-1.3799432671450025,-2.5516435841815452,1.0,-2.307191723677624,0.0
2019-06-27,-0.0,-1.102386515353805,-1.3764185580774366,-2.550483978638184,1.0,-2.315170226969292,0.0
2019-06-28,-0.0,-1.05787191460974,-1.3908438959306204,-2.5733822548365577,1.0,-2.316794529686458,0.0
2019-07-01,-0.0,-1.0452805060762445,-1.3967038455135676,-2.579823539204262,1.0,-2.301814549692026,0.0
2019-07-02,-0.0,-1.0745870181878858,-1.3829467712331054,-2.5705823460704154,1.0,-2.314950775905223,0.0
2019-07-03,-0.0,-1.0845223195661244,-1.3762202753441803,-2.5661243220692533,1.0,-2.3168961201501874,0.0
2019-07-05,-0.0,-1.0861407605070048,-1.3641594396264178,-2.564126084056037,1.0,-2.324466310873916,0.0
2019-07-08,-0.0,-1.0997993981945837,-1.35489802741558,-2.5689568706118355,1.0,-2.3348378468739552,0.0
2019-07-09,-0.0,-1.083347252380157,-1.355854351094037,-2.569734424586604,1.0,-2.3424085518623685,0.0
2019-07-10,-0.0,-1.088761872741027,-1.3747163150374042,-2.5923342018996385,1.0,-2.3497520383289907,0.0
2019-07-11,-0.0,-1.0849326599326599,-1.376936026936027,-2.6010101010101008,1.0,-2.3545454545454545,0.0
2019-07-12,-0.0,-1.036551960280774,-1.4057524396507448,-2.6782229070364663,1.0,-2.4397363465160073,0.0
2019-07-15,-0.0,-1.03354550146224,-1.4372957164975055,-2.7213142955444694,1.0,-2.4092551178393258,0.0
2019-07-16,-0.0,-1.0311371064854635,-1.439188026836401,-2.721056253225529,1.0,-2.4099432306898327,0.0
2019-07-17,-0.0,-1.0386103706251613,-1.4336572362197952,-2.7172585776936966,1.0,-2.4096654914438043,0.0
2019-07-18,-0.0,-1.0455610518094247,-1.4759177297578756,-2.74390349735312,1.0,-2.413000086782956,0.0
2019-07-19,-0.0,-1.0517855591276393,-1.47145712051438,-2.759579459553393,1.0,-2.406030063428621,0.0
2019-07-22,-0.0,-1.0468709313427653,-1.4603767034111623,-2.7544483985765122,1.0,-2.4181928652026734,0.0
2019-07-23,-0.0,-1.040041782729805,-1.4724059888579388,-2.7681928969359335,1.0,-2.4240947075208914,0.0
2019-07-24,-0.0,-1.048313422347154,-1.5371574139142656,-2.786718200983837,1.0,-2.41206957132818,0.0
2019-07-25,-0.0,-0.9793841797911874,-1.5983011856308618,-2.8700230047779156,1.0,-2.40028313572819,0.0
2019-07-26,-0.0,-0.9617389767606256,-1.5988336131483607,-2.875143589290448,1.0,-2.4004594857294337,0.0
2019-07-29,-0.0,-0.9637264443068212,-1.5984251968503935,-2.88463239847828,1.0,-2.400424666017871,0.0
2019-07-30,-0.0,-0.9509517485613104,-1.6019477644975653,-2.888888888888889,1.0,-2.4115980522355027,0.0
2019-07-31,-0.0,-1.004968944099379,-1.597071872227152,-2.8782608695652177,1.0,-2.3929015084294587,0.0
2019-08-01,-0.0,-1.0244354269583626,-1.5522230063514468,-2.8778228652081865,1.0,-2.36697247706422,0.0
