Date,FBRX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0739736946990832,-2.570027899561578,-0.1433240334794739,-1.6385811080111596,-1.5453965723395773,0.0
2018-09-25,1.0,-1.081531711208616,-2.5672118069405663,-0.1534104507379338,-1.6361388113282809,-1.5392899880335065,0.0
2018-09-26,1.0,-1.0813721579577185,-2.567291583566015,-0.1528520143597926,-1.6362983645791784,-1.5398484244116475,0.0
2018-09-27,1.0,-1.1148097277207722,-2.5649995960248844,-0.16627615738870485,-1.667124505130484,-1.5662923163933102,0.0
2018-09-28,1.0,-1.1324761982260558,-2.5750671332085604,-0.16771096102205224,-1.6823175197330946,-1.5797868012043292,0.0
2018-10-01,1.0,-1.1351969919895373,-2.5900768350498606,-0.1705901585744646,-1.6893902239659964,-1.5887690044139282,0.0
2018-10-02,1.0,-1.1408577508593878,-2.5613029955802915,-0.1827631363561958,-1.6997871992142741,-1.5998526763791128,0.0
2018-10-03,1.0,-1.1394930498773508,-2.553229762878168,-0.18250204415372034,-1.699836467702371,-1.6016353229762876,0.0
2018-10-04,1.0,-1.2974053669806291,-2.701350630886796,-0.21992180558023813,-1.930602452461347,-1.736538119779634,0.0
2018-10-05,1.0,-1.2670194003527337,-2.685626102292769,-0.18403880070546738,-1.9372134038800704,-1.7444444444444445,0.0
2018-10-08,1.0,-1.2614396339317142,-2.6770503343892993,-0.17238648363252376,-1.9458817317845827,-1.7428722280887012,0.0
2018-10-09,1.0,-1.2593048834139904,-2.678046634403872,-0.16682798064232293,-1.948526176858777,-1.7463264408271009,0.0
2018-10-10,1.0,-1.3468634686346863,-2.7882841328413286,-0.20285977859778598,-2.0687269372693726,-1.8183579335793358,0.0
2018-10-11,1.0,-1.1931016461980664,-2.7148332026826933,-0.03370786516853933,-1.9778764915948088,-1.7905234735650206,0.0
2018-10-12,1.0,-1.2124068203238796,-2.698397737983035,-0.013195098963242224,-1.9229714677405536,-1.7213606374775083,0.0
