Date,GPMT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.17584177172368687,-0.3961345030558625,-0.0,-0.3566901964321959,-0.32660517354141766,0.0
2018-09-25,1.0,-0.17511395947104755,-0.3968271877961818,-0.0,-0.3572008845962901,-0.32745859096448077,0.0
2018-09-26,1.0,-0.17474610697359513,-0.3965921913789212,-0.0,-0.3573008350259535,-0.32818776799819455,0.0
2018-09-27,1.0,-0.17443435848800976,-0.3978232398500655,-0.0,-0.35742672627918526,-0.3283656234475907,0.0
2018-09-28,1.0,-0.17494805312132986,-0.397664649019785,-0.0,-0.3575074532478092,-0.3284623723913633,0.0
2018-10-01,1.0,-0.17456511412219783,-0.4002533535412943,-0.0,-0.35781663537448816,-0.3294727079421811,0.0
2018-10-02,1.0,-0.17326407004967903,-0.4122904521017172,-0.0,-0.35571535512555863,-0.3271782773404714,0.0
2018-10-03,1.0,-0.17306907342736633,-0.4099732414168443,-0.0,-0.3562746609823575,-0.3283822395573495,0.0
2018-10-04,1.0,-0.1727377953292027,-0.4116565670320692,-0.0,-0.3556660084882322,-0.3295204375751799,0.0
2018-10-05,1.0,-0.16664782362916902,-0.40827586206896554,-0.0,-0.3559977388355003,-0.33024307518371965,0.0
2018-10-08,1.0,-0.16580825878738592,-0.40731453871871326,-0.0,-0.3561263214963405,-0.32974157404897436,0.0
2018-10-09,1.0,-0.1618089315997739,-0.40757490107405314,-0.0,-0.35832673827020917,-0.33345392877331825,0.0
2018-10-10,1.0,-0.16143183411347034,-0.4077968477941343,-0.0,-0.3582751057142211,-0.33376297401804494,0.0
2018-10-11,1.0,-0.12642765797945055,-0.3982008202143141,-0.0,-0.34479869471270447,-0.3354500154341403,0.0
2018-10-12,1.0,-0.12493712686159161,-0.3944277997681894,-0.0,-0.33888074879174224,-0.32864609530474337,0.0
2018-10-15,1.0,-0.11569508683131163,-0.4012566541583035,-0.0,-0.33659132559560173,-0.32814818046949995,0.0
2018-10-16,1.0,-0.11191879502292076,-0.4079240340537001,-0.0,-0.33577821436367605,-0.32728661864221786,0.0
2018-10-17,1.0,-0.10601043222301583,-0.3966625543795857,-0.0,-0.3333766205657641,-0.32831201437136115,0.0
2018-10-18,1.0,-0.10580190006275834,-0.39635136012465105,-0.0,-0.3336363046159839,-0.32829102555779177,0.0
2018-10-19,1.0,-0.09750279377632597,-0.38990372216968966,-0.0,-0.3341356485859194,-0.3275165477520846,0.0
2018-10-22,1.0,-0.09738165871275635,-0.38342147125843756,-0.0,-0.33793370308267767,-0.33096865729395075,0.0
2018-10-23,1.0,-0.09820315522503546,-0.3833555431371706,-0.0,-0.3372093023255814,-0.3305678545329493,0.0
2018-10-24,1.0,-0.09798214978657353,-0.38841460785581855,-0.0,-0.33865821584098654,-0.3307679041089984,0.0
2018-10-25,1.0,-0.07763909900823666,-0.3624978988065221,-0.0,-0.3467389477223063,-0.31429652042360057,0.0
2018-10-26,1.0,-0.0717715335476598,-0.35720846728737843,-0.0,-0.34800217109932774,-0.3106133355601019,0.0
2018-10-29,1.0,-0.06684430751295876,-0.35793242708745343,-0.0,-0.3461290255428107,-0.310822907342257,0.0
