Date,CFFA,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-07,1.0,-0.0,-0.0,-0.1505315622774927,-0.05591838738982052,-0.0211642809791549,0.0
2019-10-08,1.0,-0.0,-0.0,-0.15047256658892844,-0.05583650423468762,-0.021148889161654597,0.0
2019-10-09,1.0,-0.0,-0.0,-0.144395895962903,-0.054099777272008084,-0.018597178778769034,0.0
2019-10-10,1.0,-0.0,-0.0,-0.1428692957404144,-0.05398310749225254,-0.01843592392295072,0.0
2019-10-11,1.0,-0.0,-0.0,-0.1429526286367061,-0.053994604185402126,-0.018326325255815082,0.0
2019-10-14,1.0,-0.0,-0.0,-0.14297499605711722,-0.05425406723525059,-0.01596564232593689,0.0
2019-10-15,1.0,-0.0,-0.0,-0.1428900808193578,-0.05446205373395142,-0.016151736524039513,0.0
2019-10-16,1.0,-0.0,-0.0,-0.14502521334367727,-0.053457137315748644,-0.013697633824670286,0.0
2019-10-17,1.0,-0.0,-0.0,-0.14292293335595602,-0.05594269993819156,-0.013064608001163451,0.0
2019-10-18,1.0,-0.0,-0.0,-0.14305974762718646,-0.05551717032134502,-0.01358837291053008,0.0
2019-10-21,1.0,-0.0,-0.0,-0.14266497000545356,-0.05506877537417439,-0.014167121129491608,0.0
2019-10-22,1.0,-0.0,-0.0,-0.14284329642104243,-0.05489592672466016,-0.01381182001017713,0.0
2019-10-23,1.0,-0.0,-0.0,-0.13972430319387125,-0.054413206336911664,-0.01612063853219892,0.0
2019-10-24,1.0,-0.0,-0.0,-0.13991550352875665,-0.054402169307685794,-0.0162334911085017,0.0
2019-10-25,1.0,-0.0,-0.0,-0.13543733965826033,-0.05681543153105184,-0.01787356600029043,0.0
2019-10-28,1.0,-0.0,-0.0,-0.13549902531752853,-0.055780896223559466,-0.01950575728590282,0.0
2019-10-29,1.0,-0.0,-0.0,-0.13553330831527596,-0.05627852361180045,-0.018727226506228285,0.0
2019-10-30,1.0,-0.0,-0.0,-0.13548137116010994,-0.056606972041604614,-0.018743870100621163,0.0
2019-10-31,1.0,-0.0,-0.0,-0.13467336683417086,-0.0564509293455228,-0.019749349155415635,0.0
2019-11-01,1.0,-0.0,-0.0,-0.1338898971566848,-0.05719298245614035,-0.01883847549909256,0.0
2019-11-04,1.0,-0.0,-0.0,-0.13524392012764105,-0.0570516849586617,-0.016414446647004786,0.0
2019-11-05,1.0,-0.0,-0.0,-0.13492274584713593,-0.05723335831902701,-0.01681698382377832,0.0
2019-11-06,1.0,-0.0,-0.0,-0.13408887707512748,-0.05697991929052993,-0.01715680351835295,0.0
2019-11-07,1.0,-0.0,-0.0,-0.1356151465325467,-0.05654560402359996,-0.016853660895637876,0.0
2019-11-08,1.0,-0.0,-0.0,-0.13657911285251295,-0.05652300101581773,-0.016204711459391476,0.0
2019-11-11,1.0,-0.0,-0.0,-0.1360882342270435,-0.05706925951456663,-0.0161811123607735,0.0
2019-11-12,1.0,-0.0,-0.0,-0.1355554748677729,-0.058409885867131424,-0.016363482323324016,0.0
2019-11-13,1.0,-0.0,-0.0,-0.13549207117782353,-0.05849170802566276,-0.01652342331436872,0.0
2019-11-14,1.0,-0.0,-0.0,-0.13532651455546812,-0.05848816800823095,-0.016607153664588755,0.0
2019-11-15,1.0,-0.0,-0.0,-0.1350340218417803,-0.05921737656488365,-0.01649030195898007,0.0
2019-11-18,1.0,-0.0,-0.0,-0.1353042257611695,-0.058860545040902275,-0.015961566387530858,0.0
2019-11-19,1.0,-0.0,-0.0,-0.13575838276237745,-0.058915385546544005,-0.01584553928095872,0.0
2019-11-20,1.0,-0.0,-0.0,-0.13594383586515765,-0.05886340252980693,-0.01562670217272892,0.0
2019-11-21,1.0,-0.0,-0.0,-0.13602460405870104,-0.05855572238097545,-0.016249334043686735,0.0
2019-11-22,1.0,-0.0,-0.0,-0.13300814582602066,-0.05990147544753628,-0.01746571611856837,0.0
2019-11-25,1.0,-0.0,-0.0,-0.13313641701066495,-0.06005544324330868,-0.01734719817933105,0.0
2019-11-26,1.0,-0.0,-0.0,-0.13285436094681713,-0.05994411988823978,-0.01672774774120977,0.0
2019-11-27,1.0,-0.0,-0.0,-0.13187304966254626,-0.06001596555310965,-0.017634679116572727,0.0
