Date,IWF,IWM,JPM,MTUM,SPY,VLUE,VXX
2018-09-24,-0.20725220725220725,-0.2996732996732997,1.0,-0.24783324783324784,-0.4586224586224587,-0.48662148662148663,0.0
2018-09-25,-0.20649119014160633,-0.3012917522430008,1.0,-0.24605448059669227,-0.46003134796238243,-0.4885417792671063,0.0
2018-09-26,-0.20631317226095888,-0.3011458840062699,1.0,-0.24560834549483812,-0.4602183665747797,-0.4892708502243122,0.0
2018-09-27,-0.20560621228929357,-0.3047701507075408,1.0,-0.2447577044833464,-0.4607538082740334,-0.48981303606699317,0.0
2018-09-28,-0.20363252490255523,-0.30722174101342575,1.0,-0.24510069294066697,-0.46080554352533565,-0.49003897791251627,0.0
2018-10-01,-0.20722970039079464,-0.3069094659140252,1.0,-0.24413808076422058,-0.464150021710812,-0.4914242292661746,0.0
2018-10-02,-0.20810832813220806,-0.3003446310819245,1.0,-0.24647906434018071,-0.4656590051830344,-0.49306667390301484,0.0
2018-10-03,-0.20790601768951109,-0.29391176949373266,1.0,-0.24540126973791307,-0.4683108144771827,-0.4975581963210158,0.0
2018-10-04,-0.20753590140348022,-0.2957352661725982,1.0,-0.2453782881342129,-0.4674919238808807,-0.49854765588945904,0.0
2018-10-05,-0.19411158705199802,-0.287832782085344,1.0,-0.23423521119123786,-0.480453288510546,-0.5143957056877948,0.0
2018-10-08,-0.19296583094167974,-0.2858341907185791,1.0,-0.2326311799426003,-0.4819407591920723,-0.5141603942167109,0.0
2018-10-09,-0.19090712040749971,-0.28690256854882407,1.0,-0.2269426682562046,-0.48561287525739677,-0.5190744554026228,0.0
2018-10-10,-0.19046070460704606,-0.2873441734417344,1.0,-0.22634146341463415,-0.4857452574525746,-0.5201084010840109,0.0
2018-10-11,-0.1633380315400367,-0.27952556976836956,1.0,-0.19963832672925033,-0.48317953354785526,-0.5336808233385635,0.0
2018-10-12,-0.16041109315815963,-0.2749185495192435,1.0,-0.19860673323974257,-0.4819749423886844,-0.5328848038566472,0.0
2018-10-15,-0.14024503680867462,-0.3176442448241954,1.0,-0.16700773380816966,-0.4882132511228639,-0.5445557711218009,0.0
2018-10-16,-0.13981609439778886,-0.31941639204847455,1.0,-0.1657010736685447,-0.48822685234399915,-0.5444615711704051,0.0
2018-10-17,-0.1329452361509891,-0.30374311829939676,1.0,-0.16044569712614914,-0.48776440218107103,-0.549245317809446,0.0
2018-10-18,-0.1313325773359002,-0.30161660381339167,1.0,-0.16195047337746246,-0.4918906089295603,-0.5504100846541311,0.0
2018-10-19,-0.12430105268684537,-0.2948835744099966,1.0,-0.1586118184443336,-0.4946053080618486,-0.5527262226655816,0.0
2018-10-22,-0.125597144207045,-0.2924038007244475,1.0,-0.15591369625702137,-0.49658774738831435,-0.5543073127198278,0.0
2018-10-23,-0.12435887319498147,-0.29477366579867964,1.0,-0.15092453773113446,-0.5021699676477551,-0.5580367710881401,0.0
2018-10-24,-0.12325777099879032,-0.2944564245516226,1.0,-0.1505022879082733,-0.5028138641981802,-0.5587492768106033,0.0
2018-10-25,-0.10255882201513669,-0.2665911548164547,1.0,-0.1484065283426865,-0.5121505431704679,-0.5445348298409102,0.0
2018-10-26,-0.09759467758444218,-0.2621033776867963,1.0,-0.14089048106448313,-0.5168372569089048,-0.5414022517911975,0.0
2018-10-29,-0.09000459207102403,-0.26414612990458697,1.0,-0.1364610439308128,-0.5151028113679269,-0.5454104801265371,0.0
2018-10-30,-0.07624213273294786,-0.2695850176533798,1.0,-0.12513431919357315,-0.5218236708795989,-0.5657012741134934,0.0
2018-10-31,-0.0769839042930388,-0.2634237175726348,1.0,-0.12598525623039053,-0.5205724051730736,-0.5638599086804581,0.0
2018-11-01,-0.08113009936904488,-0.2593557616164712,1.0,-0.12986946637034769,-0.5204741104043732,-0.5636702684752344,0.0
2018-11-02,-0.08842464184839309,-0.23919183694241583,1.0,-0.12465966055115905,-0.5303188376294562,-0.5619990330542762,0.0
2018-11-05,-0.0869476736791229,-0.24313805296227517,1.0,-0.12467248352878328,-0.530538526112284,-0.5585459540586604,0.0
2018-11-06,-0.08763227513227513,-0.24356430606430604,1.0,-0.12454212454212453,-0.5300925925925926,-0.5579212454212453,0.0
2018-11-07,-0.08677633418931632,-0.2432686684803336,1.0,-0.1259820497826142,-0.5290991838498894,-0.5573974727314333,0.0
2018-11-08,-0.07843931074618557,-0.24374383239290504,1.0,-0.11892411629260394,-0.5275676222767642,-0.5616254649426886,0.0
2018-11-09,-0.07704772756045068,-0.24436004557538926,1.0,-0.1197366755285479,-0.5292821876186858,-0.5615141157108494,0.0
2018-11-12,-0.07650149012476638,-0.23733393948578066,1.0,-0.11968985199777744,-0.5317219780774864,-0.5604131939182704,0.0
2018-11-13,-0.06838187213922842,-0.23343896182284596,1.0,-0.1151602032090941,-0.5354358432674413,-0.5625471555756753,0.0
2018-11-14,-0.06966212986490226,-0.23291151978666128,1.0,-0.11502176155374977,-0.5359128531535384,-0.5622782963093411,0.0
