Date,ALKS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.9004997153520146,-1.7119994939591372,-0.38598266810044907,-1.2095009171990636,-1.1174647352773737,0.0
2018-09-25,1.0,-0.9075129861902952,-1.710629671861143,-0.39484353224376034,-1.2083491701507665,-1.1133916128214874,0.0
2018-09-26,1.0,-0.9097305863708399,-1.7132171156893818,-0.3987321711568938,-1.2083042789223455,-1.109096671949287,0.0
2018-09-27,1.0,-0.9124707074545569,-1.7038444486667932,-0.4010386978276015,-1.2079295712204698,-1.1082399138640826,0.0
2018-09-28,1.0,-0.9161118508655127,-1.703252805782766,-0.401813455075772,-1.2096886690761526,-1.1098218248684295,0.0
2018-10-01,1.0,-0.9201066937634956,-1.7032897243744445,-0.4018798424996825,-1.2135780515686525,-1.1120284516702656,0.0
2018-10-02,1.0,-0.9238446379759709,-1.6833640582289746,-0.4101455724365901,-1.220329286122942,-1.1192549742546565,0.0
2018-10-03,1.0,-0.923472954935486,-1.6707557363503462,-0.4085044174664717,-1.2254496917307571,-1.1278840653403674,0.0
2018-10-04,1.0,-0.9236733396885923,-1.6695265332062281,-0.40927867810613283,-1.2252939307276771,-1.1274229424849063,0.0
2018-10-05,1.0,-0.9037450098219377,-1.662125340599455,-0.3857170014574488,-1.2400354857106648,-1.1451112096825296,0.0
2018-10-08,1.0,-0.9072894099655919,-1.668025997196381,-0.3770867847585065,-1.26277558302536,-1.1566840830890786,0.0
2018-10-09,1.0,-0.9057661675692896,-1.6686842943612616,-0.3732398853137942,-1.2645428480407772,-1.1591589678241478,0.0
2018-10-10,1.0,-0.905645933014354,-1.6732376395534292,-0.3707814992025518,-1.266475279106858,-1.163444976076555,0.0
2018-10-11,1.0,-0.8197119880306714,-1.701701888909669,-0.23153170001870207,-1.266504582008603,-1.2145128109220122,0.0
2018-10-12,1.0,-0.8282567226632208,-1.693988062273091,-0.21783274875392286,-1.236293151190696,-1.1771583287182328,0.0
2018-10-15,1.0,-0.801621920501321,-1.7412913927627942,-0.17712109111015545,-1.2378816735270628,-1.1856607482951405,0.0
2018-10-16,1.0,-0.7993119970514161,-1.7493703544443762,-0.17095644695620124,-1.2378524479390627,-1.1853922231095277,0.0
2018-10-17,1.0,-0.7703600773320446,-1.6903093281778636,-0.13653939101014984,-1.2383397776703722,-1.2060173997100048,0.0
2018-10-18,1.0,-0.7721197459933475,-1.6947686725128515,-0.13462352585424855,-1.238645297853039,-1.2076201995766556,0.0
2018-10-19,1.0,-0.75244788850844,-1.6830059470174803,-0.10938907911335376,-1.2492941671171982,-1.212891211629723,0.0
2018-10-22,1.0,-0.7535422670509125,-1.677593659942363,-0.10668828049951969,-1.251320845341018,-1.2146974063400575,0.0
2018-10-23,1.0,-0.7530544688534457,-1.6832380379175442,-0.10021065302437558,-1.2603069515498044,-1.2218477279566657,0.0
2018-10-24,1.0,-0.7659406661408724,-1.6890129224049018,-0.0805071892252624,-1.2831402050597585,-1.2482557786810653,0.0
2018-10-25,1.0,-0.7112429546128745,-1.6303174132304952,-0.04811628596855532,-1.3276179175318896,-1.2156630080094928,0.0
2018-10-26,1.0,-0.6913219029785242,-1.606120896483118,-0.028439346948329336,-1.3269354555562058,-1.198899877113933,0.0
