Date,HUBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4170299113182023,-1.069630241996092,-0.09071095746279874,-0.5621148354125958,-0.6182173455583947,0.0
2018-09-25,1.0,-0.41728348675558896,-1.0692090926169453,-0.09122675183167386,-0.5617884651512305,-0.6177719331204209,0.0
2018-09-26,1.0,-0.41677958446251123,-1.0698584763625412,-0.0872854561878952,-0.5647771755495332,-0.6251881963264077,0.0
2018-09-27,1.0,-0.41854080481383976,-1.0642722828130875,-0.08883038736367053,-0.5644979315532155,-0.6247085370440014,0.0
2018-09-28,1.0,-0.41512275945172467,-1.069174574484109,-0.08977255610784757,-0.5655972284982678,-0.625997891248682,0.0
2018-10-01,1.0,-0.4147802177106482,-1.0698708049267394,-0.09021055406983314,-0.5655203585822441,-0.6262382763945911,0.0
2018-10-02,1.0,-0.41506010433204804,-1.092273380207152,-0.08456188100098284,-0.5642246919180465,-0.6240266122325546,0.0
2018-10-03,1.0,-0.41475855815007934,-1.0880752663795057,-0.08429683367339227,-0.5652535328345802,-0.6260485150759465,0.0
2018-10-04,1.0,-0.4150073676653946,-1.0872784977519174,-0.0848226092870367,-0.5653833075150186,-0.6257981637510862,0.0
2018-10-05,1.0,-0.40254508489891194,-1.083769436391702,-0.0712699070065133,-0.5719664169270735,-0.6353676442905011,0.0
2018-10-08,1.0,-0.4008118469518153,-1.0812598661955948,-0.06833045177779448,-0.573592422761783,-0.634518529654965,0.0
2018-10-09,1.0,-0.39801995220574293,-1.0939574403520085,-0.047225277851534346,-0.5946591814285173,-0.6593331563175664,0.0
2018-10-10,1.0,-0.39742567490602576,-1.0965941451190342,-0.045373429016212934,-0.5952462315373809,-0.6623001860500437,0.0
2018-10-11,1.0,-0.33569100873944596,-1.1037253740186639,-0.0,-0.579358613538735,-0.6844171233891275,0.0
2018-10-12,1.0,-0.3390190336749634,-1.1004758418740848,-0.0,-0.5578696925329428,-0.6629575402635433,0.0
2018-10-15,1.0,-0.3316882357242085,-1.106492651897346,-0.0,-0.555348395115888,-0.6622431819843533,0.0
2018-10-16,1.0,-0.31950635476146616,-1.1410204457542825,-0.0,-0.558629581875115,-0.664763308159882,0.0
2018-10-17,1.0,-0.30067898769107876,-1.1078029120220763,-0.0,-0.552340147416579,-0.6701281725427545,0.0
2018-10-18,1.0,-0.3006172839506173,-1.108242556281772,-0.0,-0.5521060275962237,-0.6701161946259986,0.0
2018-10-19,1.0,-0.2898655486482579,-1.1066213676449328,-0.0,-0.5493711146450774,-0.668425618042504,0.0
2018-10-22,1.0,-0.289967123089707,-1.1000397413201344,-0.0,-0.5521153220853355,-0.6707250984500885,0.0
2018-10-23,1.0,-0.3007537870551569,-1.1043705153294194,-0.0,-0.5485612814379938,-0.6702544031311154,0.0
2018-10-24,1.0,-0.299796674170358,-1.1109578098903492,-0.0,-0.5494154382397793,-0.6706121559799579,0.0
2018-10-25,1.0,-0.271919578068033,-1.0763512796007222,-0.0,-0.5474142508229798,-0.644012601323847,0.0
2018-10-26,1.0,-0.2762046696472926,-1.0773543396494216,-0.0,-0.5485771059541551,-0.6462280888510397,0.0
2018-10-29,1.0,-0.22939315711013342,-1.1466749081918335,-0.0,-0.5592844416972694,-0.7006144784205359,0.0
2018-10-30,1.0,-0.21277060214662544,-1.1482990722212116,-0.0,-0.5615062761506276,-0.7157722394033109,0.0
