Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WEN
2018-09-24,-0.28858279767370676,-0.7385674931129477,-0.07064585246403428,-0.48595041322314053,-0.4771962044689318,0.0,1.0
2018-09-25,-0.29258431096272247,-0.736851778111312,-0.07593347015039667,-0.48420988145924587,-0.4735197721076975,0.0,1.0
2018-09-26,-0.2935228874318279,-0.7381273362338379,-0.07785403517372387,-0.4838225381457197,-0.47055579385991786,0.0,1.0
2018-09-27,-0.29840909787573183,-0.7291788002329644,-0.08074058179811788,-0.4854243938325721,-0.47153848511786156,0.0,1.0
2018-09-28,-0.2947779554680773,-0.7370525279862222,-0.08149833927912412,-0.48791364251445446,-0.4741665641530324,0.0,1.0
2018-10-01,-0.29702269158533207,-0.7361371963422518,-0.08109855599002432,-0.4898241940946458,-0.4748606792081037,0.0,1.0
2018-10-02,-0.2973646942922234,-0.733113724524352,-0.08238408964965212,-0.4902715350040022,-0.4754633335385752,0.0,1.0
2018-10-03,-0.297202474379097,-0.7306804542516849,-0.08226387221863171,-0.49081340596436157,-0.47662573477364356,0.0,1.0
2018-10-04,-0.29657700958190836,-0.7334627353113349,-0.08244754598391717,-0.4898481067258218,-0.47863326863234423,0.0,1.0
2018-10-05,-0.28973713303034027,-0.7312983662940671,-0.07517503992138558,-0.49259918928878516,-0.48206608524751265,0.0,1.0
2018-10-08,-0.28960906934475217,-0.7319552694002033,-0.06780444225378145,-0.5048827824158221,-0.48633745109516036,0.0,1.0
2018-10-09,-0.2884562062910133,-0.7324624911426723,-0.06482023475769433,-0.506515912381774,-0.48858560029575776,0.0,1.0
2018-10-10,-0.2914726291441789,-0.7315034695451041,-0.06757131842713955,-0.5089899768696993,-0.48450269853508093,0.0,1.0
2018-10-11,-0.25026332420476094,-0.7372174907460352,-0.010743627554244786,-0.5047097414908664,-0.5065153931806554,0.0,1.0
2018-10-12,-0.25198093535895144,-0.7335418528448019,-0.0069705093833780166,-0.49311885612153705,-0.4932677986297289,0.0,1.0
2018-10-15,-0.246051809773072,-0.7414269993754277,-0.0,-0.4927281920114208,-0.49397733694197427,0.0,1.0
2018-10-16,-0.24078814215131852,-0.7509970831597118,-0.0,-0.4916959342818025,-0.49288648133817486,0.0,1.0
2018-10-17,-0.22409341626569654,-0.7210127919258303,-0.0,-0.4884403239056449,-0.5003520713531276,0.0,1.0
2018-10-18,-0.22557695134499486,-0.7254740555637218,-0.0,-0.48734381890342493,-0.5014846391297957,0.0,1.0
2018-10-19,-0.21439836448598132,-0.7187500000000001,-0.0,-0.4872663551401869,-0.5001460280373833,0.0,1.0
2018-10-22,-0.2143024002803247,-0.7116451556386147,-0.0,-0.49077264498043566,-0.5033288559247795,0.0,1.0
2018-10-23,-0.21776077561032586,-0.7119787408013082,-0.0,-0.48834832379394927,-0.50210255811237,0.0,1.0
2018-10-24,-0.21623435357278323,-0.7109678172322237,-0.0,-0.4881685291628979,-0.502377965162081,0.0,1.0
2018-10-25,-0.18665341473803776,-0.6751952293056935,-0.0,-0.4992190827772256,-0.47863126508590087,0.0,1.0
2018-10-26,-0.17571372261951687,-0.6657187904724365,-0.0,-0.5018019032603187,-0.4722112731572724,0.0,1.0
2018-10-29,-0.16350790624649544,-0.6701525176628911,-0.0,-0.49585062240663896,-0.47412246271167435,0.0,1.0
2018-10-30,-0.1592253146108355,-0.6700860450124723,-0.0,-0.4959219709072563,-0.4775358053757112,0.0,1.0
2018-10-31,-0.16057171570543244,-0.6621908324493329,-0.0,-0.49399810172519687,-0.4748199430517559,0.0,1.0
2018-11-01,-0.15103440584397482,-0.6691295377237496,-0.0,-0.49328054424803436,-0.47468354430379756,0.0,1.0
2018-11-02,-0.15823821822322198,-0.6403399150212447,-0.0,-0.5064289483184758,-0.47204865450304084,0.0,1.0
2018-11-05,-0.1593220338983051,-0.637982772992498,-0.0,-0.5066129480411226,-0.4746318421783829,0.0,1.0
2018-11-06,-0.1610922829046058,-0.6389799433301849,-0.0,-0.5051947330407245,-0.4726651480637813,0.0,1.0
2018-11-07,-0.16057299908386777,-0.6390438910635463,-0.0,-0.504178118319869,-0.4723633436051193,0.0,1.0
2018-11-08,-0.12007363400552254,-0.6610604412461998,-0.0,-0.5082140964493905,-0.499846595821828,0.0,1.0
2018-11-09,-0.1186710629261205,-0.6627640549904997,-0.0,-0.5119313736447972,-0.5008662121381469,0.0,1.0
2018-11-12,-0.12160402988453702,-0.64656441023319,-0.0,-0.5486755716549694,-0.5131310844464568,0.0,1.0
2018-11-13,-0.10048558677407585,-0.644034019142785,-0.0,-0.5515479832711147,-0.5107923765683331,0.0,1.0
2018-11-14,-0.10486309305151317,-0.6476023623159739,-0.0,-0.5585351380372432,-0.5147079601005963,0.0,1.0
