Date,CHT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14977005412885108,-0.31337755891091124,-0.016788083513084532,-0.29262138293109763,-0.26234178503113426,0.0
2018-09-25,1.0,-0.14974459165191203,-0.3134908521073733,-0.01672873801819403,-0.29271221279280385,-0.2624702362781611,0.0
2018-09-26,1.0,-0.15085539714867616,-0.315071283095723,-0.018778004073319757,-0.2925050916496945,-0.2594501018329939,0.0
2018-09-27,1.0,-0.15181860739655206,-0.3122875577537604,-0.0195803057132971,-0.29240194581832246,-0.2592660438419735,0.0
2018-09-28,1.0,-0.15524489795918367,-0.31195918367346936,-0.019163265306122453,-0.2939591836734694,-0.26048979591836735,0.0
2018-10-01,1.0,-0.15540044085231447,-0.3118417830026941,-0.0192260592701445,-0.2940035921299698,-0.2605110621275206,0.0
2018-10-02,1.0,-0.15683271041398605,-0.3013704225639769,-0.02303780405612401,-0.29716316402181236,-0.2639544145579315,0.0
2018-10-03,1.0,-0.15802843446552217,-0.30872290736264185,-0.02384561806039251,-0.2964518375875773,-0.2615438193960749,0.0
2018-10-04,1.0,-0.1613987619399008,-0.3043086131267167,-0.02418726683884721,-0.3010494814086008,-0.2588037551756652,0.0
2018-10-05,1.0,-0.15988710963862812,-0.3034337484917275,-0.021944086549277052,-0.3013681820970611,-0.25850256661962906,0.0
2018-10-08,1.0,-0.15885980316086085,-0.30152734103810186,-0.019826846898354226,-0.3034467268346469,-0.25823906562665905,0.0
2018-10-09,1.0,-0.15975654589273314,-0.3016216657816266,-0.021731138433887506,-0.3025407458845636,-0.2567501327560148,0.0
2018-10-10,1.0,-0.16402083846090737,-0.3021371728607761,-0.024714906883255394,-0.30687505127574044,-0.2532816473869883,0.0
2018-10-11,1.0,-0.14537471430289908,-0.297084887124584,-0.002145234371867356,-0.30213721480412203,-0.25816993464052285,0.0
2018-10-12,1.0,-0.1479579698651864,-0.2916534496431404,-0.001288659793814433,-0.2937747819191118,-0.24787866772402858,0.0
2018-10-15,1.0,-0.13589794303797464,-0.30263053797468353,-0.0,-0.2913963607594936,-0.24792325949367083,0.0
2018-10-16,1.0,-0.13946070176133774,-0.2988132268737741,-0.0,-0.29324589384423355,-0.24975729598002894,0.0
2018-10-17,1.0,-0.13239359303624992,-0.28496088772129313,-0.0,-0.29113651067500534,-0.25204383712039524,0.0
2018-10-18,1.0,-0.13253201043157706,-0.2854565775799525,-0.0,-0.29079001549049976,-0.25204415772858285,0.0
2018-10-19,1.0,-0.12443562198349681,-0.27775182936322595,-0.0,-0.2923283512377394,-0.25161528880585393,0.0
2018-10-22,1.0,-0.12441867253020956,-0.2752622054445331,-0.0,-0.2934560526162169,-0.2527096184156759,0.0
2018-10-23,1.0,-0.12619168061014047,-0.27534145297482393,-0.0,-0.29207362154169425,-0.2519942410210514,0.0
2018-10-24,1.0,-0.1254056154668221,-0.273447974351501,-0.0,-0.29202370543087536,-0.25217137860682015,0.0
2018-10-25,1.0,-0.11121867881548975,-0.2527334851936219,-0.0,-0.295709946848899,-0.23859149582384204,0.0
2018-10-26,1.0,-0.10766119888124576,-0.24948975735127374,-0.0,-0.29631869377881925,-0.2363179378637841,0.0
2018-10-29,1.0,-0.09713705278206237,-0.2534705240585381,-0.0,-0.29129829577517774,-0.23913697754034838,0.0
2018-10-30,1.0,-0.08322491845315534,-0.2557836981729736,-0.0,-0.29392688123385563,-0.25254067914851897,0.0
2018-10-31,1.0,-0.08487555839183153,-0.24862044371034947,-0.0,-0.2928600923458088,-0.25057246893652163,0.0
2018-11-01,1.0,-0.06900503494401443,-0.26298188923123167,-0.0,-0.2942060569625009,-0.25251747200721425,0.0
2018-11-02,1.0,-0.07415936493671833,-0.24325994158616038,-0.0,-0.303864300157268,-0.25095484160862724,0.0
