Date,IWF,IWM,MTUM,QMOM,SPY,VLUE,VXX
2018-09-24,-0.34236122306410877,-0.5282927615669837,-0.2894029770541136,1.0,-0.30829168681820623,-0.2184964264603149,0.0
2018-09-25,-0.34354015578834274,-0.5271017996239591,-0.2912973408541499,1.0,-0.3072253558957829,-0.21681439699167337,0.0
2018-09-26,-0.34554452782484735,-0.5300841873100406,-0.2947362758546491,1.0,-0.30718954248366015,-0.21210898625568197,0.0
2018-09-27,-0.3470863348027094,-0.5257499193635093,-0.2959090420384905,1.0,-0.30717127190624666,-0.21196645521986884,0.0
2018-09-28,-0.3453328314872567,-0.5273954188622433,-0.2961608775137111,1.0,-0.307291106570599,-0.21230777502957307,0.0
2018-10-01,-0.3448275862068966,-0.5285652805422562,-0.29633116359137124,1.0,-0.3072516004088439,-0.21278713217494216,0.0
2018-10-02,-0.344509075241019,-0.5367318360532126,-0.29380082942855607,1.0,-0.30624225776916036,-0.2116658587817095,0.0
2018-10-03,-0.3458993815992007,-0.5459209851205747,-0.29475304474629366,1.0,-0.30528476141611083,-0.20858199886581516,0.0
2018-10-04,-0.3455179121413519,-0.5469822229426703,-0.29472631977089747,1.0,-0.3048846382449884,-0.2095693521370292,0.0
2018-10-05,-0.34844591121811347,-0.5517623826656207,-0.2961019287472611,1.0,-0.30310817756377306,-0.20572402412962915,0.0
2018-10-08,-0.3474068071312804,-0.5498109130199892,-0.2941383036196651,1.0,-0.3048622366288493,-0.2050513236088601,0.0
2018-10-09,-0.3566839096106724,-0.556057718486251,-0.30784100190579905,1.0,-0.30310372992104545,-0.1988837462564661,0.0
2018-10-10,-0.35761138782286817,-0.5550474946245338,-0.3091097139435508,1.0,-0.3034484635693095,-0.1965651452056286,0.0
2018-10-11,-0.34181282634890886,-0.5541304056767975,-0.2921140714955148,1.0,-0.29449725532199755,-0.19518007765430445,0.0
