Date,IWF,IWM,LVGO,MTUM,SPY,VLUE,VXX
2020-03-23,-0.875077836853954,-0.6463572352349476,1.0,-0.9705417445035206,-1.030703645159745,-0.2672797815778129,0.0
2020-03-24,-0.8758057584873227,-0.6527718091963902,1.0,-0.9495774244377596,-1.0161390440720048,-0.2805233252160626,0.0
2020-03-25,-0.86281976613951,-0.6312441198871018,1.0,-0.772859638905067,-0.98521571614175,-0.22790197571793377,0.0
2020-03-26,-0.8745134881223996,-0.6316825482038204,1.0,-0.7577059007739453,-0.9819263633516753,-0.22779940052789335,0.0
2020-03-27,-0.8762877559072377,-0.6095743281750033,1.0,-0.7097014598220157,-0.9873306737977291,-0.20099951777651134,0.0
2020-03-30,-0.8589164290414564,-0.5950427725378372,1.0,-0.7637201140601009,-1.00013160780873,-0.16911603421803026,0.0
2020-03-31,-0.8645059149478869,-0.5939135406130437,1.0,-0.7666564052948679,-1.0068604600026385,-0.1658384273714763,0.0
2020-04-01,-0.8839029134798179,-0.6417171404571378,1.0,-0.7197488836818604,-1.0239179450904108,-0.15177505636853972,0.0
2020-04-02,-0.9140113487560018,-0.5604539502400698,1.0,-0.7121780881711043,-1.0486687036228721,-0.12959406372762985,0.0
2020-04-03,-0.9142882234126635,-0.5892684640379381,1.0,-0.7244664968824097,-1.0233160621761659,-0.13963291472732065,0.0
2020-04-06,-0.9517877946052514,-0.5554261134510261,1.0,-0.742763688502554,-1.078277623442961,-0.152433013710906,0.0
2020-04-07,-0.9169572798605057,-0.501743679163034,1.0,-0.720052310374891,-1.0861813426329556,-0.13426329555361816,0.0
2020-04-08,-0.9173579244617014,-0.5138104482880339,1.0,-0.7014207553829862,-1.103335686551359,-0.1763589834098129,0.0
2020-04-09,-0.9445548051030768,-0.46629585485366176,1.0,-0.7362821701319913,-1.114951662031519,-0.15234185317617974,0.0
2020-04-13,-0.9492018696534086,-0.4507452156274804,1.0,-0.7401446335655701,-1.1150013228679776,-0.15442278860569716,0.0
2020-04-14,-0.9708828221946463,-0.41588370856231166,1.0,-0.7792058145718844,-1.1205460024818295,-0.1453642971104414,0.0
2020-04-15,-0.9509164610504054,-0.42324638702855133,1.0,-0.7601780049347903,-1.1183468452590766,-0.1533309834332041,0.0
2020-04-16,-0.9876053107494155,-0.38251510740593714,1.0,-0.7904371223148516,-1.1317542234572802,-0.11860967756164263,0.0
2020-04-17,-0.9771181199752629,-0.4008746355685131,1.0,-0.7726830992137115,-1.1356126866330947,-0.13106281473628412,0.0
2020-04-20,-1.005290772011816,-0.3601693047043781,1.0,-0.7981570477492174,-1.1332833649309995,-0.112032097350205,0.0
2020-04-21,-1.0119063368170393,-0.36905234378445123,1.0,-0.8076024165453984,-1.1305287295497641,-0.09062045244079904,0.0
2020-04-22,-0.9970523537175539,-0.400087989441267,1.0,-0.7842498900131984,-1.143246810382754,-0.0748790145182578,0.0
2020-04-23,-0.9786270284533181,-0.42407317824002816,1.0,-0.7711420906812085,-1.1424864769778795,-0.08140199656976999,0.0
2020-04-24,-0.9804834774894654,-0.4509647371922821,1.0,-0.7695276114437791,-1.150232867598137,-0.08436460412508316,0.0
2020-04-27,-0.9785913744958114,-0.4459022206462479,1.0,-0.7703115996631354,-1.1531846992597845,-0.08443774655378751,0.0
2020-04-28,-0.9785308729595458,-0.45000887154009933,1.0,-0.7696504613200852,-1.1556955287437898,-0.08188431511710433,0.0
