Date,IWF,IWM,MTUM,RDY,SPY,VLUE,VXX
2018-09-24,-0.41997120286414763,-0.9489045413861541,-0.0,1.0,-0.7567031170953809,-0.7658870685294005,0.0
2018-09-25,-0.42133105138278426,-0.9478392780738264,-0.0,1.0,-0.7559220506437435,-0.7645960558559259,0.0
2018-09-26,-0.42552113773621664,-0.9528151178647964,-0.0,1.0,-0.7575297097214105,-0.76045197740113,0.0
2018-09-27,-0.4307356778439849,-0.9437239552907272,-0.0,1.0,-0.7589282237021459,-0.761187054562449,0.0
2018-09-28,-0.42763286535528533,-0.9545578976183958,-0.0,1.0,-0.7630910015251653,-0.7653983027648509,0.0
2018-10-01,-0.42990800548052455,-0.9536504208259933,-0.0,1.0,-0.7650420825993345,-0.7660598943041691,0.0
2018-10-02,-0.4290607038815841,-0.9806708133217856,-0.0,1.0,-0.7633257223840642,-0.7636406582158884,0.0
2018-10-03,-0.4282059356057624,-0.969692198693222,-0.0,1.0,-0.7673777847752499,-0.7708021727151066,0.0
2018-10-04,-0.4346541673231448,-0.9620686938711203,-0.0,1.0,-0.7757995903576493,-0.766346305341106,0.0
2018-10-05,-0.43288643533123033,-0.9668375394321767,-0.0,1.0,-0.7769321766561514,-0.7665220820189275,0.0
2018-10-08,-0.4295492093462356,-0.9623947761781134,-0.0,1.0,-0.7773188576823225,-0.7643773109904807,0.0
2018-10-09,-0.42886362742398615,-0.9624749242811627,-0.0,1.0,-0.7774849545686976,-0.7646619203083821,0.0
2018-10-10,-0.4466108452950558,-0.9756778309409887,-0.0,1.0,-0.798365231259968,-0.7666267942583731,0.0
2018-10-11,-0.34943577059823777,-0.9635183181326327,-0.0,1.0,-0.7685500077291699,-0.7830422012675838,0.0
2018-10-12,-0.3594083562061604,-0.9553979871912168,-0.0,1.0,-0.743252516010979,-0.754078987496188,0.0
2018-10-15,-0.3479501026850232,-0.9624629192971781,-0.0,1.0,-0.7399406708754849,-0.7527953145204229,0.0
2018-10-16,-0.3355637207503384,-1.0171726938696577,-0.0,1.0,-0.7517308064204216,-0.7632953007155289,0.0
2018-10-17,-0.3109587484374408,-0.9696958218114322,-0.0,1.0,-0.7407856358195386,-0.7665820675025569,0.0
2018-10-18,-0.3124857685009487,-0.9743833017077798,-0.0,1.0,-0.740189753320683,-0.7680075901328273,0.0
2018-10-19,-0.29309826328847455,-0.9598902338170064,-0.0,1.0,-0.740169912036689,-0.7659950379670702,0.0
2018-10-22,-0.2938136552244436,-0.9462466993587326,-0.0,1.0,-0.7537155790267823,-0.7783855149000377,0.0
2018-10-23,-0.2916981417132497,-0.9476129324671401,-0.0,1.0,-0.757025230397341,-0.7806692853905425,0.0
2018-10-24,-0.28916298894798387,-0.9444758779374599,-0.0,1.0,-0.7568933650182943,-0.7815246501452228,0.0
2018-10-25,-0.2527436586961262,-0.8887637182934808,-0.0,1.0,-0.7502362090268189,-0.7422414419652591,0.0
2018-10-26,-0.229928843527636,-0.8730683533386041,-0.0,1.0,-0.7590383094947172,-0.731761661755193,0.0
2018-10-29,-0.18869641167479437,-0.9210641240264937,-0.0,1.0,-0.7609360215445082,-0.7685784991629666,0.0
2018-10-30,-0.17610451997962007,-0.9217555862872115,-0.0,1.0,-0.7619914113108669,-0.7794235388310647,0.0
2018-10-31,-0.20108796900033532,-0.9124035917880695,-0.0,1.0,-0.8045754312753828,-0.8078169827489846,0.0
2018-11-01,-0.23084780388151174,-0.909317898081943,-0.0,1.0,-0.8215109900503159,-0.8214731585518102,0.0
2018-11-02,-0.24617076129814985,-0.8650667273278739,-0.0,1.0,-0.8553230209281165,-0.8248028510767365,0.0
2018-11-05,-0.24650210442498008,-0.8645205323626436,-0.0,1.0,-0.8553444810980927,-0.8253896030030713,0.0
2018-11-06,-0.24464692482915715,-0.8635535307517084,-0.0,1.0,-0.8586180713743355,-0.8296886864085041,0.0
2018-11-07,-0.24501348732950878,-0.8641768929751908,-0.0,1.0,-0.8596557881539455,-0.8304015804870635,0.0
2018-11-08,-0.21123848900582595,-0.8638601766585229,-0.0,1.0,-0.8470212366096598,-0.8365344859988724,0.0
2018-11-09,-0.21267308850090308,-0.8650662251655629,-0.0,1.0,-0.8473058398555087,-0.837748344370861,0.0
2018-11-12,-0.21135351569808777,-0.8479961082213823,-0.0,1.0,-0.8499419975302174,-0.8328406241814167,0.0
2018-11-13,-0.17435725962252935,-0.8461881408827463,-0.0,1.0,-0.8604919007281914,-0.8342621489077129,0.0
2018-11-14,-0.17801886440741155,-0.8482272676434403,-0.0,1.0,-0.8652276031763785,-0.8366327405584758,0.0
2018-11-15,-0.1771675546778941,-0.8512984835500577,-0.0,1.0,-0.8717910503371958,-0.8256641454599649,0.0
2018-11-16,-0.1736273527118833,-0.8405538849909048,-0.0,1.0,-0.8688049894197571,-0.8294539109774659,0.0
2018-11-19,-0.1717693393772758,-0.8421639295533924,-0.0,1.0,-0.8709221966262912,-0.8307200713383369,0.0
2018-11-20,-0.1071719641401793,-0.8356301400311179,-0.0,1.0,-0.8878639697710602,-0.8738238126991184,0.0
