Date,IWF,IWM,LEVI,MTUM,SPY,VLUE,VXX
2019-11-18,-0.0,-0.5887771007510274,1.0,-2.195975627036985,-1.9966699730763782,-1.303811818052997,0.0
2019-11-19,-0.0,-0.5909155328798187,1.0,-2.19515306122449,-1.9963151927437643,-1.3037131519274376,0.0
2019-11-20,-0.0,-0.5873308297314532,1.0,-2.1923758237086375,-1.9974491603486146,-1.3085098845036491,0.0
2019-11-21,-0.0,-0.5851146935586962,1.0,-2.1989915488956755,-2.00291172501953,-1.3148213905262411,0.0
2019-11-22,-0.0,-0.5702085260835528,1.0,-2.1858942424026764,-2.0236993808269874,-1.3371290299622802,0.0
2019-11-25,-0.0,-0.5713877784123358,1.0,-2.1924614505996574,-2.029768703597944,-1.3451599086236434,0.0
2019-11-26,-0.0,-0.4993230242998645,1.0,-2.200171025440034,-2.056865958811373,-1.3696999928739397,0.0
2019-11-27,-0.0,-0.49665003563791876,1.0,-2.184248039914469,-2.0580898075552385,-1.3885245901639345,0.0
2019-11-29,-0.0,-0.49238325740318906,1.0,-2.181662870159453,-2.054029043280182,-1.3904470387243737,0.0
2019-12-02,-0.0,-0.4862502664677042,1.0,-2.1775030199673133,-2.055496340510197,-1.3865558161017553,0.0
2019-12-03,-0.0,-0.4658152825795527,1.0,-2.1381500035278345,-2.0523530656882807,-1.3993508784308193,0.0
2019-12-04,-0.0,-0.4932859680284193,1.0,-2.203694493783304,-2.0510834813499113,-1.3567317939609236,0.0
2019-12-05,-0.0,-0.4903921151528044,1.0,-2.202651918031625,-2.0458058569098774,-1.3517691271360706,0.0
2019-12-06,-0.0,-0.49081364829396323,1.0,-2.2038022274242746,-2.0462509753848335,-1.3528410300063842,0.0
2019-12-09,-0.0,-0.48146838308105816,1.0,-2.214528221813552,-2.02694864903098,-1.3501909746781722,0.0
2019-12-10,-0.0,-0.47910036070443457,1.0,-2.2159275762076525,-2.0299172501591345,-1.3476907843553294,0.0
2019-12-11,-0.0,-0.4903557651093014,1.0,-2.244320617231033,-2.0537219602800403,-1.3554793541934562,0.0
2019-12-12,-0.0,-0.49418064976793996,1.0,-2.2426990360585504,-2.050910389146733,-1.3525169582292038,0.0
2019-12-13,-0.0,-0.4973654229564226,1.0,-2.251210481344346,-2.040301908288237,-1.3316006835659355,0.0
2019-12-16,-0.0,-0.4938910449906569,1.0,-2.2980451343970096,-2.07316371999425,-1.321905993962915,0.0
2019-12-17,-0.0,-0.4992080633549316,1.0,-2.3120230381569473,-2.08113750899928,-1.3070554355651547,0.0
2019-12-18,-0.0,-0.5204111175448756,1.0,-2.319918934568616,-2.0943109438332366,-1.303343949044586,0.0
2019-12-19,-0.0,-0.5262275972606733,1.0,-2.338991694594201,-2.1062946233425617,-1.3138569138860556,0.0
2019-12-20,-0.0,-0.5246309019149247,1.0,-2.339643326998977,-2.1223505335477273,-1.3222482093261219,0.0
2019-12-23,-0.0,-0.5334499344118933,1.0,-2.324661128115435,-2.1205363649613758,-1.308919982509838,0.0
2019-12-24,-0.0,-0.5315466627720169,1.0,-2.338396377975756,-2.120125602453629,-1.3123995910617787,0.0
2019-12-26,-0.0,-0.5338153666374525,1.0,-2.339541338007596,-2.1186094069529653,-1.3115687992988607,0.0
2019-12-27,-0.0,-0.5408974826705581,1.0,-2.3387085005472454,-2.1059467347683327,-1.3110543597227289,0.0
2019-12-30,-0.0,-0.5449627138470535,1.0,-2.3423015060681385,-2.1109811375932153,-1.3128381342301505,0.0
2019-12-31,-0.0,-0.5498286797404681,1.0,-2.335131588539768,-2.1011154042429108,-1.3041481373478168,0.0
2020-01-02,-0.0,-0.5492998833138857,1.0,-2.33634772462077,-2.1021003500583433,-1.305061260210035,0.0
2020-01-03,-0.0,-0.5781717370686511,1.0,-2.3603268403005764,-2.057342963449332,-1.2997008827606333,0.0
2020-01-06,-0.0,-0.5949441075473078,1.0,-2.4008182947322276,-2.0382845035435087,-1.2721560604953606,0.0
