Date,CR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3543830979339326,-0.560201937667795,-0.10254464806816856,-0.5061865297070153,-0.3948289949807401,0.0
2018-09-25,1.0,-0.3544311185036038,-0.560156409583005,-0.1026583792932388,-0.5061133969476787,-0.39475911173363687,0.0
2018-09-26,1.0,-0.35501663456487476,-0.5608766707523493,-0.1039806221910932,-0.5057783225354578,-0.3926632813867974,0.0
2018-09-27,1.0,-0.3556676973338778,-0.5586313517297707,-0.1046321684849192,-0.505600606732396,-0.39245084884195786,0.0
2018-09-28,1.0,-0.35466557769156726,-0.559315112446402,-0.10503748213400227,-0.5053816760493539,-0.39246857042849226,0.0
2018-10-01,1.0,-0.35462792800676757,-0.5593769143257198,-0.10521863422887313,-0.5052944779907238,-0.3925206382544267,0.0
2018-10-02,1.0,-0.35546157211608576,-0.5511156482426718,-0.10823975499489573,-0.5071313985708036,-0.39477905789703954,0.0
2018-10-03,1.0,-0.35511429904362024,-0.5446116165150455,-0.10733030090972709,-0.5095637975274084,-0.3991427571728482,0.0
2018-10-04,1.0,-0.35508704400314933,-0.5446884203773364,-0.10760213454640889,-0.509375091126469,-0.39929431662438397,0.0
2018-10-05,1.0,-0.34705027608253414,-0.5394362104039523,-0.0988084859052601,-0.5154896832316187,-0.40534728276663756,0.0
2018-10-08,1.0,-0.34619180308835484,-0.5378787878787878,-0.0972657610588645,-0.5165157320329734,-0.40476605131777543,0.0
2018-10-09,1.0,-0.3518205651034081,-0.5407224002330323,-0.10655403437226915,-0.5142149723274104,-0.3995921934168366,0.0
2018-10-10,1.0,-0.351441144755632,-0.5418645994229593,-0.10552851688864279,-0.5144697345029581,-0.40104333634482564,0.0
2018-10-11,1.0,-0.33377304923862233,-0.5385277164405954,-0.08003785380402054,-0.511083708525709,-0.40429009778899366,0.0
2018-10-12,1.0,-0.33394322307670316,-0.5382944052145574,-0.07541667857857572,-0.5105920695274307,-0.4006117956488179,0.0
