Date,IWF,IWM,MTUM,OLLI,SPY,VLUE,VXX
2018-09-24,-0.4279441405125253,-0.9123236395047509,-0.09566657068816586,1.0,-0.5669450043190326,-0.5963504175064787,0.0
2018-09-25,-0.4307769820419621,-0.910209810342966,-0.09993882031165653,1.0,-0.5649764278259617,-0.5929031561521575,0.0
2018-09-26,-0.43204320432043203,-0.9118991899189919,-0.1023942394239424,1.0,-0.5646444644464447,-0.5893429342934293,0.0
2018-09-27,-0.4354130685089235,-0.903605354058722,-0.1048503166378814,1.0,-0.5650187104202649,-0.5893062751871042,0.0
2018-09-28,-0.43253753915955495,-0.9071693493212343,-0.10561376975982138,1.0,-0.5655539951748226,-0.5900399697526196,0.0
2018-10-01,-0.4319165824794342,-0.9114951652475105,-0.10632847452734881,1.0,-0.5663876461249819,-0.5919324577861164,0.0
2018-10-02,-0.43297258297258295,-0.9011904761904762,-0.11010101010101009,1.0,-0.5687229437229437,-0.5945165945165946,0.0
2018-10-03,-0.4375454149106235,-0.9226129922976312,-0.11251998256067433,1.0,-0.5696846388606307,-0.5908298212469117,0.0
2018-10-04,-0.44887753239642264,-0.9149114801971161,-0.11337835371418141,1.0,-0.5861288556305895,-0.5870049279065522,0.0
2018-10-05,-0.4491875114113566,-0.9199561803907249,-0.10889172904874932,1.0,-0.5867080518532044,-0.5869271498995802,0.0
2018-10-08,-0.4483601473860858,-0.9188646893582867,-0.10754806464558023,1.0,-0.5870271059063878,-0.5863339535223085,0.0
2018-10-09,-0.44544390814684803,-0.9226634488810882,-0.0967895275705719,1.0,-0.5950709375457072,-0.5965701330993125,0.0
2018-10-10,-0.44904085517645337,-0.9217674622931615,-0.09997803485136916,1.0,-0.5980011714745936,-0.5920339727632157,0.0
2018-10-11,-0.4123567833815184,-0.9200485419566693,-0.050076739122675525,1.0,-0.5851447335546276,-0.6016347217760646,0.0
2018-10-12,-0.4154683249125534,-0.9161219658693426,-0.044871568384976857,1.0,-0.570822880966682,-0.5859449528318552,0.0
2018-10-15,-0.4208774476824475,-0.912290641266244,-0.04836939201869622,1.0,-0.5729967069154774,-0.5864523210934457,0.0
2018-10-16,-0.4184331797235023,-0.9253810705423609,-0.03924140375753279,1.0,-0.5745125841900035,-0.5872740163062744,0.0
2018-10-17,-0.40672868433937187,-0.8977058124081974,-0.0298664055396237,1.0,-0.5707840805763447,-0.5921172273903615,0.0
2018-10-18,-0.4070304302203568,-0.8984260230849948,-0.02941587967820917,1.0,-0.5705841203217908,-0.5922700244840854,0.0
2018-10-19,-0.4002017180815915,-0.8937502173686224,-0.02062393489375022,1.0,-0.5715925294751851,-0.5917295586547491,0.0
2018-10-22,-0.4003269110384642,-0.8930235793280935,-0.021249217500173886,1.0,-0.5715378729915838,-0.5916742018501774,0.0
2018-10-23,-0.4044212358572672,-0.8934725848563968,-0.028929503916449086,1.0,-0.565674499564839,-0.5887554395126197,0.0
