Date,IWF,IWM,MTUM,OPRT,SPY,VLUE,VXX
2020-05-26,-0.5066490954834072,-0.8897807595543309,-0.5411924443911984,1.0,-0.8718901002356135,-0.18393834112056226,0.0
2020-05-27,-0.4963602911767058,-0.8996480281577472,-0.5221582273418126,1.0,-0.8745700343972481,-0.20698344132469398,0.0
2020-05-28,-0.4844473059434228,-0.9157377972717395,-0.5133395034405054,1.0,-0.8778721178222204,-0.23262645366383647,0.0
2020-05-29,-0.49832654542521876,-0.9035444977620065,-0.5252631154482035,1.0,-0.892294044114682,-0.21299245937336184,0.0
2020-06-01,-0.49758045003629325,-0.9105169771755787,-0.5145172997822405,1.0,-0.8931365432696186,-0.21683200258085328,0.0
2020-06-02,-0.4998384752059441,-0.9140284283637539,-0.5159909546115329,1.0,-0.8930705863350024,-0.21519140688095623,0.0
2020-06-03,-0.5124857189489146,-0.9179043577607312,-0.5102823567814592,1.0,-0.9173739187204178,-0.22229476089440184,0.0
2020-06-04,-0.5165238173726717,-0.9383138289104994,-0.4855365089830229,1.0,-0.9378193505851325,-0.24241799901104336,0.0
2020-06-05,-0.5055406797116375,-0.934541709577755,-0.477610710607621,1.0,-0.937590113285273,-0.2641812564366633,0.0
2020-06-08,-0.5072809543397778,-0.9181406828465652,-0.5010283833813246,1.0,-0.9348416289592759,-0.25224187577128754,0.0
2020-06-09,-0.5141060574303081,-0.9333473066443093,-0.510165583735066,1.0,-0.9597149444560888,-0.27470132047788726,0.0
2020-06-10,-0.5069689336691856,-0.9407640638119228,-0.5008816120906802,1.0,-0.965071368597817,-0.2845088161209068,0.0
2020-06-11,-0.49560536607931366,-0.9608057529753143,-0.475882080827621,1.0,-0.9698893982085033,-0.30316665965768114,0.0
2020-06-12,-0.5062088507375615,-0.8986582215184599,-0.5329610800900075,1.0,-0.957829819151596,-0.27135594632886073,0.0
2020-06-15,-0.5105486991327551,-0.8889676450967312,-0.5446130753835892,1.0,-0.9612658438959306,-0.26405103402268176,0.0
2020-06-16,-0.5108990122118952,-0.886133455591214,-0.5431584212061851,1.0,-0.9620305922560747,-0.2656608177385071,0.0
2020-06-17,-0.5081353252049436,-0.8824018975489992,-0.5425075943572886,1.0,-0.9603428904331905,-0.2679455703050227,0.0
2020-06-18,-0.5076570952975447,-0.8833957553058676,-0.5417811069496462,1.0,-0.9602580108198085,-0.26837286724927173,0.0
2020-06-19,-0.5077403245942571,-0.8831044527673741,-0.5419059508947149,1.0,-0.9598002496878901,-0.2689138576779026,0.0
2020-06-22,-0.5164955394714695,-0.8826796835549571,-0.5890422487796667,1.0,-0.9609072546709309,-0.25892105706110086,0.0
2020-06-23,-0.5148498072278948,-0.8689997034275304,-0.595856458924713,1.0,-0.9753421175274329,-0.2817014786255984,0.0
2020-06-24,-0.5261971591392363,-0.8717785149272774,-0.5959853704176236,1.0,-0.9841371098069236,-0.274644892404525,0.0
