Date,IWF,IWM,MTUM,SPT,SPY,VLUE,VXX
2020-08-12,-0.7654289924876891,-0.3532583300384602,-0.6678048955824737,1.0,-0.8079148844398116,-0.0,0.0
2020-08-13,-0.7730178797182591,-0.3448076575763049,-0.6831497200650172,1.0,-0.811052916741918,-0.0,0.0
2020-08-14,-0.7771509167842031,-0.34378503489928036,-0.6872084192253445,1.0,-0.808325196195436,-0.0,0.0
2020-08-17,-0.7768615963256302,-0.34400202524321,-0.6872445842826661,1.0,-0.8083613612527576,-0.0,0.0
2020-08-18,-0.7768173598553345,-0.34415913200723325,-0.6877757685352621,1.0,-0.807884267631103,-0.0,0.0
2020-08-19,-0.7787988422575978,-0.34204052098408105,-0.6888205499276412,1.0,-0.8082850940665702,-0.0,0.0
2020-08-20,-0.7785334442716059,-0.34229280468834783,-0.6886010925008139,1.0,-0.8081611981333429,-0.0,0.0
2020-08-21,-0.7809310070223702,-0.3404039672772026,-0.6909433142691667,1.0,-0.8075001809889235,-0.0,0.0
2020-08-24,-0.783798477709315,-0.3357013410656035,-0.693367162015223,1.0,-0.8116346502355927,-0.0,0.0
2020-08-25,-0.7840287091746112,-0.3343966360967122,-0.6989161561605104,1.0,-0.8075542828143691,-0.0,0.0
2020-08-26,-0.7852765185856755,-0.3339981867633726,-0.6997280145058931,1.0,-0.807470534904805,-0.0,0.0
2020-08-27,-0.768166466935396,-0.35697425282347384,-0.6937938046991321,1.0,-0.812543123797073,-0.0,0.0
2020-08-28,-0.7668580148234269,-0.3579784914983288,-0.6932495276849295,1.0,-0.8151068158697864,-0.0,0.0
2020-08-31,-0.7675087361677344,-0.36029411764705876,-0.6935425160163075,1.0,-0.818760920209668,-0.0,0.0
2020-09-01,-0.7732553891121666,-0.35115089514066494,-0.7155279503105589,1.0,-0.8137011326269638,-0.0,0.0
2020-09-02,-0.7757990199663571,-0.3517150588751555,-0.7159365172237256,1.0,-0.8133913552256271,-0.0,0.0
2020-09-03,-0.7808133778283032,-0.35582529612380365,-0.7271260405588764,1.0,-0.8034031317613407,-0.0,0.0
2020-09-04,-0.7732870454960716,-0.35490590169925085,-0.7186552165174492,1.0,-0.8074182349716792,-0.0,0.0
2020-09-08,-0.7804726140318738,-0.353801062465653,-0.7229529217805458,1.0,-0.8064847041582707,-0.0,0.0
2020-09-09,-0.7651454399650071,-0.36899467813661885,-0.6999708391047607,1.0,-0.8110009477290954,-0.0,0.0
2020-09-10,-0.7587824569059568,-0.37369990544766896,-0.6900865517492182,1.0,-0.8140955705869518,-0.0,0.0
2020-09-11,-0.7547937245787333,-0.3759442184776293,-0.6889526438117374,1.0,-0.8119552585705985,-0.0,0.0
2020-09-14,-0.7568588974890076,-0.37781169373887136,-0.6899960027617282,1.0,-0.8092227188487954,-0.0,0.0
2020-09-15,-0.756734159729543,-0.37882147660765564,-0.6910465665782107,1.0,-0.8086080918971973,-0.0,0.0
2020-09-16,-0.7558164897484368,-0.3818525519848771,-0.6845281372691581,1.0,-0.8130725607096118,-0.0,0.0
2020-09-17,-0.754407007596409,-0.3836004797731981,-0.6836768073274452,1.0,-0.8129974920946462,-0.0,0.0
2020-09-18,-0.749082452123987,-0.38613321705003817,-0.6838184527054035,1.0,-0.8148188524292308,-0.0,0.0
2020-09-21,-0.7433827806864456,-0.39303374054682955,-0.6918993600930774,1.0,-0.8075552646887725,-0.0,0.0
2020-09-22,-0.7477732940706003,-0.3841931144799506,-0.6966226778638166,1.0,-0.806885520049442,-0.0,0.0
2020-09-23,-0.7585816948163281,-0.3831393864225003,-0.6943785795060737,1.0,-0.8117681392040274,-0.0,0.0
2020-09-24,-0.7535372640308442,-0.378205361364711,-0.6889026297603027,1.0,-0.8166806096097189,-0.0,0.0
2020-09-25,-0.7532113096321095,-0.3791346748662713,-0.6901859466540519,1.0,-0.81634583894327,-0.0,0.0
2020-09-28,-0.7508267015516552,-0.37970129728551183,-0.6850903012464116,1.0,-0.8181983356953378,-0.0,0.0
2020-09-29,-0.7505627768499019,-0.37375644470263597,-0.687894851499528,1.0,-0.8185680052283785,-0.0,0.0
2020-09-30,-0.7512083439328414,-0.37435040156993854,-0.6917905294908602,1.0,-0.8168041574299523,-0.0,0.0
2020-10-01,-0.7516354121238552,-0.3763991859281872,-0.6902166012501817,1.0,-0.815997964820468,-0.0,0.0
