Date,FTI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.36584740329130155,-1.0643727292156444,-0.05449882453515709,-0.8732635178456936,-0.9164778798888651,0.0
2018-09-25,1.0,-0.3750911352232277,-1.064588068791011,-0.0644594072993953,-0.872668010464468,-0.9118668782433418,0.0
2018-09-26,1.0,-0.3821183773763848,-1.075699443893607,-0.07233694012156744,-0.8761477777298788,-0.9045997327240591,0.0
2018-09-27,1.0,-0.3833663536911018,-1.0706779223016625,-0.07369282453269016,-0.8754845378585581,-0.903824618830218,0.0
2018-09-28,1.0,-0.3798489976568602,-1.0891260956348174,-0.07524082270242125,-0.883363707367873,-0.9115247765338887,0.0
2018-10-01,1.0,-0.38048336009025036,-1.0882544365861064,-0.07541111641428384,-0.8834989369549182,-0.9113116674621425,0.0
2018-10-02,1.0,-0.3815555459159328,-1.0794690495813992,-0.07886175335097384,-0.8849173643343599,-0.9129831258404545,0.0
2018-10-03,1.0,-0.3811340384948847,-1.073348361366395,-0.07837697242933934,-0.8862493497485695,-0.915900814981793,0.0
2018-10-04,1.0,-0.38340914013428634,-1.0680961663417805,-0.07922893653887807,-0.8885423435131037,-0.9125406107862247,0.0
2018-10-05,1.0,-0.37023773568624063,-1.062950338697847,-0.06601372049877033,-0.8948526556499978,-0.9205678042887345,0.0
2018-10-08,1.0,-0.36814677634695725,-1.0599509022783065,-0.06335328825530816,-0.8959042163745209,-0.9195055773289116,0.0
2018-10-09,1.0,-0.3664010338143442,-1.060779668317898,-0.05884126642257161,-0.8985138918802499,-0.923023906956709,0.0
2018-10-10,1.0,-0.3747944256902969,-1.0631004933783432,-0.06452869384575435,-0.9071236908162383,-0.9183761793473557,0.0
2018-10-11,1.0,-0.2973496003365587,-1.0631468237273873,-0.0,-0.8962557846024402,-0.9501893142616744,0.0
2018-10-12,1.0,-0.3006598331742541,-1.0531601444163174,-0.0,-0.8723077561522181,-0.9238079428974562,0.0
2018-10-15,1.0,-0.2771064393312366,-1.0710147326601556,-0.0,-0.8669094520774706,-0.9233570600893892,0.0
2018-10-16,1.0,-0.2738858774361733,-1.0760541233914016,-0.0,-0.865725989986345,-0.9222079695452478,0.0
2018-10-17,1.0,-0.24331921134104612,-1.0245233827603064,-0.0,-0.8646325566237575,-0.9412172071044485,0.0
2018-10-18,1.0,-0.2445441566387926,-1.0285539465633284,-0.0,-0.863716092188456,-0.942280236589843,0.0
2018-10-19,1.0,-0.22106668824862413,-1.0136775655551957,-0.0,-0.8676351570087406,-0.9442376173518937,0.0
2018-10-22,1.0,-0.2213953488372093,-1.0064711830131445,-0.0,-0.8701718907987867,-0.9464509605662285,0.0
2018-10-23,1.0,-0.21827390599675853,-1.0085899513776337,-0.0,-0.8750810372771475,-0.9498784440842788,0.0
