Date,IWF,IWM,MTUM,SFNC,SPY,VLUE,VXX
2018-09-24,-0.12943914492587058,-0.8225778646132628,-0.04016779680496494,1.0,-0.4020227560050568,-0.47899666704976435,0.0
2018-09-25,-0.12922557747134464,-0.8386862163262931,-0.03025542561238145,1.0,-0.41607028568103804,-0.494967126316402,0.0
2018-09-26,-0.12897876054698865,-0.8386092522548734,-0.029589758510328776,1.0,-0.41635146930462613,-0.4959848705266221,0.0
2018-09-27,-0.12830586993490883,-0.8551574503019996,-0.02638831877089075,1.0,-0.42142145077112536,-0.5007916495631268,0.0
2018-09-28,-0.12562386236862194,-0.8591392167224474,-0.027068287240913633,1.0,-0.42225940931243033,-0.5017321355175856,0.0
2018-10-01,-0.12595050057250226,-0.8587240539032912,-0.027215877396435807,1.0,-0.42235988373799943,-0.5016881477349461,0.0
2018-10-02,-0.1267111163559122,-0.8817264573991033,-0.021093934387538354,1.0,-0.4212001416096295,-0.49946896388954454,0.0
2018-10-03,-0.1265666008079974,-0.8777387868243343,-0.02073073633924095,1.0,-0.4223113444015216,-0.5015481702102562,0.0
2018-10-04,-0.1254453681710214,-0.8911520190023754,-0.02036817102137767,1.0,-0.421229216152019,-0.5109857482185274,0.0
2018-10-05,-0.1121630817479807,-0.8881623716678009,-0.00893517559691115,1.0,-0.4282966951684961,-0.5211100920145566,0.0
2018-10-08,-0.11096335697399527,-0.8870862884160757,-0.007476359338061467,1.0,-0.4289007092198582,-0.5206560283687944,0.0
2018-10-09,-0.1084280303030303,-0.8892341382575757,-0.0,1.0,-0.43409682765151514,-0.5274917140151515,0.0
2018-10-10,-0.1091323255332367,-0.8885010206194717,-0.0007395793272786439,1.0,-0.4344880631896577,-0.525456320444931,0.0
2018-10-11,-0.05093153371402203,-0.8870046720885967,-0.0,1.0,-0.4136240410682355,-0.5324450596989099,0.0
2018-10-12,-0.04630423598010633,-0.8871262790830617,-0.0,1.0,-0.4023609443777511,-0.5224947121705825,0.0
2018-10-15,-0.005927545823382154,-0.9389980721088826,-0.0,1.0,-0.40128909734411417,-0.5312059390556211,0.0
2018-10-16,-0.003539059128182995,-0.9428283700187023,-0.0,1.0,-0.40051791109192914,-0.5303985038124011,0.0
2018-10-17,-0.0,-0.910931289040318,-0.0,1.0,-0.3927030096536059,-0.5356899488926746,0.0
2018-10-18,-0.0,-0.9095065023567493,-0.0,1.0,-0.39411664489749565,-0.5358339485490374,0.0
2018-10-19,-0.0,-0.9060309744517295,-0.0,1.0,-0.38785891928555283,-0.5322179516165498,0.0
2018-10-22,-0.0,-0.9291417165668662,-0.0,1.0,-0.3892785856857713,-0.5330196749358426,0.0
2018-10-23,-0.0,-0.9342664980455277,-0.0,1.0,-0.3994596458956082,-0.5404690733501955,0.0
2018-10-24,-0.0,-0.9316422050156017,-0.0,1.0,-0.4063908471050503,-0.5511383335259448,0.0
2018-10-25,-0.0,-0.9232356227972147,-0.0,1.0,-0.3999828075303017,-0.54222184016734,0.0
2018-10-26,-0.0,-0.9198009324142665,-0.0,1.0,-0.39993707633784287,-0.5403998512713439,0.0
2018-10-29,-0.0,-0.9253782374561929,-0.0,1.0,-0.3832236373479215,-0.5406444995298744,0.0
2018-10-30,-0.0,-0.9239919931369746,-0.0,1.0,-0.3793823277094653,-0.5562196168144123,0.0
