Date,GNL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3757990708072798,-0.9341181402172772,-0.0,-0.6363572850805184,-0.5469661508366227,0.0
2018-09-25,1.0,-0.37394501838557165,-0.9378042374365259,-0.0,-0.6392575731045351,-0.5510068289266328,0.0
2018-09-26,1.0,-0.3756743501716528,-0.9395712183843621,-0.0,-0.6394591186155679,-0.548448118825755,0.0
2018-09-27,1.0,-0.3758582037270562,-0.9391551071878941,-0.0,-0.6394143197421885,-0.5484447246742328,0.0
2018-09-28,1.0,-0.3763180942371694,-0.9388334209143459,-0.0,-0.639481520406376,-0.548572429497285,0.0
2018-10-01,1.0,-0.37727801473439315,-0.9495928654517255,-0.0,-0.6436603334625824,-0.5544079805421411,0.0
2018-10-02,1.0,-0.3776132557729596,-0.9498325401022386,-0.0,-0.6435395734179447,-0.5544509078089194,0.0
2018-10-03,1.0,-0.3779352654960863,-0.950109301177632,-0.0,-0.6434666102531557,-0.554368521260842,0.0
2018-10-04,1.0,-0.3834403443166584,-0.943237141042828,-0.0,-0.6506738164114866,-0.5504833133422706,0.0
2018-10-05,1.0,-0.38614317071443743,-0.9529490901366566,-0.0,-0.6521631381434541,-0.5490688947107556,0.0
2018-10-08,1.0,-0.3826449492986609,-0.9488393456524044,-0.0,-0.6543122637176271,-0.5473978023531075,0.0
2018-10-09,1.0,-0.3738857591100335,-0.9575697069100764,-0.0,-0.6683305997290167,-0.5657847821436212,0.0
2018-10-10,1.0,-0.37491535089282535,-0.9567309405852372,-0.0,-0.6689239761913249,-0.5636026660013543,0.0
2018-10-11,1.0,-0.2976938479596769,-0.946040185044535,-0.0,-0.6410964579161776,-0.5675274459711387,0.0
2018-10-12,1.0,-0.2939446780866414,-0.9420453379833829,-0.0,-0.629739802372893,-0.5534242828324273,0.0
2018-10-15,1.0,-0.2574216743708269,-0.9832220510186613,-0.0,-0.6259202191405582,-0.557507276151344,0.0
2018-10-16,1.0,-0.2540573854687393,-0.9885982332397453,-0.0,-0.6248373621858523,-0.5564610011641443,0.0
2018-10-17,1.0,-0.2395197463829213,-0.9603048801052241,-0.0,-0.6167414252470406,-0.5560014839297157,0.0
2018-10-18,1.0,-0.23882106967019623,-0.9591286167127537,-0.0,-0.6181290888244418,-0.5561475686248061,0.0
2018-10-19,1.0,-0.2208582800949928,-0.9487908485801251,-0.0,-0.620430143492658,-0.5547044853998728,0.0
2018-10-22,1.0,-0.2213128500989501,-0.9360346157716432,-0.0,-0.6317042900747996,-0.5651896823533358,0.0
2018-10-23,1.0,-0.21897148231500455,-0.9373551442679117,-0.0,-0.6351147089449465,-0.5675321621712405,0.0
