Date,IWF,IWM,MTUM,SLAB,SPY,VLUE,VXX
2018-09-24,-0.410854826070662,-0.7083574665258424,-0.23706176961602674,1.0,-0.48707028721338286,-0.5636605226397738,0.0
2018-09-25,-0.41532849203913946,-0.7064198288500221,-0.24301933108315432,1.0,-0.4851522280181378,-0.5594763219801575,0.0
2018-09-26,-0.4155318492093438,-0.7101498988097279,-0.23496724179329745,1.0,-0.4932253970431859,-0.5763043254553561,0.0
2018-09-27,-0.4145738138592091,-0.7156697701583812,-0.2337582024942454,1.0,-0.49424537052942585,-0.5773525268835675,0.0
2018-09-28,-0.4152149262962581,-0.7151840016493144,-0.23392777376902724,1.0,-0.4943820224719101,-0.5773631584372745,0.0
2018-10-01,-0.4147531967551217,-0.7163481369448645,-0.23425684036848618,1.0,-0.4942939639763509,-0.5776845868279938,0.0
2018-10-02,-0.41466685003094267,-0.718868184006051,-0.2337550711682596,1.0,-0.49381145568314655,-0.5770129959430654,0.0
2018-10-03,-0.41431222932563416,-0.7111775623839968,-0.2326252835636214,1.0,-0.49687220732797144,-0.582147521825806,0.0
2018-10-04,-0.4185199188808304,-0.7047055992850514,-0.23321761248410267,1.0,-0.5025951259753204,-0.5781803182896229,0.0
2018-10-05,-0.41583988465103505,-0.7049675581036081,-0.2289127673452573,1.0,-0.5031755295410073,-0.5801091695561125,0.0
2018-10-08,-0.41752417661837077,-0.7088825412121004,-0.23009945968269266,1.0,-0.5030801528031111,-0.5818907664246137,0.0
2018-10-09,-0.42324152688617384,-0.7115689928901774,-0.23993925588458617,1.0,-0.5003451370193966,-0.5762752812866708,0.0
2018-10-10,-0.4247506643199779,-0.7102184491148151,-0.24174345170307485,1.0,-0.5011215791834903,-0.5731787279566551,0.0
2018-10-11,-0.393865529148893,-0.7106777710068387,-0.2002843794434288,1.0,-0.4925181122621708,-0.5881237727672829,0.0
2018-10-12,-0.40607280657607786,-0.7072638818990102,-0.19932897164905217,1.0,-0.4738466700218084,-0.5686294245931891,0.0
2018-10-15,-0.3990685831071799,-0.718363654638657,-0.18933226119878044,1.0,-0.47328039668978455,-0.570375582135558,0.0
2018-10-16,-0.3970637527653013,-0.7276932359053429,-0.18254340685124357,1.0,-0.47402292686196956,-0.5705570825232956,0.0
2018-10-17,-0.3903298749667465,-0.7119912210694334,-0.17690875232774675,1.0,-0.4720670391061453,-0.5740555998935888,0.0
2018-10-18,-0.38866706594796036,-0.709556132295202,-0.17847873827111202,1.0,-0.475743661409463,-0.5749317894456645,0.0
2018-10-19,-0.38266370772746844,-0.7047795700705508,-0.1722036368454175,1.0,-0.4765989864529164,-0.5759994700407406,0.0
2018-10-22,-0.38312247466384053,-0.7032854209445586,-0.1714247863814003,1.0,-0.4775120884944029,-0.5766046234351196,0.0
2018-10-23,-0.38445746829575184,-0.7027250753286315,-0.17469620211251283,1.0,-0.47448759974835275,-0.5747822919770869,0.0
2018-10-24,-0.38444988746193565,-0.7026347146829074,-0.17267972990864558,1.0,-0.4746127366609294,-0.5755660002647954,0.0
