Date,IWF,IWM,MTUM,SPY,VGR,VLUE,VXX
2018-09-24,-0.24372012893186618,-0.6271534956096477,-0.0,-0.4716850061131489,1.0,-0.43611759475380685,0.0
2018-09-25,-0.24299299299299296,-0.6280447113780446,-0.0,-0.4723612501390279,1.0,-0.4371871871871872,0.0
2018-09-26,-0.24592765850806114,-0.6314426530782725,-0.0,-0.4732826553058781,1.0,-0.4338540361429009,0.0
2018-09-27,-0.24574500682470268,-0.6323853032117887,-0.0,-0.47343937157023874,1.0,-0.4340232318448982,0.0
2018-09-28,-0.24282988157377786,-0.6451422798450919,-0.0,-0.4789246225514958,1.0,-0.4394117977212774,0.0
2018-10-01,-0.2427151760148223,-0.6458929874796474,-0.0,-0.47891752287911965,1.0,-0.4397001852787603,0.0
2018-10-02,-0.24216532224064757,-0.6525759577278731,-0.0,-0.47758509232974505,1.0,-0.43834846398156213,0.0
2018-10-03,-0.24188790560471976,-0.649613709790701,-0.0,-0.4781570445287259,1.0,-0.4396965865992415,0.0
2018-10-04,-0.24679487179487178,-0.6437809266756634,-0.0,-0.48464912280701755,1.0,-0.43629104813315345,0.0
2018-10-05,-0.24289804626094766,-0.6441443970357063,-0.0,-0.48453289916909953,1.0,-0.43549292611722434,0.0
2018-10-08,-0.23991573033707866,-0.6419382022471911,-0.0,-0.4908707865168539,1.0,-0.4362359550561798,0.0
2018-10-09,-0.23683618994099467,-0.6419499859511099,-0.0,-0.49227311042427646,1.0,-0.4386906434391683,0.0
2018-10-10,-0.23840557319025818,-0.6410573330711538,-0.0,-0.4932441922525914,1.0,-0.4363605719261778,0.0
2018-10-11,-0.18432013066557779,-0.6283380971825234,-0.0,-0.47186606778276846,1.0,-0.43767524159520893,0.0
2018-10-12,-0.19035342142013104,-0.6224889891502846,-0.0,-0.45504350628424106,1.0,-0.41768718444516056,0.0
2018-10-15,-0.15836092938104085,-0.6593166949357887,-0.0,-0.45244056753627876,1.0,-0.42217914546482516,0.0
2018-10-16,-0.15004331817197314,-0.6805826294130387,-0.0,-0.4536766298462205,1.0,-0.4230831708901884,0.0
2018-10-17,-0.13128030262667165,-0.6474772230806116,-0.0,-0.4517289146997709,1.0,-0.43348073951728916,0.0
2018-10-18,-0.13046384173238873,-0.6468921267210266,-0.0,-0.45921668226172974,1.0,-0.43686672904691887,0.0
