Date,IWF,IWM,LNT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2154088456275335,-0.543466473883969,1.0,-0.0,-0.4900467325914642,-0.33298907851591747,0.0
2018-09-25,-0.21493154223714803,-0.5441229656419531,1.0,-0.0,-0.4905192456729527,-0.33378971841901317,0.0
2018-09-26,-0.21359904385782583,-0.546352109748493,1.0,-0.0,-0.494725628767408,-0.34356162959883596,0.0
2018-09-27,-0.21320813608697914,-0.5486656609270144,1.0,-0.0,-0.49513603495812303,-0.3440930135774853,0.0
2018-09-28,-0.2145869123848196,-0.5483106876984747,1.0,-0.0,-0.49552293195897756,-0.34455203290124414,0.0
2018-10-01,-0.2144777716866369,-0.5527188242357793,1.0,-0.0,-0.49664552170621556,-0.3466468269506878,0.0
2018-10-02,-0.214876896164591,-0.5524659930550117,1.0,-0.0,-0.49664499621419805,-0.34691000234980807,0.0
2018-10-03,-0.21575477397494158,-0.5416196054739828,1.0,-0.0,-0.5072890126342886,-0.3619815607680386,0.0
2018-10-04,-0.22344409282700423,-0.5363924050632911,1.0,-0.0,-0.5180907172995781,-0.3592299578059072,0.0
2018-10-05,-0.20702960940781182,-0.5272994540109197,1.0,-0.0,-0.5244907601847962,-0.3661014279714406,0.0
2018-10-08,-0.20551133208155925,-0.5299235712585618,1.0,-0.0,-0.537857350646603,-0.3713008753603258,0.0
2018-10-09,-0.20032875550135212,-0.5314703854923378,1.0,-0.0,-0.5420223765841243,-0.37743252558460144,0.0
2018-10-10,-0.20094337122717756,-0.5306728144791584,1.0,-0.0,-0.5424384556271034,-0.375864536131648,0.0
2018-10-11,-0.142587057050152,-0.5138090493344575,1.0,-0.0,-0.5221890089675788,-0.37630617511049796,0.0
2018-10-12,-0.13771434386607642,-0.5123136416832036,1.0,-0.0,-0.5217778456215336,-0.37233501246629014,0.0
2018-10-15,-0.11627493781410222,-0.5313721508706026,1.0,-0.0,-0.5181988933448398,-0.3723285445961724,0.0
2018-10-16,-0.11373385111297242,-0.5354704434122693,1.0,-0.0,-0.5173735373994264,-0.371557653747557,0.0
