Date,IWF,IWM,MTUM,RRR,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.9807989027944454,-0.0,1.0,-0.10520601177210126,-0.0,-0.574147094119664,-0.0,-0.47997028401622943,-0.6879821704097376,-0.0,-0.21281216069489686,-0.0,-0.0,-0.5636322075547173,-0.0,-1.1100634321961256,-0.0,-0.0
2019-01-03,-0.0,-1.0197470985622725,-0.0,1.0,-0.0,-0.0,-0.3872625440267914,-0.0,-0.5199491887522374,-0.7710606847970436,-0.0,-0.3008834228304174,-0.0,-0.0,-0.6367573185518794,-0.0,-1.1382874299901842,-0.0,-0.0
2019-01-04,-0.0,-1.0828203043326752,-0.0,1.0,-0.004994772912068765,-0.0,-0.308688581716808,-0.0,-0.4185735857823208,-0.8148449297247068,-0.0,-0.2630386804506911,-0.0,-0.0,-0.7063538157741899,-0.0,-1.2086188872110581,-0.0,-0.0
2019-01-07,-0.0,-0.9598176599696101,-0.0,1.0,-0.24064381788508077,-0.0,-0.5478642579773764,-0.0,-0.2501547639146829,-0.6990263942821768,-0.0,-0.2220158703359784,-0.0,-0.0,-0.6384714953008048,-0.0,-1.0697844560751872,-0.0,-0.0
2019-01-08,-0.0,-0.9820986264354876,-0.0,1.0,-0.23755910830893945,-0.0,-0.546273361855438,-0.0,-0.2445395181265481,-0.6970276964647603,-0.0,-0.2140846656158523,-0.0,-0.0,-0.6385949110560685,-0.0,-1.0691848682729115,-0.0,-0.0
2019-01-09,-0.0,-0.939591336785257,-0.0,1.0,-0.18807416068147653,-0.0,-0.5933968041868493,-0.0,-0.23940760536718445,-0.66516340960971,-0.0,-0.28261232670786707,-0.0,-0.0,-0.6389399253939091,-0.0,-1.0204331607371528,-0.0,-0.0
2019-01-10,-0.0,-0.9699994423688173,-0.0,1.0,-0.20571014331121398,-0.0,-0.6063681481068421,-0.0,-0.2243907879328612,-0.6488596442313055,-0.0,-0.29810963029052584,-0.0,-0.0,-0.5947136563876652,-0.0,-1.0281603747281547,-0.0,-0.0
2019-01-11,-0.0,-0.9593608315824395,-0.0,1.0,-0.20065243835010507,-0.0,-0.5864204356961186,-0.0,-0.2004865641932987,-0.6600132699325446,-0.0,-0.32140882450514213,-0.0,-0.0,-0.6070994139113126,-0.0,-0.9936967820413579,-0.0,-0.0
2019-01-14,-0.0,-0.9762116496220542,-0.0,1.0,-0.18841707425522455,-0.0,-0.6099377501111606,-0.0,-0.18652734548688307,-0.639562027567808,-0.0,-0.33631614050689196,-0.0,-0.0,-0.6382281013783904,-0.0,-0.9828812805691418,-0.0,-0.0
2019-01-15,-0.0,-0.9581536760641238,-0.0,1.0,-0.20414593698175787,-0.0,-0.6045328911000553,-0.0,-0.17628524046434493,-0.6399668325041459,-0.0,-0.35207296849087893,-0.0,-0.0,-0.6426755113322278,-0.0,-0.9501381978993919,-0.0,-0.0
2019-01-16,-0.0,-0.9235938963256762,-0.0,1.0,-0.24177821847628492,-0.0,-0.5828237756844599,-0.06643529995042141,-0.299234286343855,-0.5546190712278962,-0.0,-0.29477221395912523,-0.0,-0.0,-0.6320167465432711,-0.0,-0.9135129179749905,-0.0,-0.0
2019-01-17,-0.0,-0.958760588497548,-0.0,1.0,-0.24682345073562198,-0.0,-0.5709986625055729,-0.025523851983950067,-0.29547481052162283,-0.5295920641997326,-0.0,-0.38943379402585826,-0.0,-0.0,-0.586937137761926,-0.0,-0.9692376281765492,-0.0,-0.0
2019-01-18,-0.0,-0.9524550099977782,-0.0,1.0,-0.24933348144856698,-0.0,-0.5628193734725616,-0.025161075316596313,-0.2569429015774272,-0.5476560764274605,-0.0,-0.4030215507664963,-0.0,-0.0,-0.5905354365696511,-0.0,-0.9663963563652521,-0.0,-0.0
2019-01-22,-0.0,-0.9918326803156559,-0.0,1.0,-0.18337840075051046,-0.0,-0.5401467910159483,-0.0,-0.248330666078031,-0.5768997295954968,-0.0,-0.3948457590640693,-0.0,-0.0,-0.5720986700513216,-0.0,-1.0109817338998952,-0.0,-0.0
