Date,ACAM,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-06,1.0,-0.0,-0.0,-0.1492216029213915,-0.13209046063168686,-0.0,0.0
2020-01-07,1.0,-0.0,-0.0,-0.14956684437153986,-0.13195868361697766,-0.0,0.0
2020-01-08,1.0,-0.0,-0.0,-0.15004101933035943,-0.1318130544018869,-0.0,0.0
2020-01-09,1.0,-0.0,-0.0,-0.14990964666077128,-0.1316980019736758,-0.0,0.0
2020-01-10,1.0,-0.0,-0.000307416421160497,-0.1491994364032279,-0.1313820929934674,-0.0,0.0
2020-01-13,1.0,-0.0,-0.0004099883409565541,-0.14906919834467205,-0.13173437880360275,-0.0,0.0
2020-01-14,1.0,-0.0,-0.00040978883069318347,-0.1482795272061366,-0.1319007798793684,-0.0,0.0
2020-01-15,1.0,-0.0,-0.0008709016393442623,-0.14827100409836064,-0.13159579918032785,-0.0,0.0
2020-01-16,1.0,-0.0,-0.0004097363602606948,-0.14663439992829613,-0.1333819895261143,-0.0,0.0
2020-01-17,1.0,-0.0,-0.0,-0.1464441572070285,-0.13332650788978614,-0.0,0.0
2020-01-21,1.0,-0.0,-0.0011644124835254828,-0.1453340328338729,-0.1330757124029123,-0.0,0.0
2020-01-22,1.0,-0.0,-0.0,-0.14722026741731176,-0.1322884012539185,-0.0,0.0
2020-01-23,1.0,-0.0,-0.0,-0.1465796378063608,-0.1332565431624752,-0.0,0.0
2020-01-24,1.0,-0.0,-0.0,-0.14673391277633416,-0.13331882592388733,-0.0,0.0
2020-01-27,1.0,-0.0,-0.0,-0.14885885502996304,-0.12616345786051256,-0.0,0.0
2020-01-28,1.0,-0.0,-0.0,-0.14877230440750344,-0.1221341060444309,-0.0,0.0
2020-01-29,1.0,-0.0,-0.0,-0.14861454568511825,-0.11953585695263458,-0.0,0.0
2020-01-30,1.0,-0.0,-0.0,-0.14830970556161396,-0.11972813268747941,-0.0,0.0
2020-01-31,1.0,-0.0,-0.0,-0.15076583098376894,-0.11928166831771192,-0.0,0.0
2020-02-03,1.0,-0.0,-0.0,-0.14666046254260096,-0.11093225348038784,-0.0,0.0
2020-02-04,1.0,-0.0,-0.0,-0.14534810683148666,-0.11090173613728299,-0.0,0.0
2020-02-05,1.0,-0.0,-0.0,-0.14644272976251516,-0.10412315696009405,-0.0,0.0
2020-02-06,1.0,-0.0,-0.0,-0.14837596579401394,-0.10183032030605355,-0.0,0.0
2020-02-07,1.0,-0.0,-0.0,-0.14808471270690604,-0.10210281542231335,-0.0,0.0
2020-02-10,1.0,-0.0,-0.0,-0.1480686159454668,-0.10038952283452769,-0.0,0.0
2020-02-11,1.0,-0.0,-0.0,-0.14601389183324812,-0.10100884139117856,-0.0,0.0
2020-02-12,1.0,-0.0,-0.0,-0.14610693306394282,-0.10105885434205111,-0.0,0.0
2020-02-13,1.0,-0.0,-0.0,-0.14709915480316138,-0.09950385200329104,-0.0,0.0
2020-02-14,1.0,-0.0,-0.0,-0.14463731635285176,-0.1014841306433725,-0.0,0.0
2020-02-18,1.0,-0.0,-0.0,-0.14378286768187823,-0.10239762729606462,-0.0,0.0
2020-02-19,1.0,-0.0,-0.0,-0.14412933278531306,-0.10137129619250458,-0.0,0.0
2020-02-20,1.0,-0.0,-0.0,-0.14528967003400553,-0.10033507305589118,-0.0,0.0
2020-02-21,1.0,-0.0,-0.0,-0.14447581497742565,-0.09928980982823596,-0.0,0.0
2020-02-24,1.0,-0.0,-0.0,-0.14289074007600044,-0.09490153362462712,-0.0,0.0
2020-02-25,1.0,-0.0,-0.0,-0.15633010001507766,-0.10012816002412424,-0.0,0.0
2020-02-26,1.0,-0.0,-0.0,-0.15015986318685404,-0.08907725481448435,-0.0,0.0
2020-02-27,1.0,-0.0,-0.0,-0.14972798136145637,-0.08953688671879839,-0.0,0.0
2020-02-28,1.0,-0.0,-0.0005182050364594257,-0.14552924773902207,-0.08777406260410368,-0.0,0.0
2020-03-02,1.0,-0.0,-0.0,-0.14228703749322558,-0.08943439917229146,-0.0,0.0
2020-03-03,1.0,-0.0,-0.0024057932468537304,-0.12417036401223448,-0.08236517281816313,-0.0,0.0
2020-03-04,1.0,-0.0,-0.003866567400754101,-0.12548332092509426,-0.07144744110089099,-0.0,0.0
2020-03-05,1.0,-0.0,-0.011699303020245603,-0.11278507420226637,-0.060855341140770944,-0.0,0.0
2020-03-06,1.0,-0.0,-0.012424199355694523,-0.1137364980102331,-0.05823621375781694,-0.0,0.0
2020-03-09,1.0,-0.0,-0.010697586548906627,-0.11295045576913994,-0.05710102489019034,-0.0,0.0
2020-03-10,1.0,-0.0017443973349485162,-0.004627498485766202,-0.1319321623258631,-0.07308298001211387,-0.0,0.0
2020-03-11,1.0,-0.0,-0.019213087348498418,-0.1291778613648576,-0.04571019165323303,-0.0,0.0
2020-03-12,1.0,-0.0,-0.00904694503420618,-0.12234017456947394,-0.04812455767869781,-0.0,0.0
2020-03-13,1.0,-0.01019753262497326,-0.0028286862059949134,-0.12157408067698305,-0.05391143122013834,-0.0,0.0
2020-03-16,1.0,-0.0,-0.018681894994464193,-0.11164850533185712,-0.03510284948429579,-0.0,0.0
2020-03-17,1.0,-0.03615928066795119,-0.045985870263326914,-0.13293513166345536,-0.06942838792549776,-0.0,0.0
2020-03-18,1.0,-0.03534592800612714,-0.04984682154710238,-0.12212152157263212,-0.06917283635435283,-0.0,0.0
2020-03-19,1.0,-0.03436090987385379,-0.04461978823648614,-0.12037083945488626,-0.06716399007041897,-0.0,0.0
2020-03-20,1.0,-0.03579347481786506,-0.03168831168831169,-0.1278428888184986,-0.07170098194488439,-0.0,0.0
2020-03-23,1.0,-0.03649910640118811,-0.04836760893095376,-0.10574672137337326,-0.06798902509628212,-0.0,0.0
2020-03-24,1.0,-0.039535206119954126,-0.05052490957440105,-0.10227229762939997,-0.06794207720518734,-0.0,0.0
2020-03-25,1.0,-0.04160638995017125,-0.04872831583762998,-0.07997329277792203,-0.06613746800697355,-0.0,0.0
2020-03-26,1.0,-0.03221612431398532,-0.050068132664924804,-0.09549824355239964,-0.07237064169719093,-0.0,0.0
2020-03-27,1.0,-0.031104295237270735,-0.046464746404145586,-0.0881432652707867,-0.07103899476854199,-0.0,0.0
2020-03-30,1.0,-0.023818897637795274,-0.0422982283464567,-0.0954724409448819,-0.06872539370078741,-0.0,0.0
2020-03-31,1.0,-0.021705236019888285,-0.044220735375360636,-0.09491130071818796,-0.06682217175127371,-0.0,0.0
2020-04-01,1.0,-0.021493212669683258,-0.04240851859138304,-0.09864991146960456,-0.06703718276608302,-0.0,0.0
2020-04-02,1.0,-0.02844196499263067,-0.02213235562809847,-0.09556987466046263,-0.07192711061305529,-0.0,0.0
2020-04-03,1.0,-0.027941391228155577,-0.02320741858540622,-0.09595726038066495,-0.06985347807038894,-0.0,0.0
2020-04-06,1.0,-0.028523449098298816,-0.021928009929664878,-0.09568254277300495,-0.07073669351894668,-0.0,0.0
