Date,GILD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39486587828093456,-0.5779892959010352,-0.1262699099445566,-0.537672659680159,-0.5680223055475436,0.0
2018-09-25,1.0,-0.3967063949762912,-0.5763488401896706,-0.12924516211713444,-0.5361399461745482,-0.5654555940023068,0.0
2018-09-26,1.0,-0.3962748052447665,-0.5761869650242042,-0.1273362613406854,-0.5372359183150066,-0.5687814573782579,0.0
2018-09-27,1.0,-0.40114172091979095,-0.5671402456624227,-0.13030371059298934,-0.5387896475417723,-0.5696738398383632,0.0
2018-09-28,1.0,-0.4037819442660845,-0.5663927057917041,-0.13028123796070373,-0.5397136252728908,-0.5703094901759342,0.0
2018-10-01,1.0,-0.40321907026054554,-0.5682205159507823,-0.1307225238538889,-0.53966010216211,-0.5708548848266778,0.0
2018-10-02,1.0,-0.40505881596708876,-0.5539628463071287,-0.13601594137687215,-0.5437423667802275,-0.5752073021790833,0.0
2018-10-03,1.0,-0.4050168837433671,-0.5434635793535938,-0.13420164013506997,-0.5493166103875221,-0.5839845634346358,0.0
2018-10-04,1.0,-0.40610132441815605,-0.540954095409541,-0.1346277484891346,-0.5505979169345505,-0.5822939436800822,0.0
2018-10-05,1.0,-0.40932809379630225,-0.5453842685047993,-0.1327385170392321,-0.5512787476647555,-0.5822972363589511,0.0
2018-10-08,1.0,-0.4078921978516756,-0.54264488325722,-0.1297034797710169,-0.553868913616775,-0.5819450697883837,0.0
2018-10-09,1.0,-0.4065103412782656,-0.5431503103991766,-0.12586445366528354,-0.5560487632281514,-0.5849979092283445,0.0
2018-10-10,1.0,-0.4077373295600721,-0.5418381785438642,-0.1272189349112426,-0.5566632364291227,-0.5823900180087471,0.0
2018-10-11,1.0,-0.37363224751603574,-0.5392089045403095,-0.07662558168783801,-0.5520689221481575,-0.6027543705194316,0.0
2018-10-12,1.0,-0.3756400649431747,-0.5341263894092668,-0.07203072311727239,-0.5448982140626951,-0.5955726239540402,0.0
