Date,HUIZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-12,1.0,-0.6917094644167278,-0.2849229640498899,-0.5195524578136463,-0.9867204695524577,-0.1854732208363903,0.0
2020-10-13,1.0,-0.6827525557876223,-0.2904254149719688,-0.5187424425634825,-0.9826316368033419,-0.18965959473819208,0.0
2020-10-14,1.0,-0.6828374615271875,-0.2904147735600176,-0.5189799208559285,-0.9824857100981973,-0.18939616004690019,0.0
2020-10-15,1.0,-0.6811854348303905,-0.28822624368085575,-0.5190123818594768,-0.9818668034288226,-0.19298117078174223,0.0
2020-10-16,1.0,-0.6817848769050411,-0.2875512895662368,-0.5196365767878077,-0.9818654747948419,-0.19270222743259088,0.0
2020-10-19,1.0,-0.6818464920315075,-0.2875984612566404,-0.519692251328082,-0.9817549001648652,-0.1927459241619344,0.0
2020-10-20,1.0,-0.6793675194905018,-0.28706855532374365,-0.5177336115076314,-0.9789173163500604,-0.1971011309981333,0.0
2020-10-21,1.0,-0.679221111965155,-0.2872515647304271,-0.5183192416090188,-0.9782218806046631,-0.1971743347608067,0.0
2020-10-22,1.0,-0.6798181284834263,-0.29103109416251094,-0.5223305954825461,-0.9773027280727485,-0.19631856849515986,0.0
2020-10-23,1.0,-0.6805514813728365,-0.29037107656204164,-0.5229906130830155,-0.9768993839835728,-0.19591522440598413,0.0
2020-10-26,1.0,-0.6826923076923077,-0.2938564298297123,-0.5233778625954199,-0.9792278332354668,-0.19083969465648853,0.0
2020-10-27,1.0,-0.6815349655475736,-0.2918560328397596,-0.5247031227092801,-0.9820774080046913,-0.18498020818061867,0.0
2020-10-28,1.0,-0.6955227172474635,-0.2930818997206293,-0.5296279958829584,-0.9870974856638729,-0.1706366710777827,0.0
