Date,IWF,IWM,JNPR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3169084103403907,-0.5697742426014739,1.0,-0.11276172651772137,-0.46101883261200144,-0.46388466487308455,0.0
2018-09-25,-0.31730206993334115,-0.569143959770787,1.0,-0.11358320664249796,-0.4604724593614782,-0.4631037305578295,0.0
2018-09-26,-0.31794391976842784,-0.5699540949095055,1.0,-0.11499663752521856,-0.46010350574544606,-0.46089295634630567,0.0
2018-09-27,-0.3183093651350403,-0.5685432012159476,1.0,-0.11542733543785806,-0.45995557114462765,-0.46071553840757634,0.0
2018-09-28,-0.3181924470945867,-0.5685432012159476,1.0,-0.11569040102887876,-0.4598678826142874,-0.4606863088974629,0.0
2018-10-01,-0.31760472735782824,-0.5704715656447461,1.0,-0.11607769716826587,-0.45986426398315006,-0.4613269365785163,0.0
2018-10-02,-0.3178294573643411,-0.5686412169080006,1.0,-0.1169811320754717,-0.4601433377212228,-0.46166447272195404,0.0
2018-10-03,-0.31758238544986694,-0.5652212052984005,1.0,-0.11664083745138747,-0.46109535366531185,-0.4635515658352583,0.0
2018-10-04,-0.32074258149393364,-0.5600350825902646,1.0,-0.11714661599181406,-0.4652828533840082,-0.4603420552550796,0.0
2018-10-05,-0.31535838167137903,-0.5570291777188329,1.0,-0.1111143498411403,-0.4678054041449267,-0.4635497128865829,0.0
2018-10-08,-0.3143447633463352,-0.5552482971415265,1.0,-0.10941957268440355,-0.4688536997147348,-0.46300285265180186,0.0
2018-10-09,-0.3167924473323815,-0.5559893936303506,1.0,-0.11404761210990996,-0.4670882018706839,-0.45992016084384746,0.0
2018-10-10,-0.3171570055345179,-0.5553160501019516,1.0,-0.11453539178561026,-0.4672298281386542,-0.45863676085056804,0.0
2018-10-11,-0.2987191610074787,-0.5516776985013897,1.0,-0.0905470070775667,-0.4614458867016246,-0.463021863090633,0.0
2018-10-12,-0.298945267958951,-0.5498289623717217,1.0,-0.08694412770809577,-0.4570410490307868,-0.4578392246294185,0.0
2018-10-15,-0.2984611000284982,-0.5505842120262183,1.0,-0.085351952123112,-0.457395269307495,-0.45805072670276437,0.0
2018-10-16,-0.295574258559487,-0.5738864078781633,1.0,-0.07016489178976297,-0.46192602771098135,-0.46112447039963356,0.0
2018-10-17,-0.2887849142208989,-0.5575499787324543,1.0,-0.06479512264284701,-0.46011626258329785,-0.46439812845597617,0.0
2018-10-18,-0.28714192431081964,-0.5554325298810436,1.0,-0.06632030207534849,-0.46446923884961533,-0.46569003208131055,0.0
2018-10-19,-0.2794175743552119,-0.5479711044641346,1.0,-0.058750493820193025,-0.46836728935041483,-0.46732321237090135,0.0
2018-10-22,-0.2795947738239693,-0.5475915004091768,1.0,-0.05900612354318932,-0.46838050625052907,-0.46736461890114844,0.0
2018-10-23,-0.280821531343452,-0.5470857078372736,1.0,-0.0620098177509451,-0.46558144783614513,-0.46572250747616095,0.0
2018-10-24,-0.2806334224142833,-0.5599874907602206,1.0,-0.0659293796554273,-0.4693807926309206,-0.46710638539830557,0.0
2018-10-25,-0.2529534597671558,-0.5475843130524328,1.0,-0.04130552933436311,-0.5468405846849166,-0.47180983437741353,0.0
2018-10-26,-0.24257664876537946,-0.5425510754979683,1.0,-0.02204983945671014,-0.5637484727076407,-0.4705481203648452,0.0
2018-10-29,-0.2364455271655997,-0.5456064812191944,1.0,-0.016344683020792023,-0.5618095292051442,-0.47252280324060963,0.0
2018-10-30,-0.23263849552509347,-0.5461085306446131,1.0,-0.013821230316075676,-0.5626770137079415,-0.4769740568709641,0.0
