Date,FBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23458613709721537,-0.6707970895563214,-0.09735215274358552,-0.3900103944417091,-0.34266097707752063,0.0
2018-09-25,1.0,-0.23375236217237694,-0.6728014679703119,-0.09530852025306054,-0.39180565825870234,-0.3450825733300468,0.0
2018-09-26,1.0,-0.24210198829086177,-0.6968634216703906,-0.07806092145826851,-0.42124614644907654,-0.39002177786576914,0.0
2018-09-27,1.0,-0.24097447268178976,-0.7086815623400989,-0.0756154414691,-0.4242992779578146,-0.3930865882085394,0.0
2018-09-28,1.0,-0.2372194603293198,-0.7266875484927727,-0.07623782292594615,-0.4324836920601166,-0.4010460070691686,0.0
2018-10-01,1.0,-0.23728375193976667,-0.7265647451002931,-0.07641243749640783,-0.4324386458991896,-0.4010862693258233,0.0
2018-10-02,1.0,-0.23722281342575283,-0.7324053035750236,-0.07492306364865253,-0.43153383761396646,-0.4000402657539762,0.0
2018-10-03,1.0,-0.23905704475286377,-0.7425628300199095,-0.07620394148368295,-0.43070663935135767,-0.3968606630695098,0.0
2018-10-04,1.0,-0.2378486286309455,-0.7487848628630945,-0.07611966207614859,-0.42917486402036803,-0.4013135053813216,0.0
2018-10-05,1.0,-0.23214079630698212,-0.7485574148874784,-0.07028274668205424,-0.4309867282169648,-0.40323139065204844,0.0
2018-10-08,1.0,-0.23062518006338228,-0.7463267070008642,-0.06712762892538174,-0.43396715643906647,-0.40293863439930855,0.0
2018-10-09,1.0,-0.22932634126663978,-0.7469313663343515,-0.063735377168213,-0.43586123436869706,-0.4055206592520026,0.0
2018-10-10,1.0,-0.22916906765010947,-0.7471764434712458,-0.06347239829434137,-0.4358937420767547,-0.4054396680880489,0.0
2018-10-11,1.0,-0.1961463703202907,-0.7518521648497141,-0.02171892165976506,-0.4296177357108651,-0.41761739767317385,0.0
2018-10-12,1.0,-0.1989347759404367,-0.7501463985945735,-0.018989989124675834,-0.4172778227043306,-0.40319567217868996,0.0
2018-10-15,1.0,-0.1743809044664319,-0.7903460226955112,-0.0,-0.4191961540611549,-0.4110906143440103,0.0
2018-10-16,1.0,-0.17219116825041922,-0.7937674678591391,-0.0,-0.41850195640022364,-0.41039686975964224,0.0
2018-10-17,1.0,-0.15564567298408233,-0.7656211205826368,-0.0,-0.41728047670280566,-0.42014952136610667,0.0
2018-10-18,1.0,-0.15477603289818673,-0.7639996688102008,-0.0,-0.42019705793061574,-0.4209146358292165,0.0
2018-10-19,1.0,-0.14581102232473844,-0.7615124804349618,-0.0,-0.4195293406925337,-0.4191449048521295,0.0
2018-10-22,1.0,-0.14764121065241936,-0.7705653934069566,-0.0,-0.4179174354878687,-0.41786235575996256,0.0
2018-10-23,1.0,-0.14052460293176824,-0.7789491251981865,-0.0,-0.4330338516313872,-0.4290562154043003,0.0
2018-10-24,1.0,-0.1628902012775702,-0.8294865614077377,-0.0,-0.5088586235988911,-0.5118717608774256,0.0
2018-10-25,1.0,-0.15701562359432633,-0.826251236992833,-0.0,-0.5076918463429994,-0.507811797163163,0.0
2018-10-26,1.0,-0.169527571016254,-0.8380981315509646,-0.0,-0.5121677046939086,-0.5183351055749659,0.0
2018-10-29,1.0,-0.13652325261840056,-0.8692479159668997,-0.0,-0.5068857064337843,-0.540902012275184,0.0
2018-10-30,1.0,-0.13936153963647474,-0.8695280281044754,-0.0,-0.5070413930044295,-0.5389033144951887,0.0
2018-10-31,1.0,-0.1439761962594122,-0.8512266213262084,-0.0,-0.5060116589749818,-0.5349769249453485,0.0
2018-11-01,1.0,-0.1270857350888902,-0.8649960560645591,-0.0,-0.5059159031612159,-0.5358291365815181,0.0
2018-11-02,1.0,-0.13201340053722874,-0.8410346180545076,-0.0,-0.5133250837533577,-0.5317960945281139,0.0
2018-11-05,1.0,-0.12698604482571135,-0.8570651845586902,-0.0,-0.5157675345858757,-0.5207817314082039,0.0
2018-11-06,1.0,-0.1329928683669769,-0.862172126193642,-0.0,-0.5120875135984528,-0.514625891454128,0.0
2018-11-07,1.0,-0.13332728537300795,-0.8625601016057335,-0.0,-0.5129879947987542,-0.5151350207142641,0.0
2018-11-08,1.0,-0.1063963963963964,-0.8672972972972973,-0.0,-0.5059459459459459,-0.5233633633633633,0.0
2018-11-09,1.0,-0.10460591801646911,-0.8716254939221187,-0.0,-0.5134980243115254,-0.5265888456549935,0.0
2018-11-12,1.0,-0.10376848178867652,-0.8599290780141844,-0.0,-0.5174299795648516,-0.5240112994350282,0.0
2018-11-13,1.0,-0.07481020981529081,-0.8632315141371273,-0.0,-0.5256739793173532,-0.5251061031741289,0.0
2018-11-14,1.0,-0.07669987136917049,-0.8627538963175686,-0.0,-0.5268479463938497,-0.5251428400490593,0.0
2018-11-15,1.0,-0.0756556323076463,-0.8633414072545679,-0.0,-0.5270177327233038,-0.5243264256451661,0.0
2018-11-16,1.0,-0.07500522528440477,-0.8595742139679318,-0.0,-0.5259323400316502,-0.5253650234391329,0.0
2018-11-19,1.0,-0.07159526089037818,-0.8625837721397799,-0.0,-0.5299485399712782,-0.5277644806127334,0.0
2018-11-20,1.0,-0.03580037496652085,-0.8580186292890516,-0.0,-0.5349522364074636,-0.5471535279588132,0.0
2018-11-21,1.0,-0.04066385140123439,-0.8550630481646635,-0.0,-0.5336798275403833,-0.5236393704042761,0.0
2018-11-23,1.0,-0.04248095884749366,-0.841058038613686,-0.0,-0.5418905355139635,-0.526657613508886,0.0
2018-11-26,1.0,-0.041442665563892006,-0.8484078690848939,-0.0,-0.5397885035741715,-0.5241921190996632,0.0
2018-11-27,1.0,-0.034557807123319906,-0.8506220405282198,-0.0,-0.5358077703596954,-0.5201023499308844,0.0
2018-11-28,1.0,-0.03395615712814477,-0.8553773723701634,-0.0,-0.5340002942474621,-0.519170222156834,0.0
2018-11-29,1.0,-0.011192724728926198,-0.8461583304185613,-0.0,-0.5329077766118689,-0.5244840853445261,0.0
2018-11-30,1.0,-0.010383549657284526,-0.8468718098293715,-0.0,-0.5330027708910603,-0.5264693014437801,0.0
2018-12-03,1.0,-0.008832531700918233,-0.8472234368167906,-0.0,-0.5328669290190934,-0.5261040664626148,0.0
2018-12-04,1.0,-0.0011052294805421442,-0.8519865045663428,-0.0,-0.5301902158105986,-0.5252166831481588,0.0
2018-12-06,1.0,-0.0,-0.8433081318173948,-0.0,-0.5253650372251399,-0.5169965949096785,0.0
2018-12-07,1.0,-0.0,-0.8438654201292706,-0.0,-0.5262869344413666,-0.5153220221606648,0.0
2018-12-10,1.0,-0.0,-0.8443630955785619,-0.0,-0.5180747011382486,-0.4974832694617628,0.0
2018-12-11,1.0,-0.0,-0.8442969911909393,-0.0,-0.5177611257293215,-0.4980265415856309,0.0
2018-12-12,1.0,-0.0,-0.8443033267541977,-0.0,-0.5174633141680254,-0.49872708029405877,0.0
2018-12-13,1.0,-0.0,-0.8473464007336085,-0.0,-0.517193947730399,-0.501117606602476,0.0
2018-12-14,1.0,-0.0,-0.8718888953051915,-0.0,-0.5101056765028584,-0.5053704452272334,0.0
2018-12-17,1.0,-0.0,-0.8693462999194383,-0.0,-0.49338243756473704,-0.5144723213258142,0.0
2018-12-18,1.0,-0.0,-0.8581688643741561,-0.0,-0.4913671751558505,-0.5232842081070987,0.0
2018-12-19,1.0,-0.0,-0.8601122786814454,-0.0,-0.49414135598099895,-0.5246869152152008,0.0
