Date,IWF,IWM,MTUM,NLS,SPY,VLUE,VXX
2018-09-24,-0.5334916394578015,-1.5016325319085781,-0.0,1.0,-0.9590877609577521,-0.9528544573068172,0.0
2018-09-25,-0.5329934161675165,-1.5027968912430079,-0.0,1.0,-0.9601504875996237,-0.9543091926142271,0.0
2018-09-26,-0.5334620334620335,-1.5032670032670032,-0.0,1.0,-0.9600039600039599,-0.9532224532224531,0.0
2018-09-27,-0.5455899141311361,-1.4921328237454707,-0.0,1.0,-0.9670918747208022,-0.9586538938799821,0.0
2018-09-28,-0.5449853605280135,-1.4922832613766066,-0.0,1.0,-0.9668502803831076,-0.9585132251501166,0.0
2018-10-01,-0.5518891436546706,-1.4947662247034192,-0.0,1.0,-0.9745788057023228,-0.9633137274449207,0.0
2018-10-02,-0.5517758129776712,-1.508766671661921,-0.0,1.0,-0.9731255307457916,-0.9615864928318097,0.0
2018-10-03,-0.5512621844538865,-1.4941764558860284,-0.0,1.0,-0.9802049487628092,-0.973056735816046,0.0
2018-10-04,-0.5594696022016513,-1.4852139104328246,-0.0,1.0,-0.9908431323492619,-0.9682261696272204,0.0
2018-10-05,-0.5319498357718722,-1.472977008062108,-0.0,1.0,-0.995172688364686,-0.9765104011147606,0.0
2018-10-08,-0.5279432201707366,-1.4677387333730394,-0.0,1.0,-0.9942426047250348,-0.9733472304943419,0.0
2018-10-09,-0.5237315063052329,-1.4680270082414857,-0.0,1.0,-0.9961771422897429,-0.976814616224804,0.0
2018-10-10,-0.5251352290208923,-1.466775842389956,-0.0,1.0,-0.9969232296163963,-0.9736985757530644,0.0
2018-10-11,-0.3987747678759453,-1.4514214607064229,-0.0,1.0,-0.9515650425959606,-0.9843017134105486,0.0
2018-10-12,-0.4088163111195016,-1.445299225976968,-0.0,1.0,-0.9187275816499905,-0.9468095148197092,0.0
2018-10-15,-0.36218872560601045,-1.4975192553040682,-0.0,1.0,-0.9133393186221234,-0.9521806927184235,0.0
2018-10-16,-0.3589380196523054,-1.502267573696145,-0.0,1.0,-0.9120370370370371,-0.9508692365835222,0.0
2018-10-17,-0.32380205691094405,-1.4376700641055205,-0.0,1.0,-0.8961398330489324,-0.9542959922519947,0.0
2018-10-18,-0.3238767413968078,-1.4386936064212565,-0.0,1.0,-0.8958852292646923,-0.9545160992711504,0.0
