Date,IWF,IWM,MTUM,SNBR,SPY,VLUE,VXX
2018-09-24,-0.6223271439596859,-1.3369501066872473,-0.0,1.0,-0.7624733281881327,-0.8181322921868617,0.0
2018-09-25,-0.6231107883629101,-1.336177551854037,-0.0,1.0,-0.7619479871102437,-0.817228702400944,0.0
2018-09-26,-0.6238652868554829,-1.3371005809731302,-0.0017247639796659406,1.0,-0.7615286855482934,-0.8147240377632534,0.0
2018-09-27,-0.6285221652525069,-1.3264667180906573,-0.005036526158174146,1.0,-0.7624211624846863,-0.8149643813240165,0.0
2018-09-28,-0.6272116867797841,-1.326830596134652,-0.005807095544868887,1.0,-0.7621359223300971,-0.8148080936394156,0.0
2018-10-01,-0.6268040301352455,-1.327811563946628,-0.006535354452210221,1.0,-0.7620949441771807,-0.8151946991013888,0.0
2018-10-02,-0.6282918800292611,-1.3666788588149232,-0.0,1.0,-0.762756035113387,-0.8143288222384784,0.0
2018-10-03,-0.6281939936920053,-1.3650409105453216,-0.0,1.0,-0.7629930977739179,-0.8148283585500754,0.0
2018-10-04,-0.6294702752718019,-1.393800601434189,-0.0,1.0,-0.7671524404348832,-0.8359935230164237,0.0
2018-10-05,-0.6072893148412661,-1.3852923558954982,-0.0,1.0,-0.7706307883702714,-0.8443993917891536,0.0
2018-10-08,-0.6029337379868487,-1.3803283211477446,-0.0,1.0,-0.7727042810502598,-0.8423230790453856,0.0
2018-10-09,-0.6048298068077277,-1.381508739650414,-0.0,1.0,-0.7723091076356945,-0.8411683532658694,0.0
2018-10-10,-0.6115905125666053,-1.422879237987457,-0.0,1.0,-0.7980383835526005,-0.8829160182958457,0.0
2018-10-11,-0.500528759942986,-1.4273299921835487,-0.0,1.0,-0.7628396707894616,-0.9072141247873466,0.0
2018-10-12,-0.49795770173368425,-1.4206226740491967,-0.0,1.0,-0.7370427521103748,-0.8828628483253155,0.0
2018-10-15,-0.489439811457578,-1.4274383611312544,-0.0,1.0,-0.7336385061638869,-0.8817984046410443,0.0
2018-10-16,-0.4826960584206468,-1.4401959450265343,-0.0,1.0,-0.7324352519617182,-0.8804826053431305,0.0
2018-10-17,-0.45408390487218314,-1.389774650396366,-0.0,1.0,-0.7222321189988421,-0.8875033401621093,0.0
2018-10-18,-0.45328642679016745,-1.3884039900249376,-0.0,1.0,-0.7237709298183114,-0.8877360171001069,0.0
2018-10-19,-0.4314548184789329,-1.376689338397668,-0.0,1.0,-0.7220651885875805,-0.8863616288313753,0.0
2018-10-22,-0.43391466005665724,-1.3855789660056657,-0.0,1.0,-0.7213615439093485,-0.8854904390934845,0.0
2018-10-23,-0.4406892274982282,-1.3870924875974486,-0.0,1.0,-0.7177533664068037,-0.8839475549255846,0.0
2018-10-24,-0.4390070921985816,-1.3823138297872342,-0.0,1.0,-0.7207446808510638,-0.8906028368794325,0.0
