Date,IWF,IWM,MTUM,PBCT,SPY,VLUE,VXX
2018-09-24,-0.12684802598581288,-0.47906565716878835,-0.08309250280637226,1.0,-0.31672597864768687,-0.3826219876280781,0.0
2018-09-25,-0.12538174822652398,-0.48745942046410967,-0.07651797523145365,1.0,-0.3239870145485151,-0.39136707947577254,0.0
2018-09-26,-0.12584166987302808,-0.48802424009234324,-0.07757791458253174,1.0,-0.32368218545594457,-0.38964505579068875,0.0
2018-09-27,-0.1245346869712352,-0.4990331157843848,-0.07515107565868986,1.0,-0.32629925066473286,-0.3921924099589074,0.0
2018-09-28,-0.12214774844532629,-0.5023108379509763,-0.07561642509739396,1.0,-0.32683233721296,-0.39281825440994994,0.0
2018-10-01,-0.1218957254199545,-0.5030498136225008,-0.07585806264220361,1.0,-0.32671733552790816,-0.39299026964225203,0.0
2018-10-02,-0.1218926005049524,-0.5182316954748495,-0.07154301806175957,1.0,-0.3252087784035735,-0.39080403961934357,0.0
2018-10-03,-0.12172921015583281,-0.5118937812515171,-0.07053740472838486,1.0,-0.3279042671974367,-0.395261905917763,0.0
2018-10-04,-0.12019793291731669,-0.5203051872074883,-0.07012968018720749,1.0,-0.32607741809672386,-0.40088728549141966,0.0
2018-10-05,-0.10857990323600203,-0.5155965087160536,-0.06019790425712966,1.0,-0.3345651698232477,-0.41229243149935574,0.0
2018-10-08,-0.10812190142898805,-0.5154320987654321,-0.05975989112472052,1.0,-0.33469427432682025,-0.412267910955575,0.0
2018-10-09,-0.10554134697357204,-0.518036779929363,-0.05112653757155036,1.0,-0.3408598221897455,-0.42021678236511995,0.0
2018-10-10,-0.10538236726741354,-0.5180711154408183,-0.0509985387238188,1.0,-0.34086702386751094,-0.4201412566975158,0.0
2018-10-11,-0.07662944937494037,-0.5199685084454624,-0.018179215574005154,1.0,-0.33626777364252314,-0.4346550243343831,0.0
2018-10-12,-0.07255663276244015,-0.5224029918296372,-0.014435101593578047,1.0,-0.3363902717896191,-0.43624496796169693,0.0
2018-10-15,-0.04270061617396725,-0.5693735165072287,-0.0,1.0,-0.3390874871130931,-0.44640245510561266,0.0
2018-10-16,-0.03930644155594992,-0.5752314259676723,-0.0,1.0,-0.33821766031943973,-0.44546501031224517,0.0
2018-10-17,-0.026572166781235924,-0.5536302652475881,-0.0,1.0,-0.33711806954749096,-0.4530779624054804,0.0
2018-10-18,-0.025644675349322705,-0.5519891822646075,-0.0,1.0,-0.3405688800322634,-0.4541076554456385,0.0
2018-10-19,-0.015805241678658207,-0.5476398292090302,-0.0,1.0,-0.3406619329574674,-0.4548607015640112,0.0
2018-10-22,-0.016470033034450212,-0.5480651250589901,-0.0,1.0,-0.34051439358187824,-0.4545540349221331,0.0
2018-10-23,-0.008495668405686115,-0.5585124204278945,-0.0,1.0,-0.3584454123390609,-0.467692528598095,0.0
2018-10-24,-0.0067451205510907,-0.5550373134328358,-0.0,1.0,-0.35945273631840796,-0.4706515499425947,0.0
2018-10-25,-0.0,-0.5385086294177204,-0.0,1.0,-0.35709072072708437,-0.458948458948459,0.0
2018-10-26,-0.0,-0.5370322459251594,-0.0,1.0,-0.35712773714043794,-0.4578639132582262,0.0
2018-10-29,-0.0,-0.5372801352652467,-0.0,1.0,-0.3536152924876124,-0.4574595495855154,0.0
2018-10-30,-0.0,-0.5381026806858009,-0.0,1.0,-0.3508098891730605,-0.4791844273941461,0.0
