Date,IWF,IWM,LDP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.128152940321291,-0.24609289816093627,1.0,-0.0,-0.24093188922003345,-0.20207894162971576,0.0
2018-09-25,-0.12711525164671206,-0.24724334946686563,1.0,-0.0,-0.24178463553986682,-0.20340987663306526,0.0
2018-09-26,-0.1261499225794699,-0.24692594954003094,1.0,-0.0,-0.24244466709172055,-0.20615720921759723,0.0
2018-09-27,-0.12792412299066103,-0.2434872840472593,1.0,-0.0,-0.2427590977772114,-0.20627696564781273,0.0
2018-09-28,-0.1275421954372485,-0.24403255466744353,1.0,-0.0,-0.24277625038690528,-0.20637984086812447,0.0
2018-10-01,-0.12730055760049563,-0.24525310689165053,1.0,-0.0,-0.24284777142024125,-0.2068406283027807,0.0
2018-10-02,-0.12764289880431612,-0.24467774861475647,1.0,-0.0,-0.24316491688538933,-0.20720326625838437,0.0
2018-10-03,-0.12718922563831533,-0.23976235169761806,1.0,-0.0,-0.24499280129758885,-0.21051192797652676,0.0
2018-10-04,-0.13344443020125624,-0.23553756844360613,1.0,-0.0,-0.2541798670500119,-0.20810518797956304,0.0
2018-10-05,-0.13126962108490908,-0.23357304519237787,1.0,-0.0,-0.25346791268160906,-0.20692487406001311,0.0
2018-10-08,-0.13082254240379354,-0.23299288710559912,1.0,-0.0,-0.2534196607696516,-0.20658398686850263,0.0
2018-10-09,-0.13048393566974217,-0.23285073483826266,1.0,-0.0,-0.2534371467123737,-0.20664818934393347,0.0
2018-10-10,-0.12965464369158877,-0.23395516939252337,1.0,-0.0,-0.2534499123831776,-0.208272488317757,0.0
2018-10-11,-0.10921526021444093,-0.22334627578099958,1.0,-0.0,-0.24300929718947034,-0.20549994656787662,0.0
2018-10-12,-0.11262139332314772,-0.2167606202693922,1.0,-0.0,-0.23300493475932071,-0.19375515866743936,0.0
2018-10-15,-0.10897525758743956,-0.21849372678208454,1.0,-0.0,-0.23181117263615336,-0.19301535010864232,0.0
2018-10-16,-0.10538502017189966,-0.22515348184529027,1.0,-0.0,-0.23120505174530784,-0.19233467812664443,0.0
2018-10-17,-0.1016783898600181,-0.21747684379135038,1.0,-0.0,-0.22935092973048266,-0.1925621561390069,0.0
2018-10-18,-0.10232898682100272,-0.21942333170629663,1.0,-0.0,-0.22859284568719054,-0.1929258768565651,0.0
2018-10-19,-0.09955065146862369,-0.216398618990614,1.0,-0.0,-0.22774510314196986,-0.19122469161505232,0.0
2018-10-22,-0.09999826301436486,-0.2189644091643362,1.0,-0.0,-0.2271803512184954,-0.19082524187524968,0.0
2018-10-23,-0.10279399499582985,-0.2194015846538782,1.0,-0.0,-0.2253614122880178,-0.19000208507089242,0.0
2018-10-24,-0.10225475027380351,-0.2158440971437512,1.0,-0.0,-0.22714392503868017,-0.1931749039514629,0.0
2018-10-25,-0.09152991540108042,-0.1983997553766181,1.0,-0.0,-0.22755070838854352,-0.18127611864234025,0.0
2018-10-26,-0.08851039358625239,-0.19559223990663532,1.0,-0.0,-0.2279992557887793,-0.17932107640004735,0.0
2018-10-29,-0.08063864867593122,-0.19765133416332986,1.0,-0.0,-0.22347656381439482,-0.18064201352670006,0.0
2018-10-30,-0.0769191953172307,-0.19772253246316354,1.0,-0.0,-0.22365942272757855,-0.18372804951893962,0.0
2018-10-31,-0.08052669444026167,-0.18643443925780923,1.0,-0.0,-0.22407937224982846,-0.18206762703073498,0.0
2018-11-01,-0.07638819242469828,-0.18941597298833285,1.0,-0.0,-0.2237321565874369,-0.18199445057332933,0.0
2018-11-02,-0.07499115670321894,-0.20019539474792392,1.0,-0.0,-0.22365960887361666,-0.18557447740327118,0.0
2018-11-05,-0.07508043730943517,-0.20000673820393175,1.0,-0.0,-0.22367467951417552,-0.18578912790795613,0.0
2018-11-06,-0.07573613637895021,-0.20047503537497477,1.0,-0.0,-0.22319924533387242,-0.18512903443164208,0.0
2018-11-07,-0.07531697789152873,-0.20084527437740995,1.0,-0.0,-0.22253279226792838,-0.18510161814477427,0.0
2018-11-08,-0.06838035947384276,-0.20005355290022425,1.0,-0.0,-0.21928239113699505,-0.18582856377815712,0.0
2018-11-09,-0.06831570491364305,-0.20006024902932118,1.0,-0.0,-0.21940688177801576,-0.18580131208997186,0.0
2018-11-12,-0.06811606321598797,-0.19934777155280542,1.0,-0.0,-0.21941633915879258,-0.18550045990467431,0.0
2018-11-13,-0.05751640485185921,-0.19602969443892093,1.0,-0.0,-0.2202227082919069,-0.1832869357725194,0.0
