Date,ISRG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5298741172858459,-0.45931839115750694,-0.360392999692969,-0.4325452870739945,-0.2881793061099171,0.0
2018-09-25,1.0,-0.5372600967314624,-0.45907396568189524,-0.36865777394411753,-0.4316256430793876,-0.28403314746927083,0.0
2018-09-26,1.0,-0.5381462993775806,-0.4602514327971899,-0.37061687311271335,-0.4311949220435078,-0.28104393911382264,0.0
2018-09-27,1.0,-0.5379091413425383,-0.46113542501386917,-0.3704308697528201,-0.43133205942180847,-0.28123651605744926,0.0
2018-09-28,1.0,-0.536109484326357,-0.46271923065067966,-0.37068088647782266,-0.43131029806121507,-0.28150910828221803,0.0
2018-10-01,1.0,-0.5355061515216922,-0.46393882396472513,-0.37087971385402857,-0.4311923776633468,-0.28198328759520214,0.0
2018-10-02,1.0,-0.5354444821312941,-0.4627054361567636,-0.37137306897721317,-0.4314698899201381,-0.2825074774135858,0.0
2018-10-03,1.0,-0.5352386237513873,-0.46118510297200643,-0.37119250215809596,-0.43192748797632263,-0.28345048711308424,0.0
2018-10-04,1.0,-0.5437142415339414,-0.4535333230245863,-0.3714550796350703,-0.44456471315911544,-0.2793567341889593,0.0
2018-10-05,1.0,-0.5387958938314991,-0.4477634945590184,-0.3663183205400906,-0.4479176300132557,-0.2819137457998089,0.0
2018-10-08,1.0,-0.5382459814005051,-0.44614152860750145,-0.36512286752478906,-0.4487282133399027,-0.28114799531933243,0.0
2018-10-09,1.0,-0.5520755422587883,-0.4572425828970331,-0.3838818249813014,-0.44851657940663175,-0.274713288456744,0.0
2018-10-10,1.0,-0.5542671903247928,-0.45573842029798645,-0.38622903808989467,-0.4498160962533508,-0.2709307399788043,0.0
2018-10-11,1.0,-0.5315210751374465,-0.4505497861942578,-0.35345143555284053,-0.4421197312156383,-0.276756261453879,0.0
2018-10-12,1.0,-0.5433323253704264,-0.4431811309343816,-0.3556395524644693,-0.4261263985485334,-0.25563955246446934,0.0
2018-10-15,1.0,-0.5569543270692696,-0.42975734355044704,-0.36888037462750106,-0.43000060816152774,-0.2551845770236575,0.0
2018-10-16,1.0,-0.5605875899061319,-0.42130927709374616,-0.3766305010362062,-0.431701816408631,-0.2574667804461782,0.0
2018-10-17,1.0,-0.5577191386108583,-0.41267819229602665,-0.37449196239005156,-0.43026994237185323,-0.2579011222323324,0.0
2018-10-18,1.0,-0.5573482137441621,-0.4119306119973313,-0.3748407836477225,-0.43073330502820406,-0.2578091829926609,0.0
2018-10-19,1.0,-0.5607573045298705,-0.41302830789769107,-0.37452592615067204,-0.43071695136381566,-0.2550441457568494,0.0
2018-10-22,1.0,-0.5577593056659128,-0.4338365625573009,-0.38793472281645375,-0.4249740235926899,-0.25154330419900983,0.0
2018-10-23,1.0,-0.5609577103018072,-0.43393572455126445,-0.3943674892211724,-0.41971684554933797,-0.24884567165091886,0.0
2018-10-24,1.0,-0.5621046842057017,-0.43221193509945915,-0.3926727167170838,-0.419959055214349,-0.248632627494118,0.0
2018-10-25,1.0,-0.5507616500916384,-0.40936814590030945,-0.3935041913289066,-0.4201243878256167,-0.23077847549800198,0.0
2018-10-26,1.0,-0.5424785891199905,-0.40341977261197814,-0.3814866760168303,-0.428635373459461,-0.22807436364178924,0.0
2018-10-29,1.0,-0.5335117454653583,-0.41094261076419863,-0.37368421052631584,-0.4231935771632471,-0.2322033898305085,0.0
2018-10-30,1.0,-0.5351991196502395,-0.41087945751420163,-0.3747434791660471,-0.4229545251762187,-0.23040775659518783,0.0
2018-10-31,1.0,-0.5359071755000296,-0.4059291352602528,-0.37551189981601285,-0.42168674698795183,-0.22852988307911448,0.0
2018-11-01,1.0,-0.5609976504608711,-0.39137899873486354,-0.39375866016025063,-0.4302367612506778,-0.23588770407855897,0.0
2018-11-02,1.0,-0.572767414616563,-0.3625003754768556,-0.38448830014117935,-0.4482292511489592,-0.23579946532095764,0.0
2018-11-05,1.0,-0.5709266710708065,-0.3673352951774668,-0.38448141252777607,-0.44847156326947335,-0.2315776830220407,0.0
2018-11-06,1.0,-0.5838802914433673,-0.37968928764978627,-0.3767688324200638,-0.44604684771481906,-0.22439332811465046,0.0
2018-11-07,1.0,-0.587213867246482,-0.382496829135713,-0.3715044996074168,-0.4510780938575829,-0.22757745968472548,0.0
2018-11-08,1.0,-0.5888465953718809,-0.38233339375264336,-0.3718204338106459,-0.4515739230257991,-0.22639115461301434,0.0
2018-11-09,1.0,-0.589752116082225,-0.38310157194679567,-0.3710399032648126,-0.4516626360338573,-0.22741837968561066,0.0
2018-11-12,1.0,-0.5901169802219006,-0.3745779064158225,-0.3711710082006754,-0.45408224794983115,-0.22500602990834542,0.0
2018-11-13,1.0,-0.5975853304284677,-0.3768760590656015,-0.37215565238441056,-0.455761316872428,-0.22355361897845558,0.0
2018-11-14,1.0,-0.5977912254160362,-0.3766414523449319,-0.3721936459909228,-0.4557337367624811,-0.22338880484114979,0.0
2018-11-15,1.0,-0.5984099634231129,-0.3765001058009129,-0.3718448656328406,-0.4565762824582087,-0.21961246637042414,0.0
2018-11-16,1.0,-0.5986865996852682,-0.3787374409877739,-0.3722914901343663,-0.4571783077109309,-0.21934390509623533,0.0
2018-11-19,1.0,-0.5986122473714511,-0.38160167257522043,-0.3665727358118959,-0.4613519983031846,-0.22188891918916465,0.0
2018-11-20,1.0,-0.6185989599265831,-0.390884062404405,-0.37971856836953194,-0.46124197002141326,-0.20859590088712143,0.0
2018-11-21,1.0,-0.6273675250053202,-0.3856747636275195,-0.38853251451676646,-0.46055391724683065,-0.17803180007904418,0.0
2018-11-23,1.0,-0.6271923158758624,-0.3846925438463175,-0.38888720021885165,-0.4607434876440013,-0.1781209155293474,0.0
2018-11-26,1.0,-0.6270815607147198,-0.3867752522183056,-0.38835541509663307,-0.45964507110732955,-0.17691746687735507,0.0
2018-11-27,1.0,-0.6268231298705236,-0.38733739652506133,-0.38530580066102665,-0.45832196246095996,-0.17444434337002332,0.0
2018-11-28,1.0,-0.6255202795078232,-0.40133677654564787,-0.38137627221631476,-0.4559319459213125,-0.17393285735986633,0.0
2018-11-29,1.0,-0.621197430614471,-0.3991334383711066,-0.3785904738819537,-0.4555205429644892,-0.17549387952975395,0.0
2018-11-30,1.0,-0.6217395255839316,-0.39916386440061796,-0.3782301796479748,-0.4559362598079312,-0.1743766851464752,0.0
2018-12-03,1.0,-0.6218255651857689,-0.3991150978847203,-0.3790835808230802,-0.4559670283047458,-0.17452572883205045,0.0
2018-12-04,1.0,-0.6250720898467141,-0.3992108058886022,-0.37717407800880254,-0.45855213234178177,-0.1753528608286538,0.0
2018-12-06,1.0,-0.624376764582207,-0.3782963897398931,-0.39052081456118215,-0.4522136120622334,-0.15816663663122482,0.0
2018-12-07,1.0,-0.6242040129760903,-0.37846930193439865,-0.3900036044695423,-0.45254115102727377,-0.15850654811966838,0.0
2018-12-10,1.0,-0.6273579238255437,-0.3779887059954344,-0.3895230085305779,-0.4529616724738676,-0.15586327045536466,0.0
2018-12-11,1.0,-0.6301546778795615,-0.3761225409220604,-0.3920108124342994,-0.4534915152425289,-0.15164439104970714,0.0
2018-12-12,1.0,-0.6326223639481364,-0.3767335519388707,-0.3930988839084264,-0.45645437862880184,-0.14939382088384828,0.0
2018-12-13,1.0,-0.6323135697740878,-0.37653039737689137,-0.393285804530277,-0.45651716150768584,-0.14950515898083808,0.0
2018-12-14,1.0,-0.6319352509327235,-0.37781321458659284,-0.3927067035744374,-0.4561920808761584,-0.15013840414008905,0.0
2018-12-17,1.0,-0.6342263696568332,-0.37784467188440696,-0.39310656231186036,-0.4578567128236003,-0.14720048163756774,0.0
2018-12-18,1.0,-0.6318123258531324,-0.3707043772657818,-0.3884711028552596,-0.45696138059142516,-0.14809599424753572,0.0
2018-12-19,1.0,-0.6303709474441183,-0.371157188230359,-0.3886258764307545,-0.457661652783604,-0.1485287948702583,0.0
2018-12-20,1.0,-0.6261729723268186,-0.36504094196401893,-0.39516466439543363,-0.4566971490048414,-0.14535891458968384,0.0
