Date,BRK-A,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21327371382636656,-0.0,-0.0,-0.0,-0.156802652733119,-0.749070538585209,-0.0,-0.0,-0.138389268488746,-0.01283661575562701,-0.2416850884244373,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25214769012442667,-0.0,-0.0,-0.0,-0.13798433896758824,-0.7392362079014724,-0.0,-0.0,-0.12685943083044018,-0.028433136514533337,-0.24951217657940752,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.34195647535737145,-0.0,-0.05861958608918284,-0.0,-0.08302218903349691,-0.7767495199487945,-0.004667164497546405,-0.0,-0.1146788990825688,-0.0,-0.2872573074461276,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.005361579704459265,-0.0,-0.3850660389695305,-0.0,-0.00920622466326664,-0.0,-0.07542827252517327,-0.7642212632404864,-0.0,-0.0,-0.10540081077546751,-0.0,-0.2706943899568458,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.01444345596315872,-0.0,-0.3899733110052855,-0.0,-0.0045528285101261185,-0.0,-0.08312836883144067,-0.758098278298184,-0.0,-0.0,-0.1026479669265791,-0.0,-0.26369773405201735,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3883302943474863,-0.0,-0.0,-0.0,-0.07970825735868715,-0.7762959103933316,-0.0,-0.0,-0.10265694191195623,-0.0,-0.257827559260224,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38910901412856475,-0.0,-0.0,-0.0,-0.07650800271101611,-0.7756894843855898,-0.0,-0.0,-0.10823210468692977,-0.0,-0.25718158594442414,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38199734796287144,-0.0,-0.0,-0.0,-0.07667507345102831,-0.7785809001326018,-0.0,-0.0,-0.11185356594992331,-0.0,-0.25092951301318217,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3824555011970438,-0.0,-0.0,-0.0,-0.08038409493077964,-0.7760487144790257,-0.0,-0.0,-0.10690121786197564,-0.0,-0.25650567294680965,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3861331943177375,-0.0,-0.0,-0.0,-0.08103740388374821,-0.7731265476345627,-0.0,-0.0,-0.10441808940440506,-0.0,-0.261827186237456,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3742920974697356,-0.0,-0.012157738868395074,-0.0,-0.08214267158518211,-0.7665350444225074,-0.0,-0.0,-0.10349664882838884,-0.0,-0.2591832493375591,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3978438622988386,-0.0,-0.017707411072339984,-0.0,-0.09364095620019791,-0.7158481329097443,-0.0,-0.0,-0.14064371647310037,-0.0,-0.23834696109577627,-0.0,-0.0
