Date,IWF,IWM,MTUM,PHI,SPY,VLUE,VXX
2018-09-24,-0.38858477483395376,-0.7234143493175681,-0.0,1.0,-0.7262973505583534,-0.8110721845120794,0.0
2018-09-25,-0.3915152841613774,-0.7220763113737506,-0.0,1.0,-0.7253228277522433,-0.8088932662143431,0.0
2018-09-26,-0.3918657669159219,-0.7223782600766003,-0.0,1.0,-0.7252598942184936,-0.808097756702535,0.0
2018-09-27,-0.39190076614374314,-0.7229113462240058,-0.0,1.0,-0.7253557095950383,-0.8081357168916454,0.0
2018-09-28,-0.3891994592422084,-0.7283422850670467,-0.0,1.0,-0.7266615513902591,-0.8095290291936132,0.0
2018-10-01,-0.39141497953313414,-0.7446620201349706,-0.0,1.0,-0.7336726039016115,-0.8179739646716082,0.0
2018-10-02,-0.39460097359492546,-0.7334046319516152,-0.0,1.0,-0.7377931848355214,-0.8220607759256527,0.0
2018-10-03,-0.39379307802882313,-0.725111496074601,-0.0,1.0,-0.7402233607312668,-0.826692713132579,0.0
2018-10-04,-0.4047980452408278,-0.7186331494576284,-0.0,1.0,-0.7556180815223427,-0.8231461256525119,0.0
2018-10-05,-0.3800695677915927,-0.7072972172883364,-0.0,1.0,-0.7701302545885139,-0.842917406749556,0.0
2018-10-08,-0.37616036096009464,-0.7033174303783424,-0.0,1.0,-0.7759902363253078,-0.8429305817522837,0.0
2018-10-09,-0.37240103588605256,-0.7032556418793934,-0.0,1.0,-0.777765445800962,-0.8461709211986682,0.0
2018-10-10,-0.3739043603683568,-0.7019860201930544,-0.0,1.0,-0.7787270239283997,-0.8437072376937016,0.0
2018-10-11,-0.30043914456067694,-0.6735692098968189,-0.0,1.0,-0.7482594880217073,-0.8480131386340105,0.0
2018-10-12,-0.3031752171314041,-0.6591300678645523,-0.0,1.0,-0.7272407609268963,-0.8267519954991386,0.0
2018-10-15,-0.30633232373036556,-0.6564415017257167,-0.0,1.0,-0.7301542579418187,-0.8289427343805028,0.0
2018-10-16,-0.31111973470683696,-0.6522260636421364,-0.0,1.0,-0.7329429196359275,-0.8315458971283427,0.0
2018-10-17,-0.2903828844422904,-0.6116111611161116,-0.0,1.0,-0.7243993630132244,-0.8355258602783355,0.0
2018-10-18,-0.28940890968972094,-0.609984399375975,-0.0,1.0,-0.7297971918876756,-0.8375801698734617,0.0
2018-10-19,-0.2682228811806082,-0.5947865664436935,-0.0,1.0,-0.7396386456106475,-0.8453899731053031,0.0
2018-10-22,-0.26838362217772566,-0.5837188427811918,-0.0,1.0,-0.7476696816957814,-0.8525512670026929,0.0
2018-10-23,-0.2724416517055655,-0.5842079823228835,-0.0,1.0,-0.7448211572987157,-0.8511255351470791,0.0
2018-10-24,-0.2707247177433277,-0.5842972067810654,-0.0,1.0,-0.7455374097987088,-0.8521216724786796,0.0
2018-10-25,-0.22663708484604003,-0.5337165523732688,-0.0,1.0,-0.7748756218905472,-0.8263076509345165,0.0
2018-10-26,-0.2019227559501953,-0.5239843776079046,-0.0,1.0,-0.7921353940648262,-0.8200754414661015,0.0
2018-10-29,-0.18468124647396542,-0.5259018351972921,-0.0,1.0,-0.7842564630139714,-0.8237480503102911,0.0
2018-10-30,-0.17407173905830042,-0.526396124365398,-0.0,1.0,-0.7849819159173109,-0.8327305305770315,0.0
2018-10-31,-0.18292642637682116,-0.5013380025768938,-0.0,1.0,-0.7885295186494433,-0.830916118801414,0.0
2018-11-01,-0.16243520750107301,-0.5184060219881805,-0.0,1.0,-0.7886361385321404,-0.8320842550100696,0.0
2018-11-02,-0.1658413406355557,-0.4963762174925393,-0.0,1.0,-0.7911323910405668,-0.8260912340537173,0.0
2018-11-05,-0.16131465870698988,-0.5098566602158298,-0.0,1.0,-0.792764128973005,-0.8161511463902649,0.0
2018-11-06,-0.15726231235185675,-0.5091519620753227,-0.0,1.0,-0.8002370292336055,-0.8254213853041876,0.0
2018-11-07,-0.15635908581966673,-0.5111638016202331,-0.0,1.0,-0.7995126127906211,-0.8261213198972537,0.0
