Date,IWF,IWM,MTUM,PFPT,SPY,VLUE,VXX
2018-09-24,-0.5852683600421528,-0.8238671463352594,-0.38111849994549224,1.0,-0.49678404011773686,-0.3468149278680185,0.0
2018-09-25,-0.5851655340335065,-0.8239997092706326,-0.3809281535051059,1.0,-0.4969291710578914,-0.3470945233855434,0.0
2018-09-26,-0.5910585141354371,-0.8336620644312951,-0.3882314266929651,1.0,-0.4997443202571407,-0.3398714296150193,0.0
2018-09-27,-0.5910070497132629,-0.8336925156152974,-0.38824560762684,1.0,-0.49979910143551154,-0.33999342513788944,0.0
2018-09-28,-0.5873747348401727,-0.8387828249579401,-0.38877916758101094,1.0,-0.5009143442323166,-0.3415258576548899,0.0
2018-10-01,-0.5864634101652679,-0.8432701821246655,-0.389314375755799,1.0,-0.5017039832899703,-0.3436915973469163,0.0
2018-10-02,-0.589244596300973,-0.9011364480427839,-0.374470771744782,1.0,-0.5043823813414543,-0.3446482953279358,0.0
2018-10-03,-0.5890019307886528,-0.8990420317837517,-0.37431308480617853,1.0,-0.5049012327342938,-0.3457596910738155,0.0
2018-10-04,-0.588844739871514,-0.8990307846559472,-0.3744661888670207,1.0,-0.5048460767202644,-0.3462438263582012,0.0
2018-10-05,-0.5864650507745904,-0.8997109183900378,-0.37039507820028167,1.0,-0.505003335557038,-0.3446001037728856,0.0
2018-10-08,-0.5852763465174037,-0.8977276939615227,-0.3642362012084368,1.0,-0.5134373725766394,-0.3461837861882344,0.0
2018-10-09,-0.60041997900105,-0.9102669866506675,-0.3840182990850458,1.0,-0.5144742762861857,-0.3406704664766762,0.0
2018-10-10,-0.6016869728209935,-0.9090534208059982,-0.3855295220243674,1.0,-0.5149015932521087,-0.33765698219306467,0.0
2018-10-11,-0.5539904376609047,-0.9299374770136081,-0.3082383229128356,1.0,-0.5144906215520412,-0.371129091577786,0.0
2018-10-12,-0.5850145151214494,-0.9409105942013009,-0.3075735861536766,1.0,-0.4964539007092199,-0.3447249476353214,0.0
2018-10-15,-0.5982413359934974,-0.9312790955442252,-0.3192566319367472,1.0,-0.5009606147934678,-0.3449346043005985,0.0
2018-10-16,-0.5965340132283931,-0.9381443298969073,-0.31408195691534574,1.0,-0.501348704873813,-0.34497284114843146,0.0
2018-10-17,-0.5879341864716636,-0.9170018281535649,-0.3080438756855576,1.0,-0.49700182815356486,-0.3462888482632541,0.0
2018-10-18,-0.5861096873398258,-0.9145859266310318,-0.3099143296477997,1.0,-0.5024529545288131,-0.34809987552171046,0.0
2018-10-19,-0.581582492808506,-0.9103885227396863,-0.30451880712231,1.0,-0.5016567745694207,-0.34315260532352626,0.0
2018-10-22,-0.57992700729927,-0.9187591240875912,-0.31189781021897806,1.0,-0.49813868613138684,-0.3409124087591241,0.0
2018-10-23,-0.5852499177300815,-0.9200702036637537,-0.32121832608139234,1.0,-0.4917181615415554,-0.33818421148853706,0.0
2018-10-24,-0.5870081473091959,-0.9179423477403089,-0.31591830769792845,1.0,-0.4930035438968251,-0.3396295349092105,0.0
2018-10-25,-0.5652359903037217,-0.883359475260231,-0.3146656209895908,1.0,-0.4914088122059033,-0.31013831455867674,0.0
2018-10-26,-0.5532689791732965,-0.8746861850712493,-0.2961352144549344,1.0,-0.5050740780028995,-0.30677840246101623,0.0
2018-10-29,-0.6461873638344227,-0.9603089720736779,-0.2953852247969895,1.0,-0.6614775203010497,-0.3978213507625272,0.0
2018-10-30,-0.6053731837562611,-1.0328269238729975,-0.23247919857598212,1.0,-0.7397855694001739,-0.5291219936250362,0.0
2018-10-31,-0.6141073709365085,-1.0045733591528985,-0.23336492109925425,1.0,-0.742202628651477,-0.52589510114952,0.0
2018-11-01,-0.605127783036339,-1.0156385036421252,-0.2235482941684843,1.0,-0.7436108481830527,-0.5274291123091485,0.0
2018-11-02,-0.6097531015845719,-0.9939810834049871,-0.22044793841870367,1.0,-0.7478606231830651,-0.5224173934406093,0.0
2018-11-05,-0.6114639242840169,-0.990781333224075,-0.22022370631376242,1.0,-0.7483918547957552,-0.5263653869791453,0.0
2018-11-06,-0.6179471419791027,-0.9957385781602132,-0.21712763777914365,1.0,-0.745461995492727,-0.5212046711739399,0.0
2018-11-07,-0.6148051097281362,-0.9951686865378316,-0.22228136259416964,1.0,-0.7423435964624958,-0.5197756305273501,0.0
2018-11-08,-0.5952129388816645,-1.0012191157347203,-0.2005039011703511,1.0,-0.7378088426527959,-0.5289336801040312,0.0
2018-11-09,-0.5945880058508045,-1.0007719811474078,-0.20112140419307656,1.0,-0.7378514545750041,-0.5287258248009101,0.0
2018-11-12,-0.5944004869141815,-0.9973625481842158,-0.2006492189085007,1.0,-0.7382430513288699,-0.5269222966118888,0.0
2018-11-13,-0.5756584262401034,-1.00496849248667,-0.1719987073840685,1.0,-0.7563015026660204,-0.5305380513814834,0.0
2018-11-14,-0.5778963537876951,-1.0044466003718975,-0.1716791979949875,1.0,-0.7576602797315871,-0.5306815425660927,0.0
2018-11-15,-0.5781527531083481,-1.00520749233005,-0.1701114161149685,1.0,-0.7596076215081544,-0.5237364766672049,0.0
2018-11-16,-0.5754207940726423,-0.9957719255858903,-0.16666666666666669,1.0,-0.7590400257711202,-0.5298381251510027,0.0
2018-11-19,-0.5756038647342995,-0.9944041867954911,-0.17000805152979065,1.0,-0.7570048309178744,-0.528743961352657,0.0
2018-11-20,-0.5668125075261912,-0.9941797455143901,-0.15782924577529805,1.0,-0.7606470517400554,-0.5345000602095292,0.0
