Date,IWF,IWM,KELYA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6548130302712895,-1.492929716141196,1.0,-0.18016130721692677,-1.0039803079501415,-0.9053629412380853,0.0
2018-09-25,-0.6559719459855542,-1.4906312153250287,1.0,-0.18266513137234378,-1.0020412435884016,-0.902648382707003,0.0
2018-09-26,-0.6563992233824842,-1.4932045967361074,1.0,-0.17841213202497772,-1.0069265886550876,-0.9124731069948051,0.0
2018-09-27,-0.6623635600335852,-1.4810558354324095,1.0,-0.1824097397145256,-1.0085537363560033,-0.9133081444164567,0.0
2018-09-28,-0.661577207618448,-1.4810325830316386,1.0,-0.18306311978592787,-1.0081326407471536,-0.9131119156304107,0.0
2018-10-01,-0.6614892165608438,-1.4810830665897046,1.0,-0.18355459935981527,-1.0079760717846462,-0.9132602193419741,0.0
2018-10-02,-0.6632932742989669,-1.5078009698503057,1.0,-0.17820999367488932,-1.0084861901749946,-0.913135146531731,0.0
2018-10-03,-0.6658388375165126,-1.5174108322324966,1.0,-0.1801321003963012,-1.0089299867899604,-0.9117569352708058,0.0
2018-10-04,-0.6679336923239362,-1.5110864745011086,1.0,-0.1810790835181079,-1.0111392672368282,-0.9080350543765177,0.0
2018-10-05,-0.6467851099830795,-1.509517766497462,1.0,-0.15360617597292722,-1.0388642131979695,-0.9388219120135364,0.0
2018-10-08,-0.6450367549843989,-1.5073245544449732,1.0,-0.14543339150668994,-1.0495002379819132,-0.9412449098312973,0.0
2018-10-09,-0.65065224307986,-1.511560080602397,1.0,-0.15340969349878036,-1.0491038286138508,-0.9381164492523067,0.0
2018-10-10,-0.6529140372275548,-1.5100493185554438,1.0,-0.15575117993318133,-1.0505912923582756,-0.933764649732195,0.0
2018-10-11,-0.5686142709410549,-1.5395553257497416,1.0,-0.023112719751809722,-1.0526370217166496,-0.9867114788004137,0.0
2018-10-12,-0.5807519869574077,-1.532453637660485,1.0,-0.013348277970246585,-1.0207866313429794,-0.9474729977583044,0.0
