Date,COO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.31377374664712554,-0.5057102563393523,-0.11143986947985511,-0.48029754168625394,-0.35403589303984734,0.0
2018-09-25,1.0,-0.31522640570575555,-0.5043401337977552,-0.11381102449272958,-0.47901807928346324,-0.3519931442472494,0.0
2018-09-26,1.0,-0.31751349854631034,-0.5077668558770593,-0.11751349854631038,-0.4790807143846047,-0.3470580091374775,0.0
2018-09-27,1.0,-0.3209124633187531,-0.5005259952383588,-0.11973312662643264,-0.479790709263053,-0.34740601295609325,0.0
2018-09-28,1.0,-0.32052488787996236,-0.5007474669176679,-0.1200099662255689,-0.4796246055035712,-0.34746138087592054,0.0
2018-10-01,1.0,-0.32008530438154326,-0.5018833434886169,-0.12031241344928821,-0.4794770952196311,-0.347836924610868,0.0
2018-10-02,1.0,-0.3211743525827448,-0.4921755989475142,-0.12380556709597008,-0.4818446198587454,-0.35067165212574436,0.0
2018-10-03,1.0,-0.3208372556619968,-0.48623954814773795,-0.12298576886870813,-0.4840245860789634,-0.3546431142366687,0.0
2018-10-04,1.0,-0.32700041603106367,-0.47965608098738044,-0.12347801969213701,-0.4926085147691028,-0.3507973928720012,0.0
2018-10-05,1.0,-0.3326927361853832,-0.48718805704099816,-0.12385806595365419,-0.4935104723707664,-0.34795565953654184,0.0
2018-10-08,1.0,-0.3315442587391196,-0.4849689924636391,-0.12155510442448343,-0.4955087738813649,-0.34736783559053364,0.0
2018-10-09,1.0,-0.3362059348505132,-0.4871151271753682,-0.12951807228915663,-0.4933623382418563,-0.34273203926818385,0.0
2018-10-10,1.0,-0.3356875663000391,-0.48891742504606106,-0.12807771760370723,-0.49380269108369157,-0.345095192898219,0.0
2018-10-11,1.0,-0.3120846665025843,-0.48519156616621545,-0.09593349194629038,-0.49005934312358135,-0.35143708808488533,0.0
2018-10-12,1.0,-0.3195139772142992,-0.4794739263388629,-0.09471490812653911,-0.47801261061348194,-0.33442480989364864,0.0
2018-10-15,1.0,-0.32117815858577653,-0.47754405912450254,-0.09550881182490051,-0.4790600720106121,-0.33387476650694387,0.0
2018-10-16,1.0,-0.3228297388100141,-0.4730952638994255,-0.09938224775116504,-0.47948954156280477,-0.33464289584913837,0.0
2018-10-17,1.0,-0.32000107880683965,-0.4660715248934678,-0.09720049625114624,-0.4785317438912563,-0.3351852850747074,0.0
2018-10-18,1.0,-0.3185620985588601,-0.4640524639715011,-0.09847789712311762,-0.48170238030981816,-0.33591515086090573,0.0
2018-10-19,1.0,-0.31648771561583383,-0.46185517074352145,-0.09466914238045264,-0.48357148623556956,-0.33440973063157614,0.0
2018-10-22,1.0,-0.3153199288448062,-0.4674680610209692,-0.09983289310549295,-0.48040536898280417,-0.3322462400948736,0.0
2018-10-23,1.0,-0.3159710059012153,-0.4670852307941042,-0.10156018431192908,-0.4787529303979952,-0.33124949475896637,0.0
2018-10-24,1.0,-0.3168919282752679,-0.46486457379785695,-0.09759840611706425,-0.48034570028539125,-0.33266921544343336,0.0
2018-10-25,1.0,-0.29828439111672456,-0.43684875276286705,-0.09485843595411009,-0.4878960109462162,-0.3133880644142722,0.0
2018-10-26,1.0,-0.29036808694062016,-0.431280858956608,-0.08263016275242299,-0.49721779565819374,-0.31090153870268294,0.0
2018-10-29,1.0,-0.2830478471390639,-0.4361170406622586,-0.07596188889467383,-0.49442911438538034,-0.31366168584370285,0.0
2018-10-30,1.0,-0.27688102056756053,-0.43730799271023174,-0.07162197344441551,-0.49627701119500134,-0.3213746420203072,0.0
2018-10-31,1.0,-0.2769290826284971,-0.43666883539362394,-0.07169811320754718,-0.4961093038386467,-0.3211190631099545,0.0
2018-11-01,1.0,-0.27650992739857916,-0.4371178016602045,-0.07132634208540425,-0.4961097088136563,-0.3211637044940019,0.0
2018-11-02,1.0,-0.2782638041587705,-0.4299732613379715,-0.07037719685366423,-0.4977025518548324,-0.319669790503881,0.0
2018-11-05,1.0,-0.2756481793880252,-0.43731021774674944,-0.0702810723832758,-0.49837792945939635,-0.3137214191170746,0.0
2018-11-06,1.0,-0.29031753480369155,-0.4515616038375307,-0.06168204807341363,-0.496741227384118,-0.30674174878773663,0.0
2018-11-07,1.0,-0.28935848663296676,-0.4512220543019438,-0.06323935588097347,-0.4956485486476627,-0.30616499035905986,0.0
2018-11-08,1.0,-0.2839089705996834,-0.45159197654202454,-0.057814567817941205,-0.49404468432934584,-0.30757453875496277,0.0
2018-11-09,1.0,-0.2824879289756503,-0.45184569856186074,-0.05866777425886506,-0.4953792637973106,-0.3075645085924926,0.0
2018-11-12,1.0,-0.28299689440993786,-0.4390527950310559,-0.057660455486542445,-0.5023550724637681,-0.305952380952381,0.0
2018-11-13,1.0,-0.27881146273580043,-0.43789300072157505,-0.05148953716111741,-0.5055406659107309,-0.30329347489949493,0.0
2018-11-14,1.0,-0.2776826484018265,-0.4463470319634703,-0.04833437110834371,-0.5118565794935658,-0.3102168949771689,0.0
2018-11-15,1.0,-0.27788431636778277,-0.4467451021042811,-0.047346325282471236,-0.5137348398465844,-0.3057427179434021,0.0
2018-11-16,1.0,-0.2770703933747412,-0.44371118012422356,-0.046713250517598344,-0.5130434782608695,-0.30742753623188407,0.0
2018-11-19,1.0,-0.27831655992680693,-0.45790092798327015,-0.025931250816886683,-0.531825905110443,-0.3200627368971376,0.0
2018-11-20,1.0,-0.2785895391693023,-0.45866116004914126,-0.023943330632302584,-0.5337323888438718,-0.31897430535588256,0.0
